from_year,source_vintage,county_norm,from_precinct_norm,src_vtdst,dst_vtd20,weight,match_method,confidence_tier,match_score
2004,2000,ANDERSON,ANDERSONVILLE,0008,0008,0.90007602,exact_name,high,1.0
2004,2000,ANDERSON,ANDERSONVILLE,0008,000001,0.09805823,exact_name,high,1.0
2004,2000,ANDERSON,ANDERSONVILLE,0008,000018,0.00182604,exact_name,high,1.0
2004,2000,ANDERSON,ANDERSONVILLE,0008,000010,3.358e-05,exact_name,high,1.0
2004,2000,ANDERSON,ANDERSONVILLE,0008,000011,4.42e-06,exact_name,high,1.0
2004,2000,ANDERSON,ANDERSONVILLE,0008,000016,1.71e-06,exact_name,high,1.0
2004,2000,ANDERSON,BLOCK HOUSE VALLEY,0010,0010,0.91666667,exact_name,high,1.0
2004,2000,ANDERSON,BLOCK HOUSE VALLEY,0010,000003,0.08187991,exact_name,high,1.0
2004,2000,ANDERSON,BLOCK HOUSE VALLEY,0010,000025,0.00086745,exact_name,high,1.0
2004,2000,ANDERSON,BLOCK HOUSE VALLEY,0010,000005,0.00047794,exact_name,high,1.0
2004,2000,ANDERSON,BLOCK HOUSE VALLEY,0010,000009,8.723e-05,exact_name,high,1.0
2004,2000,ANDERSON,BLOCK HOUSE VALLEY,0010,000006,2.08e-05,exact_name,high,1.0
2004,2000,ANDERSON,BRICEVILLE,0012,0012,0.9166775,exact_name,high,1.0
2004,2000,ANDERSON,BRICEVILLE,0012,000002,0.08321497,exact_name,high,1.0
2004,2000,ANDERSON,BRICEVILLE,0012,000016,4.841e-05,exact_name,high,1.0
2004,2000,ANDERSON,BRICEVILLE,0012,000020,4.644e-05,exact_name,high,1.0
2004,2000,ANDERSON,BRICEVILLE,0012,000024,1.258e-05,exact_name,high,1.0
2004,2000,ANDERSON,BRICEVILLE,0012,000008,9e-08,exact_name,high,1.0
2004,2000,ANDERSON,CLAXTON,0024,0024,0.83343829,exact_name,high,1.0
2004,2000,ANDERSON,CLAXTON,0024,000004,0.09859191,exact_name,high,1.0
2004,2000,ANDERSON,CLAXTON,0024,000003,0.06764591,exact_name,high,1.0
2004,2000,ANDERSON,CLAXTON,0024,000025,0.00029746,exact_name,high,1.0
2004,2000,ANDERSON,CLAXTON,0024,000009,1.306e-05,exact_name,high,1.0
