year,county_norm,low_conf_precinct_keys,low_conf_rows,weighted_avg_match_score
2004,HAMILTON,57,1416,0.883517
2006,HAMILTON,27,679,0.872498
2008,HAMILTON,25,634,0.877333
2002,HAMILTON,35,267,0.855059
2012,HAMILTON,37,253,0.880286
2000,RUTHERFORD,13,233,0.820841
2002,RUTHERFORD,11,201,0.86108
2008,DYER,15,186,0.835168
2006,HARDIN,15,185,0.793784
2008,HARDIN,15,185,0.793784
2006,MAURY,15,184,0.827026
2008,MAURY,15,184,0.827026
2006,MCNAIRY,15,183,0.810964
2000,BLOUNT,14,176,0.874564
2008,MCNAIRY,13,159,0.812619
2004,RUTHERFORD,9,151,0.827754
2006,DYER,12,151,0.838071
2006,RUTHERFORD,9,151,0.844695
2004,BLOUNT,8,111,0.818919
2008,PUTNAM,8,98,0.814025
2008,RUTHERFORD,5,96,0.833259
2006,LAUDERDALE,12,93,0.864265
2012,MAURY,18,92,0.82573
2004,SHELBY,5,88,0.872875
2006,SHELBY,5,88,0.872875
2008,SHELBY,5,88,0.872875
2004,PUTNAM,7,85,0.806515
2008,LAUDERDALE,11,85,0.860047
2000,MAURY,15,83,0.857426
2000,ANDERSON,5,79,0.848219
2000,LINCOLN,7,77,0.813836
2000,TROUSDALE,8,76,0.860414
2002,TROUSDALE,8,76,0.860414
2004,TROUSDALE,8,76,0.860414
2006,TROUSDALE,8,76,0.847377
2008,TROUSDALE,8,76,0.847377
2010,HARDIN,15,74,0.79445
2012,HARDIN,15,74,0.79445
2000,BRADLEY,11,73,0.870904
2010,DYER,13,73,0.843293
2012,DYER,13,73,0.843293
2006,PUTNAM,6,70,0.810972
2000,FRANKLIN,5,66,0.852379
2006,BLOUNT,5,66,0.80686
2006,PICKETT,7,65,0.820732
2008,PICKETT,7,65,0.820732
2000,CAMPBELL,5,64,0.908693
2010,MAURY,12,64,0.831791
2010,MCNAIRY,13,64,0.815756
2012,MCNAIRY,13,64,0.815756
2004,DYER,5,62,0.83866
2014,MAURY,12,62,0.830098
2004,MARION,6,60,0.95218
2014,MCNAIRY,12,60,0.818288
2016,MAURY,12,60,0.832412
2016,MCNAIRY,12,60,0.818288
2018,MAURY,12,60,0.832412
2018,MCNAIRY,12,60,0.818288
2014,DYER,11,59,0.840228
2016,DYER,11,59,0.840228
2018,DYER,11,59,0.840228
2000,ROANE,11,58,0.84777
2002,BLOUNT,9,55,0.771978
2000,LOUDON,5,53,0.902765
2022,DAVIDSON,53,53,0.554717
2004,BRADLEY,4,52,0.924724
2002,PUTNAM,10,51,0.765974
2002,HAYWOOD,6,50,0.915635
2004,HAYWOOD,6,50,0.9168
2004,WASHINGTON,3,50,0.750789
2006,WASHINGTON,3,50,0.750789
2000,HAYWOOD,6,49,0.850159
2002,BRADLEY,5,49,0.913074
2014,HARDIN,10,49,0.797391
2016,HARDIN,10,49,0.797391
2018,HARDIN,10,49,0.797391
2008,FRANKLIN,4,47,0.830268
2006,MONROE,4,45,0.837999
2008,MONROE,4,45,0.837999
2004,ROANE,3,41,0.84878
2006,LINCOLN,3,40,0.847089
2008,LINCOLN,3,40,0.847089
2000,HAWKINS,3,39,0.862132
2006,HAYWOOD,4,39,0.91071
2008,WASHINGTON,2,38,0.740741
2002,ROANE,5,37,0.866603
2002,WASHINGTON,11,37,0.655326
2006,BEDFORD,3,37,0.818539
2006,TIPTON,5,36,0.824382
2010,LAUDERDALE,11,36,0.858895
2000,SHELBY,2,35,0.75
2012,SHELBY,6,35,0.897734
2000,GRUNDY,4,31,0.824194
2004,ANDERSON,2,31,0.761166
2006,ANDERSON,2,31,0.761166
2010,PICKETT,7,31,0.820959
2012,PICKETT,7,31,0.820959
2014,PICKETT,7,31,0.820959
2016,PICKETT,7,31,0.820959
2018,PICKETT,7,31,0.820959
2000,HARDEMAN,3,30,0.930864
2000,MARION,6,30,0.929927
2002,MARION,5,30,0.95145
2008,BLOUNT,2,30,0.824615
2010,SHELBY,6,30,0.900583
2010,TROUSDALE,6,30,0.851616
2012,LAUDERDALE,9,30,0.864008
2012,TROUSDALE,6,30,0.851616
2000,DYER,5,29,0.937785
2002,LAWRENCE,2,29,0.900678
2004,LAWRENCE,2,29,0.900678
2006,LAWRENCE,2,29,0.900678
2008,LAWRENCE,2,29,0.900678
2000,CARTER,2,28,0.908163
2008,HAYWOOD,3,28,0.946833
2014,TROUSDALE,6,28,0.861255
2016,TROUSDALE,6,28,0.861255
2018,TROUSDALE,6,28,0.861255
2000,CANNON,3,27,0.842727
2006,ROANE,2,27,0.9
2008,ROANE,2,27,0.9
2020,WEAKLEY,6,27,0.443373
2000,PERRY,5,26,0.826428
2000,GREENE,25,25,0.469018
2000,PUTNAM,8,25,0.888862
2008,SUMNER,2,25,0.917519
2002,ANDERSON,2,24,0.764423
2020,HAMILTON,5,24,0.902305
2002,FRANKLIN,2,23,0.832126
2002,LINCOLN,7,23,0.644474
2004,FRANKLIN,2,23,0.832126
2006,FRANKLIN,2,23,0.832126
2006,MARION,2,23,0.966644
2008,MARION,2,23,0.966644
2010,HAMILTON,3,23,0.891782
2000,PICKETT,2,22,0.82944
2012,BLOUNT,4,22,0.864026
2014,BLOUNT,4,22,0.864026
2016,BLOUNT,4,22,0.864026
2018,BLOUNT,4,22,0.864026
2014,LAUDERDALE,6,21,0.864682
2016,LAUDERDALE,6,21,0.864682
2018,LAUDERDALE,6,21,0.864682
2000,HOUSTON,3,20,0.812155
2002,BEDFORD,5,20,0.675775
2018,WASHINGTON,3,19,0.788664
2002,PERRY,4,18,0.725739
2002,SUMNER,6,18,0.837166
2006,LOUDON,1,18,0.882353
2008,LOUDON,1,18,0.857143
2010,BLOUNT,3,18,0.878254
2000,COCKE,2,17,0.878091
2008,WEAKLEY,2,17,0.8
2012,BRADLEY,3,17,0.896212
2008,TIPTON,2,16,0.857143
2012,SUMNER,4,16,0.861034
2000,CLAIBORNE,3,15,0.956427
2000,VAN BUREN,3,15,0.86686
2002,TIPTON,3,15,0.775041
2006,CAMPBELL,1,15,0.866667
2008,CAMPBELL,1,15,0.866667
2004,KNOX,1,14,0.928571
2006,KNOX,1,14,0.928571
2008,KNOX,1,14,0.928571
2014,HAMILTON,3,14,0.932413
2016,HAMILTON,3,14,0.932413
2008,ANDERSON,1,13,0.75
2008,BEDFORD,1,13,0.952381
2004,LINCOLN,1,12,0.769231
2006,WEAKLEY,2,12,0.788636
2010,BRADLEY,2,12,0.917069
2010,LINCOLN,2,12,0.868513
2014,BRADLEY,2,12,0.917069
2016,BRADLEY,2,12,0.917069
