year,county_norm,low_conf_precinct_keys,low_conf_rows,weighted_avg_match_score
2018,BRADLEY,2,12,0.917069
2006,CLAIBORNE,1,11,0.969697
2008,CLAIBORNE,1,11,0.969697
2010,MARION,2,11,0.966042
2012,MARION,2,11,0.966042
2014,MARION,2,11,0.966042
2016,MARION,2,11,0.966042
2018,MARION,2,11,0.966042
2022,HAMBLEN,11,11,0.389899
2022,WILSON,11,11,0.509091
2000,KNOX,2,10,0.545455
2004,PERRY,1,10,0.740741
2006,GIBSON,1,10,0.869565
2010,WASHINGTON,2,10,0.847283
2018,POLK,2,10,0.862117
2000,POLK,1,9,0.8
2004,POLK,1,9,0.882353
2006,MACON,1,9,0.88
2006,POLK,1,9,0.944444
2008,POLK,1,9,0.944444
2002,POLK,2,8,0.915107
2006,FAYETTE,1,8,0.777778
2008,FAYETTE,1,8,0.777778
2010,BEDFORD,1,8,0.8
2010,HAYWOOD,2,8,0.945238
2010,MCMINN,1,8,0.740741
2010,PERRY,2,8,0.8
2012,BEDFORD,1,8,0.8
2012,MCMINN,1,8,0.740741
2012,PERRY,2,8,0.8
2012,WASHINGTON,2,8,0.829193
2014,BEDFORD,1,8,0.8
2014,MCMINN,1,8,0.740741
2014,PERRY,2,8,0.8
2016,BEDFORD,1,8,0.8
2016,MCMINN,1,8,0.740741
2016,PERRY,2,8,0.8
2018,BEDFORD,1,8,0.8
2018,HAMILTON,2,8,0.931722
2018,MCMINN,1,8,0.740741
2018,PERRY,2,8,0.8
2020,MAURY,1,8,0.818182
2000,BEDFORD,1,7,0.740741
2002,HOUSTON,1,7,0.810811
2002,WEAKLEY,1,7,0.8
2004,HOUSTON,1,7,0.810811
2004,SUMNER,1,7,0.903226
2004,VAN BUREN,1,7,0.842105
2004,WEAKLEY,1,7,0.8
2006,HOUSTON,1,7,0.810811
2006,SUMNER,1,7,0.903226
2006,VAN BUREN,1,7,0.842105
2008,VAN BUREN,1,7,0.842105
2010,CAMPBELL,1,7,0.866667
2012,CAMPBELL,1,7,0.866667
2014,CAMPBELL,1,7,0.866667
2016,CAMPBELL,1,7,0.866667
2018,CAMPBELL,1,7,0.866667
2000,DAVIDSON,2,6,0.400383
2002,DAVIDSON,2,6,0.400383
2002,HENDERSON,2,6,0.384964
2002,MAURY,1,6,0.444444
2004,TIPTON,1,6,0.827586
2010,VAN BUREN,1,6,0.888889
2012,COCKE,1,6,0.756757
2012,VAN BUREN,1,6,0.888889
2014,VAN BUREN,1,6,0.888889
2016,VAN BUREN,1,6,0.888889
2018,VAN BUREN,1,6,0.888889
2000,SULLIVAN,1,5,0.47619
2002,GREENE,5,5,0.449915
2002,KNOX,1,5,0.928571
2002,SULLIVAN,1,5,0.416667
2010,CLAIBORNE,1,5,0.969697
2012,CLAIBORNE,1,5,0.969697
2012,LINCOLN,1,5,0.896552
2012,LOUDON,1,5,0.909091
2012,TIPTON,1,5,0.956522
2014,CLAIBORNE,1,5,0.969697
2014,LOUDON,1,5,0.909091
2014,TIPTON,1,5,0.956522
2016,CLAIBORNE,1,5,0.969697
2016,LOUDON,1,5,0.909091
2016,TIPTON,1,5,0.956522
2018,CLAIBORNE,1,5,0.969697
2018,LOUDON,1,5,0.909091
2018,TIPTON,1,5,0.956522
2002,VAN BUREN,4,4,0.873651
2010,HOUSTON,1,4,0.789474
2012,HOUSTON,1,4,0.789474
2014,HOUSTON,1,4,0.789474
2016,HOUSTON,1,4,0.789474
2018,HOUSTON,1,4,0.789474
2000,LAUDERDALE,1,3,0.952381
2010,SUMNER,1,3,0.814815
2014,WASHINGTON,1,3,0.782609
2016,WASHINGTON,1,3,0.782609
2000,MONTGOMERY,2,2,0.480549
2022,JACKSON,2,2,0.8
2002,COCKE,1,1,0.9375
2020,KNOX,1,1,0.695652
