year,county_norm,precinct_norm,county_raw,precinct_raw,match_method,confidence_tier,match_score,source_rows
2002,BEDFORD,12 RAUS CC,BEDFORD,12 Raus CC,unmatched,unknown,0.555556,10
2002,BEDFORD,18 SOUTHSIDE SCHOOL,BEDFORD,18 Southside School,unmatched,unknown,0.606061,10
2002,BLOUNT,BLOUNT CNTY BD CITY,BLOUNT,Blount Cnty Bd City,unmatched,unknown,0.428571,10
2002,BLOUNT,BLOUNT CNTY BD CNTY,BLOUNT,Blount Cnty Bd Cnty,unmatched,unknown,0.363636,10
2002,DAVIDSON,AIS,DAVIDSON,AIS,unmatched,unknown,0.3,10
2002,HAMILTON,107 DALLAS SOUTH,HAMILTON,107 Dallas South,unmatched,unknown,0.714286,10
2002,HAMILTON,111 LOOKOUT VALLEY 3,HAMILTON,111 Lookout Valley 3,unmatched,unknown,0.512821,10
2002,HAMILTON,139 NORTH CHATT 2,HAMILTON,139 North Chatt 2,unmatched,unknown,0.702703,10
2002,HENDERSON,ZABSENTEE,HENDERSON,zABSENTEE,unmatched,unknown,0.32,10
2002,HENDERSON,ZEARLY,HENDERSON,zEARLY,unmatched,unknown,0.375,10
2002,HOUSTON,2 TENN RIDGE,HOUSTON,2 Tenn Ridge,unmatched,unknown,0.315789,10
2002,HOUSTON,4 ARLINGTON,HOUSTON,4 Arlington,unmatched,unknown,0.486486,10
2002,HOUSTON,6 HOUSTON MIDDLE,HOUSTON,6 Houston Middle,unmatched,unknown,0.526316,10
2002,LINCOLN,9TH GRADE ACADEMY,LINCOLN,9th Grade Academy,unmatched,unknown,0.486486,10
2002,LINCOLN,BELLEVILLE CC,LINCOLN,Belleville CC,unmatched,unknown,0.727273,10
2002,LINCOLN,BOONSHILL CC,LINCOLN,Boonshill CC,unmatched,unknown,0.709677,10
2002,LINCOLN,ELORA CC,LINCOLN,Elora CC,unmatched,unknown,0.608696,10
2002,LINCOLN,KELSO CC,LINCOLN,Kelso CC,unmatched,unknown,0.608696,10
2002,LINCOLN,LINCOLN CC,LINCOLN,Lincoln CC,unmatched,unknown,0.666667,10
2002,MAURY,CITY HALL,MAURY,City Hall,unmatched,unknown,0.444444,10
2002,MONROE,13 TOQUA CC,MONROE,13 Toqua CC,unmatched,unknown,0.62069,10
2002,PUTNAM,05D CKVILLE COMM IN,PUTNAM,05D Ckville Comm In,unmatched,unknown,0.444444,10
2002,PUTNAM,05E CKVILLE COMM O,PUTNAM,05E Ckville Comm O,unmatched,unknown,0.457143,10
2002,RUTHERFORD,01 2 ROY WALDRON SC,RUTHERFORD,01-2 Roy Waldron Sc,unmatched,unknown,0.421053,10
2002,RUTHERFORD,02 3 MILTON FIREHALL,RUTHERFORD,02-3 Milton FireHall,unmatched,unknown,0.578947,10
2002,RUTHERFORD,03 1 LEANNA CC,RUTHERFORD,03-1 Leanna CC,unmatched,unknown,0.482759,10
2002,RUTHERFORD,03 3 WILSON ELEM SC,RUTHERFORD,03-3 Wilson Elem Sc,unmatched,unknown,0.677966,10
2002,RUTHERFORD,03 4 FLORENCE BAPT,RUTHERFORD,03-4 Florence Bapt,unmatched,unknown,0.387097,10
2002,RUTHERFORD,04 1 ADVENT LUTHERAN,RUTHERFORD,04-1 Advent Lutheran,unmatched,unknown,0.363636,10
2002,RUTHERFORD,04 4 OAKLAND HS,RUTHERFORD,04-4 Oakland HS,unmatched,unknown,0.540541,10
2002,RUTHERFORD,05 1 LAVERGNE RESCU,RUTHERFORD,05-1 LaVergne Rescu,unmatched,unknown,0.5625,10
2002,RUTHERFORD,07 3 MID TN ELECTRIC,RUTHERFORD,07-3 Mid TN Electric,unmatched,unknown,0.409091,10
2002,RUTHERFORD,08 1 ALMAVILLE CC,RUTHERFORD,08-1 Almaville CC,unmatched,unknown,0.611111,10
2002,RUTHERFORD,08 2 EAGLEVILLE CC,RUTHERFORD,08-2 Eagleville CC,unmatched,unknown,0.631579,10
2002,RUTHERFORD,09 1 ALMAVILLE FIRE,RUTHERFORD,09-1 Almaville Fire,unmatched,unknown,0.636364,10
2002,RUTHERFORD,09 2 ROCK SPGS II,RUTHERFORD,09-2 Rock Spgs II,unmatched,unknown,0.375,10
2002,RUTHERFORD,10 3 ROCK SPGS III,RUTHERFORD,10-3 Rock Spgs III,unmatched,unknown,0.363636,10
2002,RUTHERFORD,12 1 NISSAN FIRE,RUTHERFORD,12-1 Nissan Fire,unmatched,unknown,0.628571,10
2002,RUTHERFORD,14 2 SIEGAL ELEM,RUTHERFORD,14-2 Siegal Elem,unmatched,unknown,0.464286,10
2002,RUTHERFORD,15 1 MBORO SPORTS,RUTHERFORD,15-1 MBoro Sports,unmatched,unknown,0.585366,10
2002,RUTHERFORD,18 1 ELECTIONS OPER,RUTHERFORD,18-1 Elections Oper,unmatched,unknown,0.418605,10
2002,RUTHERFORD,18 2 WILDERNESS II,RUTHERFORD,18-2 Wilderness II,unmatched,unknown,0.387097,10
2002,RUTHERFORD,18 3 WILDERNESS III,RUTHERFORD,18-3 Wilderness III,unmatched,unknown,0.409091,10
2002,RUTHERFORD,20 1 BLACKMAN CC,RUTHERFORD,20-1 Blackman CC,unmatched,unknown,0.588235,10
2002,RUTHERFORD,20 2 FLORENCE FIRE,RUTHERFORD,20-2 Florence Fire,unmatched,unknown,0.461538,10
2002,VAN BUREN,CEDAR GROVE CC,VAN BUREN,Cedar Grove CC,unmatched,unknown,0.7,10
2002,VAN BUREN,CUMMINGSVILLE CC,VAN BUREN,Cummingsville CC,unmatched,unknown,0.727273,10
2002,VAN BUREN,WHITE HILL CC,VAN BUREN,White Hill CC,unmatched,unknown,0.684211,10
2002,WASHINGTON,10I INDIAN TRAIL,WASHINGTON,10I Indian Trail,matched_no_transfer,high,1.0,10
2002,WASHINGTON,ZABSENTEE,WASHINGTON,zABSENTEE,unmatched,unknown,0.32,10
