year,county_norm,from_precinct_norm,match_method,low_conf_rows,avg_match_score,top_suggested_dst_vtd20,top_suggested_dst_count,unique_suggested_dst_count,total_weight,impact_score
2004,HAMILTON,SODDY DAISY 1,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2004,HAMILTON,SODDY DAISY 2,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2004,HAMILTON,SODDY DAISY 3,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2004,HAMILTON,SODDY DAISY 4,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2004,HAMILTON,SODDY DAISY 5,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2006,HAMILTON,144 SODDY DAISY 3,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2006,HAMILTON,148 SODDY DAISY 4,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2006,HAMILTON,148 SODDY DAISY 5,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2008,HAMILTON,144 SODDY DAISY 3,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2008,HAMILTON,148 SODDY DAISY 4,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2008,HAMILTON,165 SODDY DAISY 5,tail_fuzzy_name,31,0.8,003359,1,31,1.0,6.51
2000,SHELBY,105 10 COR 10,tail_fuzzy_name,23,0.75,008052,1,23,1.0,5.98
2000,RUTHERFORD,20 1 SPORTSMANS,tail_fuzzy_name,22,0.75,007654,1,22,1.0,5.72
2004,SHELBY,LUCY 03,tail_fuzzy_name,23,0.769231,008051,1,23,1.0,5.537687
2006,SHELBY,LUCY 03,tail_fuzzy_name,23,0.769231,008051,1,23,1.0,5.537687
2008,SHELBY,LUCY 03,tail_fuzzy_name,23,0.769231,008051,1,23,1.0,5.537687
2006,HAMILTON,139 N CHATTANOOGA 2,tail_fuzzy_name,22,0.758621,003354,1,22,1.0,5.530338
2008,HAMILTON,139 N CHATTANOOGA 2,tail_fuzzy_name,22,0.758621,003354,1,22,1.0,5.530338
2004,HAMILTON,KINGSPOINT,tail_fuzzy_name,31,0.842105,003351,1,31,1.0,5.204745
2000,RUTHERFORD,12 1 NISSAN FIRE H,tail_fuzzy_name,20,0.75,007651,1,20,1.0,5.2
2002,RUTHERFORD,07 2 RIVERDALE HS,tail_fuzzy_name,23,0.785714,007654,1,23,1.0,5.158578
2004,RUTHERFORD,07 2 RIVERDALE HS,tail_fuzzy_name,23,0.785714,007654,1,23,1.0,5.158578
2006,RUTHERFORD,7 2 RIVERDALE HS,tail_fuzzy_name,23,0.785714,007654,1,23,1.0,5.158578
2008,RUTHERFORD,7 2 RIVERDALE HS,tail_fuzzy_name,23,0.785714,007654,1,23,1.0,5.158578
2004,WASHINGTON,10S TOWN ACRES SOUTH,tail_fuzzy_name,19,0.740741,009301,1,19,1.0,5.115921
2004,WASHINGTON,10T TOWN ACRES NORTH,tail_fuzzy_name,19,0.740741,009301,1,19,1.0,5.115921
2006,WASHINGTON,10S TOWN ACRES SOUTH,tail_fuzzy_name,19,0.740741,009301,1,19,1.0,5.115921
2006,WASHINGTON,10T TOWN ACRES NORTH,tail_fuzzy_name,19,0.740741,009301,1,19,1.0,5.115921
2008,WASHINGTON,10S TOWN ACRES SOUTH,tail_fuzzy_name,19,0.740741,009301,1,19,1.0,5.115921
2008,WASHINGTON,10T TOWN ACRES NORTH,tail_fuzzy_name,19,0.740741,009301,1,19,1.0,5.115921
2004,HAMILTON,HARRISON 1,tail_fuzzy_name,46,0.9,003351,1,46,1.0,5.06
2004,HAMILTON,HARRISON 4,tail_fuzzy_name,46,0.9,003351,1,46,1.0,5.06
2006,HAMILTON,140 HARRISON 4,tail_fuzzy_name,46,0.9,003351,1,46,1.0,5.06
2008,HAMILTON,140 HARRISON 4,tail_fuzzy_name,46,0.9,003351,1,46,1.0,5.06
2002,RUTHERFORD,19 2 SEIGEL MID SCH,tail_fuzzy_name,22,0.780488,007657,1,22,1.0,5.049264
2004,RUTHERFORD,19 2 SEIGEL MID SCH,tail_fuzzy_name,22,0.780488,007657,1,22,1.0,5.049264
2006,RUTHERFORD,19 2 SEIGEL MID SCH,tail_fuzzy_name,22,0.780488,007657,1,22,1.0,5.049264
2008,RUTHERFORD,19 2 SIEGEL MID SCH,tail_fuzzy_name,22,0.780488,007657,1,22,1.0,5.049264
2000,RUTHERFORD,08 1 ALMAVILLE CO,tail_fuzzy_name,21,0.774194,007654,1,21,1.0,4.951926
2004,HAMILTON,AIRPORT 1,tail_fuzzy_name,36,0.875,003351,1,36,1.0,4.86
2004,HAMILTON,AIRPORT 2,tail_fuzzy_name,36,0.875,003351,1,36,1.0,4.86
2004,HAMILTON,AIRPORT 4,tail_fuzzy_name,36,0.875,003351,1,36,1.0,4.86
2006,HAMILTON,112 AIRPORT 2,tail_fuzzy_name,36,0.875,003351,1,36,1.0,4.86
2006,HAMILTON,154 AIRPORT 4,tail_fuzzy_name,36,0.875,003351,1,36,1.0,4.86
2008,HAMILTON,154 AIRPORT 4,tail_fuzzy_name,36,0.875,003351,1,36,1.0,4.86
2000,RUTHERFORD,13 1 CASON LANE A,tail_fuzzy_name,23,0.8,007654,1,23,1.0,4.83
2004,HAMILTON,NORTHWOODS 1,tail_fuzzy_name,21,0.785714,003386,1,21,1.0,4.710006
2004,HAMILTON,NORTHWOODS 3,tail_fuzzy_name,21,0.785714,003386,1,21,1.0,4.710006
2004,HAMILTON,NORTHWOODS 4,tail_fuzzy_name,21,0.785714,003386,1,21,1.0,4.710006
2004,HAMILTON,NORTHWOODS 5,tail_fuzzy_name,21,0.785714,003386,1,21,1.0,4.710006
2006,HAMILTON,119 NORTHWOODS 3,tail_fuzzy_name,21,0.785714,003386,1,21,1.0,4.710006
2006,HAMILTON,162 NORTHWOODS 4,tail_fuzzy_name,21,0.785714,003386,1,21,1.0,4.710006
2008,HAMILTON,119 NORTHWOODS 3,tail_fuzzy_name,21,0.785714,003386,1,21,1.0,4.710006
2000,ANDERSON,08 CLINTON MIDDL,tail_fuzzy_name,18,0.764706,000001,1,18,1.0,4.415292
2002,ANDERSON,LAKE CITY MIDDLE SCH,tail_fuzzy_name,18,0.769231,000001,1,18,1.0,4.333842
2004,ANDERSON,LAKE CITY MIDDLE SCH,tail_fuzzy_name,18,0.769231,000001,1,18,1.0,4.333842
2006,ANDERSON,LAKE CITY MIDDLE SCH,tail_fuzzy_name,18,0.769231,000001,1,18,1.0,4.333842
2002,RUTHERFORD,11 1 SMYRNA FIRE,tail_fuzzy_name,17,0.758621,007651,1,17,1.0,4.273443
2004,RUTHERFORD,11 1 SMYRNA FIRE,tail_fuzzy_name,17,0.758621,007651,1,17,1.0,4.273443
2006,HARDIN,OLIVET 1 2,tail_fuzzy_name,16,0.75,003701,1,16,1.0,4.16
2006,HARDIN,WHITES 7 1,tail_fuzzy_name,16,0.75,003701,1,16,1.0,4.16
2008,HARDIN,OLIVET 1 2,tail_fuzzy_name,16,0.75,003701,1,16,1.0,4.16
2008,HARDIN,WHITES 7 1,tail_fuzzy_name,16,0.75,003701,1,16,1.0,4.16
2000,RUTHERFORD,05 1 LAVERGNE CV,tail_fuzzy_name,15,0.75,007651,1,15,1.0,3.9
2004,HAMILTON,OOLTEWAH 1,tail_fuzzy_name,35,0.9,003351,1,35,1.0,3.85
2004,HAMILTON,OOLTEWAH 3,tail_fuzzy_name,35,0.9,003351,1,35,1.0,3.85
