precinct_key,vtd_name20,name20,county_norm,prec_id,district_num,area_weight,intersection_area_m2,precinct_area_m2
HAWKINS - 003808,3 Carter's Valley,3 Carter's Valley,HAWKINS,003808,1,2.4304076679114253e-05,1080.4506050218497,44455529.798025064
HAWKINS - 003824,1 Allandale,1 Allandale,HAWKINS,003824,1,0.000671229560062425,4034.505049359962,6010618.8544270145
JOHNSON - 004706,6 Shady,6 Shady,JOHNSON,004706,1,0.0003377641755971384,49996.0800155654,148020671.30765593
SULLIVAN - 008501,2A,2A,SULLIVAN,008501,1,0.999987887570537,13990315.034010157,13990484.492766729
SULLIVAN - 008502,4A,4A,SULLIVAN,008502,1,0.0006069988765800994,52485.40114698344,86467048.24676472
SULLIVAN - 008503,3A,3A,SULLIVAN,008503,1,0.7622759121731055,17323084.61624221,22725478.189199694
SULLIVAN - 008504,1A,1A,SULLIVAN,008504,1,0.6529865645043169,160000919.49858776,245029420.5058334
SULLIVAN - 008505,10B,10B,SULLIVAN,008505,1,0.9999732026935915,15542388.412890844,15542804.918196686
SULLIVAN - 008507,5C,5C,SULLIVAN,008507,1,0.09233682580541201,7277728.3227531975,78817181.11135934
SULLIVAN - 008508,6C,6C,SULLIVAN,008508,1,0.9990283191375291,47787423.447602645,47833902.73546799
SULLIVAN - 008511,9A,9A,SULLIVAN,008511,1,0.9089481233413451,19969962.21228003,21970409.200988624
SULLIVAN - 008512,5B,5B,SULLIVAN,008512,1,0.00032050419109307446,14147.885471691634,44142591.15751496
SULLIVAN - 008514,4C,4C,SULLIVAN,008514,1,0.12017966167807041,4023079.141673635,33475540.58231918
SULLIVAN - 008515,4B,4B,SULLIVAN,008515,1,0.9995999053606853,39644400.11932782,39660267.97994038
SULLIVAN - 008516,2C,2C,SULLIVAN,008516,1,0.9973814440421552,31117299.07555859,31198995.39081799
SULLIVAN - 008517,2B,2B,SULLIVAN,008517,1,0.9998744090658404,9007698.35577662,9008829.783124767
SULLIVAN - 008520,6A,6A,SULLIVAN,008520,1,0.0003848679971096602,19599.06452899919,50924121.19528567
SULLIVAN - 008521,6B,6B,SULLIVAN,008521,1,0.8162766576983762,28378938.296548933,34766323.438144036
SULLIVAN - 008522,10A,10A,SULLIVAN,008522,1,0.3256255284431954,4678578.3608171195,14367971.648860713
SULLIVAN - 008523,11B,11B,SULLIVAN,008523,1,0.24386375922503367,1823619.4580680856,7478025.697066689
CLAIBORNE - 001207,3-1 Lone Mountain,3-1 Lone Mountain,CLAIBORNE,001207,10,0.000540755564507927,31539.406068916636,58324699.99197631
CLAIBORNE - 001215,4-4 Springdale,4-4 Springdale,CLAIBORNE,001215,10,0.0004545483089345322,64038.16130089281,140883070.16475144
GRAINGER - 002951,4-2 Washburn Ele. School,4-2 Washburn Ele. School,GRAINGER,002951,10,0.9994898137488014,124573618.01467578,124637206.2036687
GRAINGER - 002952,1-2 Old Central Point School,1-2 Old Central Point School,GRAINGER,002952,10,0.999890410533915,80420521.37534282,80429335.58328696
GRAINGER - 002953,1-1 Rutledge Middle School,1-1 Rutledge Middle School,GRAINGER,002953,10,1.0,71866102.567335,71866102.567335
GRAINGER - 002954,3-2 Indian Ridge Comm. Blg.,3-2 Indian Ridge Comm. Blg.,GRAINGER,002954,10,0.999742191091039,101536790.08218911,101562973.9216867
GRAINGER - 002955,3-1 Blaine City Hall,3-1 Blaine City Hall,GRAINGER,002955,10,0.9990490227663328,62331453.129636616,62390785.34609137
GRAINGER - 002956,4-1 Thorn Hill Comm. Blg.,4-1 Thorn Hill Comm. Blg.,GRAINGER,002956,10,0.9992630359831663,126223092.04588127,126316182.52714758
GRAINGER - 002957,2-1 Bean Station Ele. School,2-1 Bean Station Ele. School,GRAINGER,002957,10,0.9996215990938939,54718850.66103419,54739564.16171283
GRAINGER - 002958,2-2 Grainger High School,2-2 Grainger High School,GRAINGER,002958,10,1.0000000000000002,79329932.86103067,79329932.86103065
GRAINGER - 002959,5-2 Senior Citizens Center,5-2 Senior Citizens Center,GRAINGER,002959,10,0.9999685951865999,37650611.92132776,37651794.3689041
GRAINGER - 002960,5-1 Bean Station Library,5-1 Bean Station Library,GRAINGER,002960,10,1.0000000000000007,44421281.36391082,44421281.36391079
HAMBLEN - 003251,4-1,4-1,HAMBLEN,003251,10,0.9923503750429266,8065100.916520284,8127271.495384287
HAMBLEN - 003252,1-1,1-1,HAMBLEN,003252,10,1.0000000000000002,4699673.259188349,4699673.259188348
HAMBLEN - 003253,2-1,2-1,HAMBLEN,003253,10,1.0,5693005.67084429,5693005.67084429
HAMBLEN - 003254,3-1,3-1,HAMBLEN,003254,10,0.9569326539280256,12288059.457505634,12841091.175084786
HAMBLEN - 003255,5-1,5-1,HAMBLEN,003255,10,0.9999999999999996,16942200.521551162,16942200.52155117
HAMBLEN - 003256,6-1,6-1,HAMBLEN,003256,10,0.9999999999999988,35914993.12916643,35914993.12916648
HAMBLEN - 003257,7-1,7-1,HAMBLEN,003257,10,0.9987556953262845,17571990.617922142,17593882.768479764
