code4,prctseq,code_display,link_text,url,filename,local_path
0101,0101,01-01,Precinct Polling Location 0101,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0101.pdf,PrecinctPollingLoc_0101.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0101.pdf
0102,0102,01-02,Precinct Polling Location 0102,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0102.pdf,PrecinctPollingLoc_0102.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0102.pdf
0103,0103,01-03,Precinct Polling Location 0103,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0103.pdf,PrecinctPollingLoc_0103.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0103.pdf
0104,0104,01-04,Precinct Polling Location 0104,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0104.pdf,PrecinctPollingLoc_0104.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0104.pdf
0105,0105,01-05,Precinct Polling Location 0105,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0105.pdf,PrecinctPollingLoc_0105.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0105.pdf
0106,0106,01-06,Precinct Polling Location 0106,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0106.pdf,PrecinctPollingLoc_0106.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0106.pdf
0107,0107,01-07,Precinct Polling Location 0107,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0107.pdf,PrecinctPollingLoc_0107.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0107.pdf
0108,0108,01-08,Precinct Polling Location 0108,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0108.pdf,PrecinctPollingLoc_0108.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0108.pdf
0109,0109,01-09,Precinct Polling Location 0109,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0109.pdf,PrecinctPollingLoc_0109.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0109.pdf
0110,0110,01-10,Precinct Polling Location 0110,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0110.pdf,PrecinctPollingLoc_0110.pdf,Data\raw\shelby_precinct_pdfs\PrecinctPollingLoc_0110.pdf
