prctseq,display_code,code4,polling_location,mentioned_codes,pdf_url,pdf_filename,override_targets,override_vtd20s,override_vtd_names,override_weights,override_source,override_confidence,status
0112,10-10,1010,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1010.pdf,PrecinctPollingLoc_1010.pdf,1,008194,Memphis 74-1,1.0,shelby_geometry_review,sliver_only,resolved
0113,11-01,1101,Greater Middle Baptist Church,1101;1102;1103;1105;1311;1005;1010;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1101.pdf,PrecinctPollingLoc_1101.pdf,0,,,,,,needs_review
0114,11-02,1102,Greater Middle Baptist Church,1101;1104;1102;1201;1103;0407;1311;0408;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1102.pdf,PrecinctPollingLoc_1102.pdf,0,,,,,,needs_review
0115,11-03,1103,McFarland Community Ctr,1101;1102;1103;1105;1104;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1103.pdf,PrecinctPollingLoc_1103.pdf,0,,,,,,needs_review
0116,11-04,1104,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1104.pdf,PrecinctPollingLoc_1104.pdf,1,008245,Memphis 93-1,1.0,shelby_geometry_review,sliver_only,resolved
0117,11-05,1105,Hickory Hill Community Ctr,1108;1101;1106;1104;1102;1105;1201;1103;0409;1207;1204;1107;1010;0408;1202;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1105.pdf,PrecinctPollingLoc_1105.pdf,0,,,,,,needs_review
0118,11-06,1106,New Beginnings Community Church,1108;1106;1208;1105;1204;1207;1205;1201;1202;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1106.pdf,PrecinctPollingLoc_1106.pdf,0,,,,,,needs_review
0119,11-07,1107,Easthaven Church of Christ,1108;1010;0908;1101;1104;1102;1201;1107;1103;1105;1207;1009;0408;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1107.pdf,PrecinctPollingLoc_1107.pdf,0,,,,,,needs_review
0120,11-08,1108,Soul Winners Baptist Church,1108;1106;1105;1207;1107;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1108.pdf,PrecinctPollingLoc_1108.pdf,0,,,,,,needs_review
0121,12-01,1201,Ridgeway Assembly of God (Fellowship Hall),1201;0409;1106;1102;1105;1104;1204;0408;1202;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1201.pdf,PrecinctPollingLoc_1201.pdf,0,,,,,,needs_review
0122,12-02,1202,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1202.pdf,PrecinctPollingLoc_1202.pdf,1,008216,Memphis 80-2,1.0,shelby_geometry_review,core_tn08,resolved
0123,12-03,1203,St Mark's United Methodist Church,0203;1203;1206;0204;0412;0410;0207;0206;1205;0213;0211;1202;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1203.pdf,PrecinctPollingLoc_1203.pdf,0,,,,,,needs_review
0124,12-04,1204,Anointed Temple of Praise,1106;1105;1206;1204;1202;1201;0412;0410;1108;1205;0408;1203;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1204.pdf,PrecinctPollingLoc_1204.pdf,0,,,,,,needs_review
0125,12-05,1205,New Growth In Christ Christian Ctr,1208;1205;1206;1204;0412;1106;1203;1202;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1205.pdf,PrecinctPollingLoc_1205.pdf,0,,,,,,needs_review
0126,12-06,1206,Greater Love Baptist Church,1209;1206;1205;1203;1202;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1206.pdf,PrecinctPollingLoc_1206.pdf,0,,,,,,needs_review
0127,12-07,1207,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1207.pdf,PrecinctPollingLoc_1207.pdf,1,008219,Memphis 81-3,1.0,shelby_geometry_review,core_tn08,resolved
0128,12-08,1208,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1208.pdf,PrecinctPollingLoc_1208.pdf,1,008217,Memphis 81-1,1.0,shelby_geometry_review,core_tn08,resolved
0129,12-09,1209,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1209.pdf,PrecinctPollingLoc_1209.pdf,1,008259,Memphis 96-1,1.0,shelby_geometry_review,core_tn08,resolved
0130,12-10,1210,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1210.pdf,PrecinctPollingLoc_1210.pdf,1,008260,Millington 1,1.0,shelby_geometry_review,sliver_only,resolved
0131,13-01,1301,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1301.pdf,PrecinctPollingLoc_1301.pdf,0,,,,,,needs_review
0132,13-02,1302,Gaisman Community Center,0707;1301;1302;1305;1306;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1302.pdf,PrecinctPollingLoc_1302.pdf,0,,,,,,needs_review
0133,13-03,1303,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1303.pdf,PrecinctPollingLoc_1303.pdf,1,008231,Memphis 87-3,1.0,shelby_geometry_review,core_tn08,resolved
0134,13-04,1304,First Baptist Church Broad,1304;0709;0401;0708;0707;1308;1305;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1304.pdf,PrecinctPollingLoc_1304.pdf,0,,,,,,needs_review
0135,13-05,1305,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1305.pdf,PrecinctPollingLoc_1305.pdf,1,008263,Morning Sun 02,1.0,shelby_geometry_review,boundary_split,resolved
0136,13-06,1306,Memphis Bible Church,1305;1306;0401;0707;1303;1302;1301;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1306.pdf,PrecinctPollingLoc_1306.pdf,0,,,,,,needs_review
0137,13-07,1307,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1307.pdf,PrecinctPollingLoc_1307.pdf,1,008229,Memphis 86,1.0,shelby_geometry_review,sliver_only,resolved
0138,13-08,1308,St Johns Episcopal Church,1308;1309;0401;0709;1307;0710;1304;1305;1001;1003;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1308.pdf,PrecinctPollingLoc_1308.pdf,0,,,,,,needs_review
0139,13-09,1309,Davis Community Ctr,1308;1309;1008;1304;1001;1310;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1309.pdf,PrecinctPollingLoc_1309.pdf,0,,,,,,needs_review
0140,13-10,1310,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1310.pdf,PrecinctPollingLoc_1310.pdf,0,,,,,,needs_review
0141,13-11,1311,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1311.pdf,PrecinctPollingLoc_1311.pdf,1,008270,Stewartville,1.0,shelby_geometry_review,core_tn08,resolved
0142,13-12,1312,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_1312.pdf,PrecinctPollingLoc_1312.pdf,0,,,,,,needs_review
