prctseq,display_code,code4,polling_location,mentioned_codes,pdf_url,pdf_filename,override_targets,override_vtd20s,override_vtd_names,override_weights,override_source,override_confidence,status
0027,03-01,0301,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0301.pdf,PrecinctPollingLoc_0301.pdf,1,008070,Collierville 3,1.0,shelby_geometry_review,core_tn08,resolved
0028,03-02,0302,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0302.pdf,PrecinctPollingLoc_0302.pdf,1,008076,Cordova 3,1.0,shelby_geometry_review,core_tn08,resolved
0029,03-03,0303,IH Clubhouse,0308;0111;0303;0302;0311;0106;0103;0307;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0303.pdf,PrecinctPollingLoc_0303.pdf,0,,,,,,needs_review
0030,03-04,0304,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0304.pdf,PrecinctPollingLoc_0304.pdf,1,008071,Collierville 4,1.0,shelby_geometry_review,core_tn08,resolved
0031,03-05,0305,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0305.pdf,PrecinctPollingLoc_0305.pdf,1,008078,Cordova 5,1.0,shelby_geometry_review,core_tn08,resolved
0032,03-06,0306,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0306.pdf,PrecinctPollingLoc_0306.pdf,1,008087,Germantown 03,1.0,shelby_geometry_review,core_tn08,resolved
0033,03-07,0307,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0307.pdf,PrecinctPollingLoc_0307.pdf,1,008099,Lucy 3,1.0,shelby_geometry_review,core_tn08,resolved
0034,03-08,0308,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0308.pdf,PrecinctPollingLoc_0308.pdf,1,008091,Germantown 08,1.0,shelby_geometry_review,core_tn08,resolved
0035,03-09,0309,Waypoint Baptist,0309;0606;0305;0310;0609;0602;0502;0608;0604;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0309.pdf,PrecinctPollingLoc_0309.pdf,0,,,,,,needs_review
0036,03-10,0310,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0310.pdf,PrecinctPollingLoc_0310.pdf,1,008093,Germantown 10,1.0,shelby_geometry_review,core_tn08,resolved
0037,03-11,0311,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0311.pdf,PrecinctPollingLoc_0311.pdf,1,008094,Germantown 11,1.0,shelby_geometry_review,core_tn08,resolved
0038,04-01,0401,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0401.pdf,PrecinctPollingLoc_0401.pdf,1,008077,Cordova 4,1.0,shelby_geometry_review,core_tn08,resolved
0039,04-02,0402,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0402.pdf,PrecinctPollingLoc_0402.pdf,1,008080,Memphis 91-4,1.0,shelby_geometry_review,core_tn08,resolved
0040,04-03,0403,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0403.pdf,PrecinctPollingLoc_0403.pdf,1,008088,Germantown 04,1.0,shelby_geometry_review,core_tn08,resolved
0041,04-04,0404,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0404.pdf,PrecinctPollingLoc_0404.pdf,0,,,,,,needs_review
0042,04-05,0405,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0405.pdf,PrecinctPollingLoc_0405.pdf,1,008089,Germantown 05,1.0,shelby_geometry_review,core_tn08,resolved
0043,04-06,0406,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0406.pdf,PrecinctPollingLoc_0406.pdf,1,008090,Germantown 06,1.0,shelby_geometry_review,core_tn08,resolved
0044,04-07,0407,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0407.pdf,PrecinctPollingLoc_0407.pdf,1,008139,Memphis 45-4,1.0,shelby_geometry_review,sliver_only,resolved
0045,04-08,0408,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0408.pdf,PrecinctPollingLoc_0408.pdf,1,008159,Memphis 58-4,1.0,shelby_geometry_review,boundary_split,resolved
0046,04-09,0409,Emmanuel United Methodist Church 0206 - Germantown Presbyterian Church (Gym),0408;0404;0409;0206;0410;1202;1201;0405;0406;0411;1102;1104;1204;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0409.pdf,PrecinctPollingLoc_0409.pdf,0,,,,,,needs_review
0047,04-10,0410,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0410.pdf,PrecinctPollingLoc_0410.pdf,1,008187,Memphis 71-4,1.0,shelby_geometry_review,sliver_only,resolved
0048,04-11,0411,The Great Hall,0411;0406;0405;0412;0410;0202;0206;0203;0510;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0411.pdf,PrecinctPollingLoc_0411.pdf,0,,,,,,needs_review
0049,04-12,0412,Faith Presbyterian Church,0412;1203;0410;0207;0204;0206;0203;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0412.pdf,PrecinctPollingLoc_0412.pdf,0,,,,,,needs_review
0050,05-01,0501,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0501.pdf,PrecinctPollingLoc_0501.pdf,1,008082,Forest Hills 1,1.0,shelby_geometry_review,boundary_split,resolved
0051,05-02,0502,Whitten Memorial Baptist Church,0609;1312;0502;0608;0503;0309;0511;0108;0110;0310;1303;0403;0504;0109;1301;0501;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0502.pdf,PrecinctPollingLoc_0502.pdf,0,,,,,,needs_review
0052,05-03,0503,Whitten Memorial Baptist Church,1312;0502;0110;0109;0509;0507;0511;0503;1303;0504;0501;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0503.pdf,PrecinctPollingLoc_0503.pdf,0,,,,,,needs_review
0053,05-04,0504,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0504.pdf,PrecinctPollingLoc_0504.pdf,1,008136,Memphis 44-5,1.0,shelby_geometry_review,core_tn08,resolved
0054,05-05,0505,,,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0505.pdf,PrecinctPollingLoc_0505.pdf,0,,,,,,needs_review
0055,05-06,0506,Houston Levee Community Ctr,0512;0215;0201;0506;0111;0510;0505;0508;2025,https://www.electionsshelbytn.gov/wp-content/uploads/2025/12/PrecinctPollingLoc_0506.pdf,PrecinctPollingLoc_0506.pdf,0,,,,,,needs_review
