year,contest_type,file,rows,numeric_rows,missing_numeric_rows,ng_rows,unm_rows,missing_votes
1998,governor,governor_1998.json,95,0,0,0,0,0.0
2000,president,president_2000.json,2147,1965,0,174,8,0.0
2000,us_senate,us_senate_2000.json,2147,1965,0,174,8,0.0
2002,governor,governor_2002.json,2148,1965,0,177,6,0.0
2002,us_senate,us_senate_2002.json,2148,1965,0,177,6,0.0
2004,president,president_2004.json,2151,1965,0,180,6,0.0
2006,governor,governor_2006.json,2019,1965,0,42,12,0.0
2006,us_senate,us_senate_2006.json,2019,1965,0,42,12,0.0
2008,president,president_2008.json,2017,1965,0,41,11,0.0
2008,us_senate,us_senate_2008.json,2017,1965,0,41,11,0.0
2010,governor,governor_2010.json,1999,1965,0,30,4,0.0
2012,president,president_2012.json,2001,1965,0,32,4,0.0
2012,us_senate,us_senate_2012.json,2002,1965,0,33,4,0.0
2014,governor,governor_2014.json,1979,1965,0,11,3,0.0
2014,us_senate,us_senate_2014.json,1977,1965,0,9,3,0.0
2016,president,president_2016.json,2003,1965,0,37,1,0.0
2018,governor,governor_2018.json,1971,1965,0,5,1,0.0
2018,us_senate,us_senate_2018.json,1971,1965,0,5,1,0.0
2020,president,president_2020.json,1971,1965,0,4,2,0.0
2020,us_senate,us_senate_2020.json,1968,1965,0,1,2,0.0
2022,governor,governor_2022.json,1968,1965,0,2,1,0.0
2024,president,president_2024.json,1966,1965,0,1,0,0.0
2024,us_senate,us_senate_2024.json,1966,1965,0,1,0,0.0
