src_year,dst_year,src_statefp,src_countyfp,src_vtdst,src_vtdi,src_geoid,src_name,dst_statefp,dst_countyfp,dst_vtdst,dst_vtdi,dst_geoid,dst_name,intersection_area_m2,src_area_m2,dst_area_m2,src_weight,dst_weight
2000,2020,47,001,0008,A,470010008,Andersonville,47,001,000001,,47001000001,Andersonville,60467163.86772081,61669758.004002005,60641482.554030344,0.9804994510242256,0.997125421758048
2000,2020,47,001,0008,A,470010008,Andersonville,47,001,000010,,47001000010,Fairview,20709.300113261488,61669758.004002005,43789185.29210609,0.0003358096542541577,0.0004729318432191697
2000,2020,47,001,0008,A,470010008,Andersonville,47,001,000011,,47001000011,Glen Alpine,2726.5212620302764,61669758.004002005,39102029.245342895,4.4211641982660955e-05,6.972838276302523e-05
2000,2020,47,001,0008,A,470010008,Andersonville,47,001,000016,,47001000016,Lake City Middle School,1055.527907688576,61669758.004002005,75016815.68047182,1.7115810761249923e-05,1.4070550690721311e-05
2000,2020,47,001,0008,A,470010008,Andersonville,47,001,000018,,47001000018,Norris,1126019.516709057,61669758.004002005,18834217.623530556,0.018258860633699664,0.0597858397527627
2000,2020,47,001,0010,A,470010010,Block House Valley,47,001,000003,,47001000003,Bull Run,11266669.027091641,11466659.842888838,36409987.86224679,0.9825589301036759,0.30943896684936706
2000,2020,47,001,0010,A,470010010,Block House Valley,47,001,000005,,47001000005,Clinton,65764.6375745254,11466659.842888838,8371026.800466854,0.005735291573623333,0.00785622112341794
2000,2020,47,001,0010,A,470010010,Block House Valley,47,001,000006,,47001000006,Clinton High,2862.2473595113233,11466659.842888838,14334565.628469123,0.0002496147438511812,0.00019967450941288134
2000,2020,47,001,0010,A,470010010,Block House Valley,47,001,000009,,47001000009,Emory Valley,12002.760160305488,11466659.842888838,14019409.791639715,0.001046752962480972,0.0008561530291712545
2000,2020,47,001,0010,A,470010010,Block House Valley,47,001,000025,,47001000025,South Clinton,119361.17070286204,11466659.842888838,11532085.448904078,0.010409410616369252,0.010350354342388715
2000,2020,47,001,0012,A,470010012,Briceville,47,001,000002,,47001000002,Briceville,55015923.14278375,55094827.50896659,55110997.77912011,0.9985678443921076,0.9982748518414164
2000,2020,47,001,0012,A,470010012,Briceville,47,001,000008,,47001000008,Dutch Valley,61.37150279396149,55094827.50896659,27172043.903767996,1.1139249466562607e-06,2.2586266609649853e-06
2000,2020,47,001,0012,A,470010012,Briceville,47,001,000016,,47001000016,Lake City Middle School,32006.350560794694,55094827.50896659,75016815.68047182,0.0005809320404095233,0.000426655680735946
2000,2020,47,001,0012,A,470010012,Briceville,47,001,000020,,47001000020,Norwood,30701.93508930841,55094827.50896659,78288972.19319831,0.00055725621582737,0.0003921616829193189
2000,2020,47,001,0012,A,470010012,Briceville,47,001,000024,,47001000024,Rosedale,8318.149780564228,55094827.50896659,164863720.13634285,0.00015097877889191076,5.045470145696755e-05
2000,2020,47,001,0016,A,470010016,City Hall,47,001,000014,,47001000014,Highland View,1279.188227709197,8639751.30487027,3900608.3549712165,0.00014805845475993184,0.0003279458257014979
2000,2020,47,001,0016,A,470010016,City Hall,47,001,000021,,47001000021,Oak Ridge City Hall,8593753.453703677,8639751.30487027,9498738.46762726,0.9946760213872518,0.9047257678471861
2000,2020,47,001,0016,A,470010016,City Hall,47,001,000023,,47001000023,Robertsville,312.890252489454,8639751.30487027,4608997.370919497,3.621519201751516e-05,6.788683683432699e-05
2000,2020,47,001,0016,A,470010016,City Hall,47,001,000026,,47001000026,West Hills,44405.77268639614,8639751.30487027,59619433.27492529,0.005139704965970999,0.0007448204427174973
2000,2020,47,001,0024,A,470010024,Claxton,47,001,000003,,47001000003,Bull Run,25062212.723062843,61756306.1109293,36409987.86224679,0.4058243489830015,0.6883334544873507
2000,2020,47,001,0024,A,470010024,Claxton,47,001,000004,,47001000004,Claxton,36527432.928447746,61756306.1109293,66749516.15274969,0.5914769718065005,0.5472314262901669
2000,2020,47,001,0024,A,470010024,Claxton,47,001,000009,,47001000009,Emory Valley,4836.936324775785,61756306.1109293,14019409.791639715,7.832295403302577e-05,0.0003450171153182373
2000,2020,47,001,0024,A,470010024,Claxton,47,001,000013,,47001000013,Hendrix Creek,3362.4486210548903,61756306.1109293,23723413.060149767,5.4447048938048806e-05,0.00014173544980772943
2000,2020,47,001,0024,A,470010024,Claxton,47,001,000019,,47001000019,North Clinton,1591.5830130305221,61756306.1109293,13113492.949525332,2.5771991773142213e-05,0.00012136987598625525
2000,2020,47,001,0024,A,470010024,Claxton,47,001,000025,,47001000025,South Clinton,110205.80860635605,61756306.1109293,11532085.448904078,0.0017845272093897535,0.009556450920750779
2000,2020,47,001,0028,P,470010028,Clinton,47,001,000005,,47001000005,Clinton,7483435.123868508,8448136.818155685,8371026.800466854,0.885808940473838,0.89396860173129
2000,2020,47,001,0028,P,470010028,Clinton,47,001,000006,,47001000006,Clinton High,949616.2932120747,8448136.818155685,14334565.628469123,0.11240541123473254,0.066246604035639
