year,county,county_norm,precinct,precinct_norm,precinct_token,source_file,rows,votes_sum
2004,ANDERSON,ANDERSON,Andersonville,ANDERSONVILLE,ANDERSONVILLE,20041102__tn__general__precinct.csv,13,1858
2004,ANDERSON,ANDERSON,Block House Valley,BLOCK HOUSE VALLEY,BLOCK,20041102__tn__general__precinct.csv,13,540
2004,ANDERSON,ANDERSON,Briceville,BRICEVILLE,BRICEVILLE,20041102__tn__general__precinct.csv,13,777
2004,ANDERSON,ANDERSON,Claxton,CLAXTON,CLAXTON,20041102__tn__general__precinct.csv,13,3921
2004,ANDERSON,ANDERSON,Clinch Valley,CLINCH VALLEY,CLINCH,20041102__tn__general__precinct.csv,13,1484
2004,ANDERSON,ANDERSON,Clinton,CLINTON,CLINTON,20041102__tn__general__precinct.csv,13,2066
2004,ANDERSON,ANDERSON,Clinton High,CLINTON HIGH,CLINTON,20041102__tn__general__precinct.csv,13,1129
2004,ANDERSON,ANDERSON,Clinton Middle Sch,CLINTON MIDDLE SCH,CLINTON,20041102__tn__general__precinct.csv,13,893
2004,ANDERSON,ANDERSON,Dutch Valley,DUTCH VALLEY,DUTCH,20041102__tn__general__precinct.csv,13,1310
2004,ANDERSON,ANDERSON,Emory Valley,EMORY VALLEY,EMORY,20041102__tn__general__precinct.csv,13,1754
2004,ANDERSON,ANDERSON,Fairview,FAIRVIEW,FAIRVIEW,20041102__tn__general__precinct.csv,13,1814
2004,ANDERSON,ANDERSON,Glen Alpine,GLEN ALPINE,GLEN,20041102__tn__general__precinct.csv,13,761
2004,ANDERSON,ANDERSON,Glenwood,GLENWOOD,GLENWOOD,20041102__tn__general__precinct.csv,13,2232
2004,ANDERSON,ANDERSON,Hendrix Creek,HENDRIX CREEK,HENDRIX,20041102__tn__general__precinct.csv,13,1648
2004,ANDERSON,ANDERSON,Highland View,HIGHLAND VIEW,HIGHLAND,20041102__tn__general__precinct.csv,13,1350
2004,ANDERSON,ANDERSON,Lake City,LAKE CITY,LAKE,20041102__tn__general__precinct.csv,13,1011
2004,ANDERSON,ANDERSON,Lake City Middle Sch,LAKE CITY MIDDLE SCH,LAKE,20041102__tn__general__precinct.csv,13,2065
2004,ANDERSON,ANDERSON,Marlow,MARLOW,MARLOW,20041102__tn__general__precinct.csv,13,1133
2004,ANDERSON,ANDERSON,Norris,NORRIS,NORRIS,20041102__tn__general__precinct.csv,13,1566
2004,ANDERSON,ANDERSON,North Clinton,NORTH CLINTON,NORTH,20041102__tn__general__precinct.csv,13,1418
2004,ANDERSON,ANDERSON,Norwood,NORWOOD,NORWOOD,20041102__tn__general__precinct.csv,13,1387
2004,ANDERSON,ANDERSON,Oak Ridge City Hall,OAK RIDGE CITY HALL,OAK,20041102__tn__general__precinct.csv,13,1048
2004,ANDERSON,ANDERSON,Pine Valley,PINE VALLEY,PINE,20041102__tn__general__precinct.csv,13,1915
