county_fips,vtd_code,geoid20,vtd_name
001,000001,47001000001,Andersonville
001,000002,47001000002,Briceville
001,000003,47001000003,Bull Run
001,000004,47001000004,Claxton
001,000005,47001000005,Clinton
001,000006,47001000006,Clinton High
001,000007,47001000007,Clinton Middle School
001,000008,47001000008,Dutch Valley
001,000009,47001000009,Emory Valley
001,000010,47001000010,Fairview
001,000011,47001000011,Glen Alpine
001,000012,47001000012,Glenwood
001,000013,47001000013,Hendrix Creek
001,000014,47001000014,Highland View
001,000015,47001000015,Lake City
001,000016,47001000016,Lake City Middle School
001,000017,47001000017,Marlow
001,000018,47001000018,Norris
001,000019,47001000019,North Clinton
001,000020,47001000020,Norwood
001,000021,47001000021,Oak Ridge City Hall
001,000022,47001000022,Pine Valley
001,000023,47001000023,Robertsville
001,000024,47001000024,Rosedale
001,000025,47001000025,South Clinton
001,000026,47001000026,West Hills
001,000027,47001000027,Woodland
003,000101,47003000101,101 Wartrace Baptist Church
003,000102,47003000102,102 Bell Buckle/Webb School
003,000103,47003000103,203 Fairhaven Baptist Church
003,000104,47003000104,303 Uniounville Fire Hall
003,000105,47003000105,403 Bedford Community Center
003,000106,47003000106,502 Flat Creek Community Center
003,000107,47003000107,505 Normandy Baptist Church
003,000108,47003000108,601 East Side School
003,000109,47003000109,701 Deery Eakin School
003,000110,47003000110,801 Thomas School
003,000111,47003000111,902 Southside School
005,000201,47005000201,2 Camden High School
005,000202,47005000202,4 Camden Elementary School
005,000203,47005000203,3 Benton Co. Courthouse
005,000204,47005000204,1 Holladay School
005,000205,47005000205,5 Benton Co. Courthouse
005,000206,47005000206,6 Big Sandy School
007,000301,47007000301,Bellview
007,000302,47007000302,Brayton
007,000303,47007000303,Cold Springs
007,000304,47007000304,Dill
007,000305,47007000305,Griffith
007,000306,47007000306,Lee Station
007,000307,47007000307,Luminary
007,000308,47007000308,Lusk
007,000309,47007000309,Mt.Crest
007,000310,47007000310,Nine Mile
007,000311,47007000311,Pikeville
007,000312,47007000312,Rigsby
009,000401,47009000401,Townsend
009,000402,47009000402,Oak View
009,000403,47009000403,Blount County Board of Education
009,000404,47009000404,Maryville Junior High
009,000405,47009000405,Prospect
009,000406,47009000406,Rockford
009,000407,47009000407,Middlesettlements
009,000408,47009000408,Alcoa High School
009,000409,47009000409,Mentor
009,000410,47009000410,Beech Grove
009,000411,47009000411,Martin Luther King
009,000412,47009000412,Oak Street
009,000413,47009000413,Everett
009,000414,47009000414,Maryville Municipal
009,000415,47009000415,Big Springs
009,000416,47009000416,Friendsville
009,000417,47009000417,William Blount High
009,000418,47009000418,Lanier
009,000419,47009000419,William Blount Academy
009,000420,47009000420,Maryville High School
009,000421,47009000421,Miser Station
009,000423,47009000423,Louisville
009,000424,47009000424,Heritage
009,000425,47009000425,Chilhowee View
009,000426,47009000426,Walland
009,000427,47009000427,Montvale
009,000429,47009000429,Porter
009,000430,47009000430,John Sevier
009,000431,47009000431,Eagleton Cafeteria
009,000432,47009000432,Maryville College
009,000433,47009000433,Fairview
009,000434,47009000434,Carpenters
009,000435,47009000435,Happy Valley
009,000436,47009000436,Pellissippi Campus
011,000501,47011000501,101 McDonald Ruritan
011,000502,47011000502,701 Stuart School
011,000503,47011000503,604 Black Fox School
011,000504,47011000504,201 E.L. Ross School
011,000505,47011000505,202 Walker Valley High
011,000506,47011000506,302 Senior Center
011,000507,47011000507,702 Cleveland High
011,000508,47011000508,402 Michigan Ave School
011,000509,47011000509,301 Lee University
011,000510,47011000510,502 5 Points Museum
011,000511,47011000511,601 Valley View School
011,000512,47011000512,401 Oak Grove School
011,000513,47011000513,603 Waterville School
011,000514,47011000514,501 Blythe/Bower School
011,000515,47011000515,602 Blue Springs School
011,000516,47011000516,102 Prospect School
011,000517,47011000517,103 Hopewell School
013,000601,47013000601,College Hill
013,000602,47013000602,Caryville
013,000603,47013000603,West LaFollette
013,000604,47013000604,Valley View
013,000605,47013000605,Elk Valley
013,000607,47013000607,LaFollette Elementary School
013,000608,47013000608,East LaFollette
013,000609,47013000609,Jacksboro
013,000610,47013000610,Campbell County High School
013,000611,47013000611,Jacksboro Station
013,000612,47013000612,Pinecrest
013,000613,47013000613,Ridgewood
