source_csv,source_year,source_vintage,overlap_csv,input_precinct_keys,crosswalk_rows,strict_crosswalk_rows,unmatched_rows,method_counts_exact_name,method_counts_token_vtd,method_counts_fuzzy_name,method_counts_unmatched,ok
20001107__tn__general__president__precinct.csv,2000,2000,tn_vtd00_to_vtd20_overlap.csv,2366,8989,8083,0,397,317,0,0,1
20001107__tn__general__senate__precinct.csv,2000,2000,tn_vtd00_to_vtd20_overlap.csv,2366,8989,8095,0,417,317,0,0,1
20021105__tn__general__governor__precinct.csv,2002,2000,tn_vtd00_to_vtd20_overlap.csv,2303,9496,8546,0,1053,61,0,0,1
20021105__tn__general__senate__precinct.csv,2002,2000,tn_vtd00_to_vtd20_overlap.csv,2303,9496,8546,0,1053,61,0,0,1
20041102__tn__general__precinct.csv,2004,2000,tn_vtd00_to_vtd20_overlap.csv,2295,8805,7666,0,1017,108,0,0,1
20061107__tn__general__governor__precinct.csv,2006,2000,tn_vtd00_to_vtd20_overlap.csv,2250,8629,7500,0,1057,17,0,0,1
20061107__tn__general__senate__precinct.csv,2006,2000,tn_vtd00_to_vtd20_overlap.csv,2187,8288,7170,0,1022,17,0,0,1
20081104__tn__general__precinct.csv,2008,2000,tn_vtd00_to_vtd20_overlap.csv,2238,8524,7447,0,1046,17,0,0,1
20101102__tn__general__precinct.csv,2010,2010,tn_vtd10_to_vtd20_overlap.csv,2166,6174,5736,0,1274,5,0,0,1
20121106__tn__general__precinct.csv,2012,2010,tn_vtd10_to_vtd20_overlap.csv,2065,4909,4275,0,1518,1,0,0,1
20141104__tn__general__precinct.csv,2014,2010,tn_vtd10_to_vtd20_overlap.csv,2061,4803,4231,0,1565,1,0,0,1
20161108__tn__general__precinct.csv,2016,2010,tn_vtd10_to_vtd20_overlap.csv,1982,4507,3998,0,1555,1,0,0,1
20181106__tn__general__precinct.csv,2018,2010,tn_vtd10_to_vtd20_overlap.csv,1976,4508,3921,0,1578,1,0,0,1
20201103__tn__general__precinct.csv,2020,2020,tn_precinct_to_2024.csv,1952,2967,2725,0,1517,8,0,0,1
20221108__tn__general__governor__precinct.csv,2022,2020,tn_precinct_to_2024.csv,1838,2018,1828,0,1628,0,0,0,1
20221108__tn__general__precinct.csv,2022,2020,tn_precinct_to_2024.csv,1841,2080,1641,0,1433,0,0,0,1
20241105__tn__general__precinct.csv,2024,2020,tn_precinct_to_2024.csv,1855,2002,1811,0,1627,2,0,0,1
