county_fp,county_norm,prctseq,vtd20,vtd_name,weight,source,confidence
037,DAVIDSON,87,001874,16-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,88,001875,16-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,89,001876,16-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,90,001878,17-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,91,001879,17-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,92,001880,17-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,93,001881,17-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,94,001882,17-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,95,001883,17-6,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,96,001884,17-7,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,98,001885,18-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,99,001886,18-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,100,001887,18-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,101,001890,19-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,102,001891,19-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,103,001892,19-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,104,001893,19-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,105,001894,19-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,106,001896,20-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,107,001897,20-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,108,001898,20-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,111,001899,21-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,112,001900,21-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,113,001901,21-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,114,001902,21-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,115,001903,22-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,117,001905,22-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,118,001906,22-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,119,001907,23-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,120,001908,23-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,121,001909,23-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,122,001910,23-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,123,001911,23-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,124,001912,24-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,125,001913,24-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,126,001914,24-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,127,001915,24-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,128,001916,24-5,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,129,001917,24-6,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,130,001918,25-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,131,001919,25-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,132,001920,25-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,133,001921,25-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,135,001922,26-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,136,001923,26-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,137,001924,26-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,138,001925,26-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,139,001926,27-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,140,001928,27-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,142,001929,28-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,143,001930,28-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,144,001931,28-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,147,001932,29-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,148,001933,29-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,149,001934,29-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,150,001935,29-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,151,001936,30-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,152,001937,30-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,153,001938,30-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,154,001940,31-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,155,001941,31-2,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,156,001942,31-3,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,157,001943,31-4,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,158,001944,32-1,1.0,davidson_current_label_exact,exact_name
037,DAVIDSON,159,001945,32-2,1.0,davidson_current_label_exact,exact_name
