year,county_norm,total_precinct_keys,strict_high_keys,strict_high_pct,strict_high_medium_keys,strict_high_medium_pct,full_keys,full_pct
2000,ANDERSON,29,28,96.5517,29,100.0,29,100.0
2000,BEDFORD,19,4,21.0526,18,94.7368,19,100.0
2000,BENTON,14,14,100.0,14,100.0,14,100.0
2000,BLEDSOE,14,14,100.0,14,100.0,14,100.0
2000,BLOUNT,39,26,66.6667,35,89.7436,39,100.0
2000,BRADLEY,21,4,19.0476,13,61.9048,21,100.0
2000,CAMPBELL,24,18,75.0,23,95.8333,24,100.0
2000,CANNON,10,9,90.0,10,100.0,10,100.0
2000,CARROLL,24,23,95.8333,24,100.0,24,100.0
2000,CARTER,22,22,100.0,22,100.0,22,100.0
2000,CHEATHAM,10,10,100.0,10,100.0,10,100.0
2000,CHESTER,17,17,100.0,17,100.0,17,100.0
2000,CLAIBORNE,20,18,90.0,18,90.0,20,100.0
2000,CLAY,8,8,100.0,8,100.0,8,100.0
2000,COCKE,18,18,100.0,18,100.0,18,100.0
2000,COFFEE,24,24,100.0,24,100.0,24,100.0
2000,CROCKETT,12,12,100.0,12,100.0,12,100.0
2000,CUMBERLAND,29,29,100.0,29,100.0,29,100.0
2000,DAVIDSON,166,164,98.7952,164,98.7952,166,100.0
2000,DECATUR,12,12,100.0,12,100.0,12,100.0
2000,DEKALB,16,16,100.0,16,100.0,16,100.0
2000,DICKSON,25,25,100.0,25,100.0,25,100.0
2000,DYER,19,14,73.6842,17,89.4737,19,100.0
2000,FAYETTE,17,16,94.1176,17,100.0,17,100.0
2000,FENTRESS,13,11,84.6154,13,100.0,13,100.0
2000,FRANKLIN,18,18,100.0,18,100.0,18,100.0
2000,GIBSON,40,40,100.0,40,100.0,40,100.0
2000,GILES,14,14,100.0,14,100.0,14,100.0
2000,GRAINGER,10,10,100.0,10,100.0,10,100.0
2000,GREENE,38,3,7.8947,13,34.2105,38,100.0
2000,GRUNDY,15,10,66.6667,14,93.3333,15,100.0
2000,HAMBLEN,17,17,100.0,17,100.0,17,100.0
2000,HAMILTON,103,103,100.0,103,100.0,103,100.0
2000,HANCOCK,7,7,100.0,7,100.0,7,100.0
2000,HARDEMAN,13,12,92.3077,13,100.0,13,100.0
2000,HARDIN,21,21,100.0,21,100.0,21,100.0
2000,HAWKINS,22,17,77.2727,22,100.0,22,100.0
2000,HAYWOOD,21,21,100.0,21,100.0,21,100.0
2000,HENDERSON,15,0,0.0,15,100.0,15,100.0
2000,HENRY,15,15,100.0,15,100.0,15,100.0
2000,HICKMAN,19,19,100.0,19,100.0,19,100.0
2000,HOUSTON,7,7,100.0,7,100.0,7,100.0
2000,HUMPHREYS,17,17,100.0,17,100.0,17,100.0
2000,JACKSON,17,17,100.0,17,100.0,17,100.0
2000,JEFFERSON,11,11,100.0,11,100.0,11,100.0
2000,JOHNSON,12,12,100.0,12,100.0,12,100.0
2000,KNOX,95,92,96.8421,92,96.8421,95,100.0
2000,LAKE,6,6,100.0,6,100.0,6,100.0
2000,LAUDERDALE,20,10,50.0,19,95.0,20,100.0
2000,LAWRENCE,30,30,100.0,30,100.0,30,100.0
2000,LEWIS,13,13,100.0,13,100.0,13,100.0
2000,LINCOLN,26,19,73.0769,23,88.4615,26,100.0
2000,LOUDON,16,15,93.75,15,93.75,16,100.0
2000,MACON,20,20,100.0,20,100.0,20,100.0
2000,MADISON,34,34,100.0,34,100.0,34,100.0
2000,MARION,29,17,58.6207,27,93.1034,29,100.0
2000,MARSHALL,13,13,100.0,13,100.0,13,100.0
2000,MAURY,29,22,75.8621,22,75.8621,29,100.0
2000,MCMINN,19,19,100.0,19,100.0,19,100.0
2000,MCNAIRY,19,19,100.0,19,100.0,19,100.0
2000,MEIGS,6,6,100.0,6,100.0,6,100.0
2000,MONROE,13,13,100.0,13,100.0,13,100.0
