from_year,source_vintage,county_norm,from_precinct_norm,src_vtdst,dst_vtd20,name20,weight,match_method,transfer_method,confidence_tier,match_score
2024,2020,ANDERSON,ANDERSONVILLE,000001,000001,Andersonville,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,BRICEVILLE,000002,000002,Briceville,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,BRUSHY VALLEY,0004,000004,Claxton,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,BULL RUN,000003,000003,Bull Run,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLAXTON,000004,000004,Claxton,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON,000005,000005,Clinton,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON HIGH,000006,000006,Clinton High,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON MIDDLE,0008,000007,Clinton Middle School,0.900076019,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON MIDDLE,0008,000001,Andersonville,0.098055521,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON MIDDLE,0008,000018,Norris,0.00182875,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON MIDDLE,0008,000010,Fairview,0.00003358,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON MIDDLE,0008,000011,Glen Alpine,0.00000442,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,CLINTON MIDDLE,0008,000016,Lake City Middle School,0.00000171,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,DUTCH VALLEY,000008,000008,Dutch Valley,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,EMORY VALLEY,000009,000009,Emory Valley,1.0,exact_name,existing_blockweighted_drawable,high,1.0
2024,2020,ANDERSON,FAIRVIEW,000010,000010,Fairview,1.0,exact_name,existing_blockweighted_drawable,high,1.0
