block_geoid,dst_statefp,dst_countyfp,dst_vtdst,dst_vtdi,dst_geoid,dst_name,weight
470010201001000,47,001,000027,,47001000027,Woodland,1.0
470010201001001,47,001,000027,,47001000027,Woodland,1.0
470010201001002,47,001,000027,,47001000027,Woodland,1.0
470010201001003,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001004,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001005,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001006,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001007,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001008,47,001,000027,,47001000027,Woodland,1.0
470010201001009,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001010,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001011,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001012,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001013,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001014,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001015,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001016,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001017,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001018,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001019,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001020,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001021,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001022,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001023,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001024,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001025,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001026,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001027,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001028,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001029,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001030,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001031,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001032,47,001,000026,,47001000026,West Hills,1.0
470010201001033,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001034,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001035,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001036,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001037,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001038,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001039,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001040,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001041,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001042,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001043,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001044,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001045,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001046,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001047,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201001048,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002000,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002001,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002002,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002003,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002004,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002005,47,001,000026,,47001000026,West Hills,1.0
470010201002006,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002007,47,001,000026,,47001000026,West Hills,1.0
470010201002008,47,001,000026,,47001000026,West Hills,1.0
470010201002009,47,001,000026,,47001000026,West Hills,1.0
470010201002010,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002011,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002012,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002013,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002014,47,001,000026,,47001000026,West Hills,1.0
470010201002015,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002016,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002017,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002018,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002019,47,001,000026,,47001000026,West Hills,1.0
470010201002020,47,001,000026,,47001000026,West Hills,1.0
470010201002021,47,001,000026,,47001000026,West Hills,1.0
470010201002022,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002023,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010201002024,47,001,000021,,47001000021,Oak Ridge City Hall,1.0
470010202011000,47,001,000009,,47001000009,Emory Valley,1.0
470010202011001,47,001,000009,,47001000009,Emory Valley,1.0
470010202011002,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011003,47,001,000009,,47001000009,Emory Valley,1.0
470010202011004,47,001,000009,,47001000009,Emory Valley,1.0
470010202011005,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011006,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011007,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011008,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011009,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011010,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011011,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011012,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011013,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011014,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011015,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011016,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011017,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011018,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011019,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011020,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011021,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011022,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011023,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011024,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011025,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011026,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011027,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011028,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011029,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011030,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011031,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011032,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011033,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011034,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011035,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011036,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011037,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011038,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011039,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011040,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011041,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011042,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011043,47,001,000013,,47001000013,Hendrix Creek,1.0
470010202011044,47,001,000026,,47001000026,West Hills,1.0
470010202011045,47,001,000026,,47001000026,West Hills,1.0
