county,precinct,office,district,party,candidate,votes
ANDERSON,01. ANDERSON CO.,President,NA,D,Al Gore,364
ANDERSON,01. ANDERSON CO.,President,NA,R,George W. Bush,519
ANDERSON,01. ANDERSON CO.,President,NA,I,Cathy Gordon Brown,0
ANDERSON,01. ANDERSON CO.,President,NA,I,Harry Browne,2
ANDERSON,01. ANDERSON CO.,President,NA,I,Patrick J. Buchanan,7
ANDERSON,01. ANDERSON CO.,President,NA,I,Howard Phillips,0
ANDERSON,01. ANDERSON CO.,President,NA,I,John Hagelin,2
ANDERSON,01. ANDERSON CO.,President,NA,I,Randall Venson,0
ANDERSON,01. ANDERSON CO.,President,NA,I,Write-Ins,0
ANDERSON,01. ANDERSON CO.,President,NA,I,Ralph Nader,5
ANDERSON,02. ANDERSONVILL,President,NA,D,Al Gore,264
ANDERSON,02. ANDERSONVILL,President,NA,R,George W. Bush,420
ANDERSON,02. ANDERSONVILL,President,NA,I,Cathy Gordon Brown,1
ANDERSON,02. ANDERSONVILL,President,NA,I,Harry Browne,0
ANDERSON,02. ANDERSONVILL,President,NA,I,Patrick J. Buchanan,3
ANDERSON,02. ANDERSONVILL,President,NA,I,Howard Phillips,0
ANDERSON,02. ANDERSONVILL,President,NA,I,John Hagelin,0
ANDERSON,02. ANDERSONVILL,President,NA,I,Randall Venson,0
ANDERSON,02. ANDERSONVILL,President,NA,I,Write-Ins,0
ANDERSON,02. ANDERSONVILL,President,NA,I,Ralph Nader,7
ANDERSON,03. BRICEVILLE,President,NA,D,Al Gore,183
ANDERSON,03. BRICEVILLE,President,NA,R,George W. Bush,105
ANDERSON,03. BRICEVILLE,President,NA,I,Cathy Gordon Brown,1
ANDERSON,03. BRICEVILLE,President,NA,I,Harry Browne,3
ANDERSON,03. BRICEVILLE,President,NA,I,Patrick J. Buchanan,1
ANDERSON,03. BRICEVILLE,President,NA,I,Howard Phillips,0
ANDERSON,03. BRICEVILLE,President,NA,I,John Hagelin,1
ANDERSON,03. BRICEVILLE,President,NA,I,Randall Venson,0
ANDERSON,03. BRICEVILLE,President,NA,I,Write-Ins,1
ANDERSON,03. BRICEVILLE,President,NA,I,Ralph Nader,2
ANDERSON,04. BLOCKHOUSE V,President,NA,D,Al Gore,78
ANDERSON,04. BLOCKHOUSE V,President,NA,R,George W. Bush,106
ANDERSON,04. BLOCKHOUSE V,President,NA,I,Cathy Gordon Brown,0
ANDERSON,04. BLOCKHOUSE V,President,NA,I,Harry Browne,1
ANDERSON,04. BLOCKHOUSE V,President,NA,I,Patrick J. Buchanan,1
ANDERSON,04. BLOCKHOUSE V,President,NA,I,Howard Phillips,0
ANDERSON,04. BLOCKHOUSE V,President,NA,I,John Hagelin,0
ANDERSON,04. BLOCKHOUSE V,President,NA,I,Randall Venson,0
ANDERSON,04. BLOCKHOUSE V,President,NA,I,Write-Ins,0
ANDERSON,04. BLOCKHOUSE V,President,NA,I,Ralph Nader,3
ANDERSON,05. CLINTON,President,NA,D,Al Gore,448
ANDERSON,05. CLINTON,President,NA,R,George W. Bush,517
ANDERSON,05. CLINTON,President,NA,I,Cathy Gordon Brown,2
ANDERSON,05. CLINTON,President,NA,I,Harry Browne,4
ANDERSON,05. CLINTON,President,NA,I,Patrick J. Buchanan,6
ANDERSON,05. CLINTON,President,NA,I,Howard Phillips,0
ANDERSON,05. CLINTON,President,NA,I,John Hagelin,0
ANDERSON,05. CLINTON,President,NA,I,Randall Venson,0
ANDERSON,05. CLINTON,President,NA,I,Write-Ins,0
ANDERSON,05. CLINTON,President,NA,I,Ralph Nader,12
ANDERSON,06. CLINTON HIGH,President,NA,D,Al Gore,139
ANDERSON,06. CLINTON HIGH,President,NA,R,George W. Bush,145
ANDERSON,06. CLINTON HIGH,President,NA,I,Cathy Gordon Brown,0
ANDERSON,06. CLINTON HIGH,President,NA,I,Harry Browne,1
ANDERSON,06. CLINTON HIGH,President,NA,I,Patrick J. Buchanan,2
ANDERSON,06. CLINTON HIGH,President,NA,I,Howard Phillips,0
ANDERSON,06. CLINTON HIGH,President,NA,I,John Hagelin,0
ANDERSON,06. CLINTON HIGH,President,NA,I,Randall Venson,0
ANDERSON,06. CLINTON HIGH,President,NA,I,Write-Ins,0
ANDERSON,06. CLINTON HIGH,President,NA,I,Ralph Nader,2
ANDERSON,07. CLAXTON,President,NA,D,Al Gore,659
ANDERSON,07. CLAXTON,President,NA,R,George W. Bush,860
ANDERSON,07. CLAXTON,President,NA,I,Cathy Gordon Brown,1
ANDERSON,07. CLAXTON,President,NA,I,Harry Browne,9
ANDERSON,07. CLAXTON,President,NA,I,Patrick J. Buchanan,6
ANDERSON,07. CLAXTON,President,NA,I,Howard Phillips,0
ANDERSON,07. CLAXTON,President,NA,I,John Hagelin,3
ANDERSON,07. CLAXTON,President,NA,I,Randall Venson,1
ANDERSON,07. CLAXTON,President,NA,I,Write-Ins,0
ANDERSON,07. CLAXTON,President,NA,I,Ralph Nader,20
ANDERSON,08. CLINTON MIDDL,President,NA,D,Al Gore,164
ANDERSON,08. CLINTON MIDDL,President,NA,R,George W. Bush,210
ANDERSON,08. CLINTON MIDDL,President,NA,I,Cathy Gordon Brown,0
ANDERSON,08. CLINTON MIDDL,President,NA,I,Harry Browne,0
ANDERSON,08. CLINTON MIDDL,President,NA,I,Patrick J. Buchanan,2
ANDERSON,08. CLINTON MIDDL,President,NA,I,Howard Phillips,0
ANDERSON,08. CLINTON MIDDL,President,NA,I,John Hagelin,0
ANDERSON,08. CLINTON MIDDL,President,NA,I,Randall Venson,0
ANDERSON,08. CLINTON MIDDL,President,NA,I,Write-Ins,0
ANDERSON,08. CLINTON MIDDL,President,NA,I,Ralph Nader,9
ANDERSON,09. DUTCH VALLEY,President,NA,D,Al Gore,146
ANDERSON,09. DUTCH VALLEY,President,NA,R,George W. Bush,208
ANDERSON,09. DUTCH VALLEY,President,NA,I,Cathy Gordon Brown,1
ANDERSON,09. DUTCH VALLEY,President,NA,I,Harry Browne,3
ANDERSON,09. DUTCH VALLEY,President,NA,I,Patrick J. Buchanan,0
ANDERSON,09. DUTCH VALLEY,President,NA,I,Howard Phillips,0
ANDERSON,09. DUTCH VALLEY,President,NA,I,John Hagelin,0
ANDERSON,09. DUTCH VALLEY,President,NA,I,Randall Venson,0
ANDERSON,09. DUTCH VALLEY,President,NA,I,Write-Ins,0
ANDERSON,09. DUTCH VALLEY,President,NA,I,Ralph Nader,7
ANDERSON,10. EMORY VALLEY,President,NA,D,Al Gore,468
ANDERSON,10. EMORY VALLEY,President,NA,R,George W. Bush,480
ANDERSON,10. EMORY VALLEY,President,NA,I,Cathy Gordon Brown,0
ANDERSON,10. EMORY VALLEY,President,NA,I,Harry Browne,3
ANDERSON,10. EMORY VALLEY,President,NA,I,Patrick J. Buchanan,1
ANDERSON,10. EMORY VALLEY,President,NA,I,Howard Phillips,0
ANDERSON,10. EMORY VALLEY,President,NA,I,John Hagelin,1
ANDERSON,10. EMORY VALLEY,President,NA,I,Randall Venson,0
ANDERSON,10. EMORY VALLEY,President,NA,I,Write-Ins,0
ANDERSON,10. EMORY VALLEY,President,NA,I,Ralph Nader,18
ANDERSON,11. FAIRVIEW,President,NA,D,Al Gore,274
ANDERSON,11. FAIRVIEW,President,NA,R,George W. Bush,365
ANDERSON,11. FAIRVIEW,President,NA,I,Cathy Gordon Brown,0
ANDERSON,11. FAIRVIEW,President,NA,I,Harry Browne,0
ANDERSON,11. FAIRVIEW,President,NA,I,Patrick J. Buchanan,2
ANDERSON,11. FAIRVIEW,President,NA,I,Howard Phillips,0
ANDERSON,11. FAIRVIEW,President,NA,I,John Hagelin,1
ANDERSON,11. FAIRVIEW,President,NA,I,Randall Venson,0
ANDERSON,11. FAIRVIEW,President,NA,I,Write-Ins,0
ANDERSON,11. FAIRVIEW,President,NA,I,Ralph Nader,7
ANDERSON,12. GLENWOOD,President,NA,D,Al Gore,526
ANDERSON,12. GLENWOOD,President,NA,R,George W. Bush,473
ANDERSON,12. GLENWOOD,President,NA,I,Cathy Gordon Brown,0
ANDERSON,12. GLENWOOD,President,NA,I,Harry Browne,5
ANDERSON,12. GLENWOOD,President,NA,I,Patrick J. Buchanan,2
ANDERSON,12. GLENWOOD,President,NA,I,Howard Phillips,0
ANDERSON,12. GLENWOOD,President,NA,I,John Hagelin,0
ANDERSON,12. GLENWOOD,President,NA,I,Randall Venson,0
ANDERSON,12. GLENWOOD,President,NA,I,Write-Ins,0
ANDERSON,12. GLENWOOD,President,NA,I,Ralph Nader,21
ANDERSON,13. HIGHLAND VIEW,President,NA,D,Al Gore,202
ANDERSON,13. HIGHLAND VIEW,President,NA,R,George W. Bush,139
ANDERSON,13. HIGHLAND VIEW,President,NA,I,Cathy Gordon Brown,1
