county,precinct,office,district,party,candidate,votes
ANDERSON,Andersonville,Governor,NA,D,Phil Bredesen,608
ANDERSON,Andersonville,Governor,NA,R,Jim Bryson,278
ANDERSON,Andersonville,Governor,NA,I,George Banks,3
ANDERSON,Andersonville,Governor,NA,I,David Gatchell,0
ANDERSON,Andersonville,Governor,NA,I,Marivuana Stout Leinoff,1
ANDERSON,Andersonville,Governor,NA,I,Charles E. Smith,0
ANDERSON,Andersonville,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",5
ANDERSON,Andersonville,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Andersonville,Governor,NA,I,Howard M. Switzer,0
ANDERSON,Block House Valley,Governor,NA,D,Phil Bredesen,176
ANDERSON,Block House Valley,Governor,NA,R,Jim Bryson,63
ANDERSON,Block House Valley,Governor,NA,I,George Banks,0
ANDERSON,Block House Valley,Governor,NA,I,David Gatchell,0
ANDERSON,Block House Valley,Governor,NA,I,Marivuana Stout Leinoff,2
ANDERSON,Block House Valley,Governor,NA,I,Charles E. Smith,0
ANDERSON,Block House Valley,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",1
ANDERSON,Block House Valley,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Block House Valley,Governor,NA,I,Howard M. Switzer,0
ANDERSON,Briceville,Governor,NA,D,Phil Bredesen,172
ANDERSON,Briceville,Governor,NA,R,Jim Bryson,61
ANDERSON,Briceville,Governor,NA,I,George Banks,2
ANDERSON,Briceville,Governor,NA,I,David Gatchell,0
ANDERSON,Briceville,Governor,NA,I,Marivuana Stout Leinoff,0
ANDERSON,Briceville,Governor,NA,I,Charles E. Smith,0
ANDERSON,Briceville,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",1
ANDERSON,Briceville,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Briceville,Governor,NA,I,Howard M. Switzer,1
ANDERSON,Claxton,Governor,NA,D,Phil Bredesen,1414
ANDERSON,Claxton,Governor,NA,R,Jim Bryson,661
ANDERSON,Claxton,Governor,NA,I,George Banks,10
ANDERSON,Claxton,Governor,NA,I,David Gatchell,2
ANDERSON,Claxton,Governor,NA,I,Marivuana Stout Leinoff,0
ANDERSON,Claxton,Governor,NA,I,Charles E. Smith,3
ANDERSON,Claxton,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",15
ANDERSON,Claxton,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Claxton,Governor,NA,I,Howard M. Switzer,1
ANDERSON,Clinch Valley,Governor,NA,D,Phil Bredesen,650
ANDERSON,Clinch Valley,Governor,NA,R,Jim Bryson,308
ANDERSON,Clinch Valley,Governor,NA,I,George Banks,2
ANDERSON,Clinch Valley,Governor,NA,I,David Gatchell,0
ANDERSON,Clinch Valley,Governor,NA,I,Marivuana Stout Leinoff,0
ANDERSON,Clinch Valley,Governor,NA,I,Charles E. Smith,2
ANDERSON,Clinch Valley,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",8
ANDERSON,Clinch Valley,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Clinch Valley,Governor,NA,I,Howard M. Switzer,2
ANDERSON,Clinton,Governor,NA,D,Phil Bredesen,1226
ANDERSON,Clinton,Governor,NA,R,Jim Bryson,383
ANDERSON,Clinton,Governor,NA,I,George Banks,7
ANDERSON,Clinton,Governor,NA,I,David Gatchell,0
ANDERSON,Clinton,Governor,NA,I,Marivuana Stout Leinoff,0
ANDERSON,Clinton,Governor,NA,I,Charles E. Smith,3
ANDERSON,Clinton,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",10
ANDERSON,Clinton,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Clinton,Governor,NA,I,Howard M. Switzer,3
ANDERSON,Clinton High,Governor,NA,D,Phil Bredesen,615
ANDERSON,Clinton High,Governor,NA,R,Jim Bryson,210
ANDERSON,Clinton High,Governor,NA,I,George Banks,0
ANDERSON,Clinton High,Governor,NA,I,David Gatchell,1
ANDERSON,Clinton High,Governor,NA,I,Marivuana Stout Leinoff,1
ANDERSON,Clinton High,Governor,NA,I,Charles E. Smith,2
ANDERSON,Clinton High,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",3
ANDERSON,Clinton High,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Clinton High,Governor,NA,I,Howard M. Switzer,0
ANDERSON,Clinton Middle Sch,Governor,NA,D,Phil Bredesen,321
ANDERSON,Clinton Middle Sch,Governor,NA,R,Jim Bryson,127
ANDERSON,Clinton Middle Sch,Governor,NA,I,George Banks,0
ANDERSON,Clinton Middle Sch,Governor,NA,I,David Gatchell,0
ANDERSON,Clinton Middle Sch,Governor,NA,I,Marivuana Stout Leinoff,0
ANDERSON,Clinton Middle Sch,Governor,NA,I,Charles E. Smith,1
ANDERSON,Clinton Middle Sch,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",3
ANDERSON,Clinton Middle Sch,Governor,NA,I,Write-in - John Jay Hooker,0
ANDERSON,Clinton Middle Sch,Governor,NA,I,Howard M. Switzer,1
ANDERSON,Dutch Valley,Governor,NA,D,Phil Bredesen,419
ANDERSON,Dutch Valley,Governor,NA,R,Jim Bryson,207
ANDERSON,Dutch Valley,Governor,NA,I,George Banks,0
ANDERSON,Dutch Valley,Governor,NA,I,David Gatchell,0
ANDERSON,Dutch Valley,Governor,NA,I,Marivuana Stout Leinoff,0
ANDERSON,Dutch Valley,Governor,NA,I,Charles E. Smith,2
ANDERSON,Dutch Valley,Governor,NA,I,"Carl ""Twofeathers"" Whitaker",7
