county,precinct,office,district,party,candidate,votes
ANDERSON,Andersonville,President,NA,D,Barack Obama,290
ANDERSON,Andersonville,President,NA,R,John McCain,1004
ANDERSON,Andersonville,President,NA,I,Chuck Baldwin,3
ANDERSON,Andersonville,President,NA,I,Bob Barr,6
ANDERSON,Andersonville,President,NA,I,Charles Jay,2
ANDERSON,Andersonville,President,NA,I,Brian Moore,1
ANDERSON,Andersonville,President,NA,I,Ralph Nader,7
ANDERSON,Andersonville,United States Senate,NA,D,Robert DTuke,221
ANDERSON,Andersonville,United States Senate,NA,R,Lamar Alexander,989
ANDERSON,Andersonville,United States Senate,NA,I,Edward LBuck,13
ANDERSON,Andersonville,United States Senate,NA,I,Christopher GFenner,1
ANDERSON,Andersonville,United States Senate,NA,I,David Gatchell,6
ANDERSON,Andersonville,United States Senate,NA,I,Ed Lawhorn,6
ANDERSON,Andersonville,United States Senate,NA,I,Daniel Towers Lewis,3
ANDERSON,Andersonville,United States Senate,NA,I,Chris Lugo,5
ANDERSON,Andersonville,U.S. House of Representatives District,3,D,Doug Vandagriff,229
ANDERSON,Andersonville,U.S. House of Representatives District,3,R,Zach Wamp,974
ANDERSON,Andersonville,U.S. House of Representatives District,3,I,Ed Choate,15
ANDERSON,Andersonville,U.S. House of Representatives District,3,I,Jean Howard-Hill,25
ANDERSON,Andersonville,State House District,38,D,Leslie Winningham,709
ANDERSON,Briceville,President,NA,D,Barack Obama,120
ANDERSON,Briceville,President,NA,R,John McCain,198
ANDERSON,Briceville,President,NA,I,Chuck Baldwin,2
ANDERSON,Briceville,President,NA,I,Ralph Nader,1
ANDERSON,Briceville,United States Senate,NA,D,Robert DTuke,90
ANDERSON,Briceville,United States Senate,NA,R,Lamar Alexander,186
ANDERSON,Briceville,United States Senate,NA,I,Edward LBuck,3
ANDERSON,Briceville,United States Senate,NA,I,Christopher GFenner,3
ANDERSON,Briceville,United States Senate,NA,I,David Gatchell,2
ANDERSON,Briceville,United States Senate,NA,I,Ed Lawhorn,3
ANDERSON,Briceville,United States Senate,NA,I,Daniel Towers Lewis,1
ANDERSON,Briceville,U.S. House of Representatives District,3,D,Doug Vandagriff,88
ANDERSON,Briceville,U.S. House of Representatives District,3,R,Zach Wamp,192
