precinct_key,vtd_name20,name20,county_norm,prec_id,district_num,area_weight,intersection_area_m2,precinct_area_m2
ANDERSON - 000001,Andersonville,Andersonville,ANDERSON,000001,12,0.0007692998507027438,46651.48347520859,60641482.554030344
ANDERSON - 000001,Andersonville,Andersonville,ANDERSON,000001,5,0.999073113337857,60585274.772678435,60641482.554030344
ANDERSON - 000001,Andersonville,Andersonville,ANDERSON,000001,8,0.00015758681143750424,9556.297876532682,60641482.554030344
ANDERSON - 000002,Briceville,Briceville,ANDERSON,000002,12,0.00022104051219151122,12181.763176481947,55110997.77912011
ANDERSON - 000002,Briceville,Briceville,ANDERSON,000002,5,0.9997789594878081,55098816.01594361,55110997.77912011
ANDERSON - 000003,Bull Run,Bull Run,ANDERSON,000003,5,1.0,36409987.86224679,36409987.86224679
ANDERSON - 000004,Claxton,Claxton,ANDERSON,000004,5,0.9996264568159643,66724582.32595315,66749516.15274969
ANDERSON - 000004,Claxton,Claxton,ANDERSON,000004,7,0.0003735431840344879,24933.826796459598,66749516.15274969
ANDERSON - 000005,Clinton,Clinton,ANDERSON,000005,5,0.9999999999999993,8371026.800466849,8371026.800466854
ANDERSON - 000006,Clinton High,Clinton High,ANDERSON,000006,5,1.0000000000000002,14334565.628469126,14334565.628469123
ANDERSON - 000007,Clinton Middle School,Clinton Middle School,ANDERSON,000007,5,1.0,18812102.401726283,18812102.401726283
ANDERSON - 000008,Dutch Valley,Dutch Valley,ANDERSON,000008,5,0.9999999999999999,27172043.90376799,27172043.903767996
ANDERSON - 000009,Emory Valley,Emory Valley,ANDERSON,000009,5,0.9999999999999992,14019409.791639704,14019409.791639715
ANDERSON - 000010,Fairview,Fairview,ANDERSON,000010,5,0.9990527681517478,43747706.78118839,43789185.29210609
ANDERSON - 000010,Fairview,Fairview,ANDERSON,000010,6,0.0006981961252358388,30573.43949818266,43789185.29210609
ANDERSON - 000010,Fairview,Fairview,ANDERSON,000010,7,0.00018199343646879592,7969.344311479243,43789185.29210609
ANDERSON - 000010,Fairview,Fairview,ANDERSON,000010,8,6.704228654615735e-05,2935.727107976156,43789185.29210609
ANDERSON - 000011,Glen Alpine,Glen Alpine,ANDERSON,000011,5,0.9999999999999998,39102029.24534289,39102029.245342895
ANDERSON - 000012,Glenwood,Glenwood,ANDERSON,000012,5,0.9999999999999998,4437867.020910532,4437867.020910533
ANDERSON - 000013,Hendrix Creek,Hendrix Creek,ANDERSON,000013,5,0.9999999999999997,23723413.06014976,23723413.060149767
ANDERSON - 000014,Highland View,Highland View,ANDERSON,000014,5,0.999999999999999,3900608.354971213,3900608.3549712165
ANDERSON - 000015,Lake City,Lake City,ANDERSON,000015,12,0.0004747197507438922,1830.731727393749,3856447.3555712984
ANDERSON - 000015,Lake City,Lake City,ANDERSON,000015,5,0.9995252802492561,3854616.6238439046,3856447.3555712984
ANDERSON - 000016,Lake City Middle School,Lake City Middle School,ANDERSON,000016,12,0.00048594510715744876,36454.054534457464,75016815.68047182
ANDERSON - 000016,Lake City Middle School,Lake City Middle School,ANDERSON,000016,5,0.9995140548928406,74980361.62593722,75016815.68047182
ANDERSON - 000017,Marlow,Marlow,ANDERSON,000017,5,0.9999999999999993,28364766.20955793,28364766.209557947
ANDERSON - 000018,Norris,Norris,ANDERSON,000018,12,2.2263784203239516e-05,419.3209568071349,18834217.623530556
ANDERSON - 000018,Norris,Norris,ANDERSON,000018,5,0.999977736215796,18833798.302573733,18834217.623530556
ANDERSON - 000019,North Clinton,North Clinton,ANDERSON,000019,5,1.0000000000000002,13113492.949525336,13113492.949525332
ANDERSON - 000020,Norwood,Norwood,ANDERSON,000020,12,1.6583468223548448e-05,1298.3026826201722,78288972.19319831
ANDERSON - 000020,Norwood,Norwood,ANDERSON,000020,5,0.9999834165317757,78287673.89051563,78288972.19319831
ANDERSON - 000021,Oak Ridge City Hall,Oak Ridge City Hall,ANDERSON,000021,5,1.0000000000000002,9498738.467627263,9498738.46762726
ANDERSON - 000022,Pine Valley,Pine Valley,ANDERSON,000022,5,0.9999999999999998,7281381.669254897,7281381.669254899
ANDERSON - 000023,Robertsville,Robertsville,ANDERSON,000023,5,1.0,4608997.370919497,4608997.370919497
ANDERSON - 000024,Rosedale,Rosedale,ANDERSON,000024,12,0.0006560833360012698,108164.33949263154,164863720.13634285
ANDERSON - 000024,Rosedale,Rosedale,ANDERSON,000024,5,0.9993439166639996,164755555.79685035,164863720.13634285
ANDERSON - 000025,South Clinton,South Clinton,ANDERSON,000025,5,1.0,11532085.448904078,11532085.448904078
ANDERSON - 000026,West Hills,West Hills,ANDERSON,000026,12,1.0046491311307093e-05,598.9661183815899,59619433.27492529
ANDERSON - 000026,West Hills,West Hills,ANDERSON,000026,5,0.9999899535086901,59618834.30880699,59619433.27492529
ANDERSON - 000027,Woodland,Woodland,ANDERSON,000027,5,0.9999999999999996,1587087.0061482028,1587087.0061482035
BEDFORD - 000101,101 Wartrace Baptist Church,101 Wartrace Baptist Church,BEDFORD,000101,14,0.9999570006471885,137771320.0957315,137777244.42807406
BEDFORD - 000101,101 Wartrace Baptist Church,101 Wartrace Baptist Church,BEDFORD,000101,16,4.299935281162426e-05,5924.332342576149,137777244.42807406
BEDFORD - 000102,102 Bell Buckle/Webb School,102 Bell Buckle/Webb School,BEDFORD,000102,13,0.000329039223461504,44878.862503659424,136393655.5390942
BEDFORD - 000102,102 Bell Buckle/Webb School,102 Bell Buckle/Webb School,BEDFORD,000102,14,0.9995924715173917,136338071.23961496,136393655.5390942
BEDFORD - 000102,102 Bell Buckle/Webb School,102 Bell Buckle/Webb School,BEDFORD,000102,16,7.848925914690921e-05,10705.436975602235,136393655.5390942
BEDFORD - 000103,203 Fairhaven Baptist Church,203 Fairhaven Baptist Church,BEDFORD,000103,13,0.00013595261669015633,22395.808422003753,164732455.8161691
BEDFORD - 000103,203 Fairhaven Baptist Church,203 Fairhaven Baptist Church,BEDFORD,000103,14,0.9998640473833106,164710060.00774723,164732455.8161691
BEDFORD - 000104,303 Uniounville Fire Hall,303 Uniounville Fire Hall,BEDFORD,000104,13,2.2589850721371685e-05,3794.3037834828815,167964978.17903626
