precinct_key,vtd_name20,name20,county_norm,prec_id,district_num,area_weight,intersection_area_m2,precinct_area_m2
ANDERSON - 000001,Andersonville,Andersonville,ANDERSON,000001,2,0.0006440152212640968,39054.03780481672,60641482.554030344
ANDERSON - 000001,Andersonville,Andersonville,ANDERSON,000001,3,0.9991296782938893,60588704.95547284,60641482.554030344
ANDERSON - 000001,Andersonville,Andersonville,ANDERSON,000001,6,0.00022630648484564045,13723.560752630838,60641482.554030344
ANDERSON - 000002,Briceville,Briceville,ANDERSON,000002,3,0.9997923694968653,55099555.054922976,55110997.77912011
ANDERSON - 000002,Briceville,Briceville,ANDERSON,000002,6,0.0002076305031354997,11442.724197178115,55110997.77912011
ANDERSON - 000003,Bull Run,Bull Run,ANDERSON,000003,3,1.0,36409987.86224679,36409987.86224679
ANDERSON - 000004,Claxton,Claxton,ANDERSON,000004,2,0.0010303595333820594,68776.0003166254,66749516.15274969
ANDERSON - 000004,Claxton,Claxton,ANDERSON,000004,3,0.9989696404666195,66680740.152433164,66749516.15274969
ANDERSON - 000005,Clinton,Clinton,ANDERSON,000005,3,0.9999999999999993,8371026.800466849,8371026.800466854
ANDERSON - 000006,Clinton High,Clinton High,ANDERSON,000006,3,1.0000000000000002,14334565.628469126,14334565.628469123
ANDERSON - 000007,Clinton Middle School,Clinton Middle School,ANDERSON,000007,3,1.0,18812102.401726283,18812102.401726283
ANDERSON - 000008,Dutch Valley,Dutch Valley,ANDERSON,000008,3,0.9999999999999999,27172043.90376799,27172043.903767996
ANDERSON - 000009,Emory Valley,Emory Valley,ANDERSON,000009,3,0.9999999999999992,14019409.791639704,14019409.791639715
ANDERSON - 000010,Fairview,Fairview,ANDERSON,000010,2,0.001055358758716228,46213.30023507199,43789185.29210609
ANDERSON - 000010,Fairview,Fairview,ANDERSON,000010,3,0.998944641241284,43742971.99187103,43789185.29210609
ANDERSON - 000011,Glen Alpine,Glen Alpine,ANDERSON,000011,3,0.9999999999999998,39102029.24534289,39102029.245342895
ANDERSON - 000012,Glenwood,Glenwood,ANDERSON,000012,3,0.9999999999999998,4437867.020910532,4437867.020910533
ANDERSON - 000013,Hendrix Creek,Hendrix Creek,ANDERSON,000013,2,0.0003968126146550331,9413.74956493939,23723413.060149767
ANDERSON - 000013,Hendrix Creek,Hendrix Creek,ANDERSON,000013,3,0.999603187385345,23713999.31058483,23723413.060149767
ANDERSON - 000014,Highland View,Highland View,ANDERSON,000014,3,0.999999999999999,3900608.354971213,3900608.3549712165
ANDERSON - 000015,Lake City,Lake City,ANDERSON,000015,3,0.9996810910326825,3855217.499927619,3856447.3555712984
ANDERSON - 000015,Lake City,Lake City,ANDERSON,000015,6,0.0003189089673364004,1229.8556437524348,3856447.3555712984
ANDERSON - 000016,Lake City Middle School,Lake City Middle School,ANDERSON,000016,3,0.9995526581098239,74983257.51635033,75016815.68047182
ANDERSON - 000016,Lake City Middle School,Lake City Middle School,ANDERSON,000016,6,0.000447341890174501,33558.16412137441,75016815.68047182
ANDERSON - 000017,Marlow,Marlow,ANDERSON,000017,3,0.9999999999999993,28364766.20955793,28364766.209557947
ANDERSON - 000018,Norris,Norris,ANDERSON,000018,3,0.9999793292335162,18833828.305816155,18834217.623530556
ANDERSON - 000018,Norris,Norris,ANDERSON,000018,6,2.0670766483765608e-05,389.3177144004229,18834217.623530556
ANDERSON - 000019,North Clinton,North Clinton,ANDERSON,000019,3,1.0000000000000002,13113492.949525336,13113492.949525332
ANDERSON - 000020,Norwood,Norwood,ANDERSON,000020,3,0.9999949625014695,78288577.81261593,78288972.19319831
ANDERSON - 000020,Norwood,Norwood,ANDERSON,000020,6,5.037498530278325e-06,394.3805823602371,78288972.19319831
