district,CVAP_TOT24
1,53756
2,53883
3,55191
4,54245
5,57471
6,55786
7,52590
8,55912
9,54332
10,53462
11,56670
12,49328
13,48330
14,53928
15,58708
16,51428
17,55220
18,52298
19,54567
20,53626
21,54499
22,55012
23,53130
24,53946
25,58408
26,58648
27,57683
28,53698
29,57887
30,55876
31,56875
32,58958
33,52760
34,53284
35,55366
36,58488
37,49575
38,53670
39,57741
40,54687
41,55214
42,56863
43,53054
44,55935
45,51462
46,59369
47,55370
48,54067
49,47251
50,50737
51,59576
52,44640
53,46931
54,52755
55,39927
56,57196
57,54918
58,52555
59,52878
60,54560
61,50900
62,53833
63,50754
64,57277
65,54152
66,54885
67,55847
68,55593
69,52540
70,54932
71,57878
72,53597
73,52804
74,54355
75,52373
76,53779
77,50166
78,52273
79,49655
80,50030
81,50690
82,50156
83,52453
84,45057
85,51615
86,51946
87,46131
88,49653
89,51914
90,52045
91,53241
92,53586
93,44352
94,57324
95,47601
96,51004
97,50053
98,49624
99,53090
