county,office,district,party,candidate,votes
ANDERSON,President,,D,Al Gore,13556
ANDERSON,President,,R,George W. Bush,14688
ANDERSON,President,,I,Cathy Gordon Brown,26
ANDERSON,President,,I,Harry Browne,79
ANDERSON,President,,I,Patrick J. Buchanan,76
ANDERSON,President,,I,Howard Phillips,10
ANDERSON,President,,I,John Hagelin,16
ANDERSON,President,,I,Randall Venson,3
ANDERSON,President,,I,Write-Ins,9
ANDERSON,President,,I,Ralph Nader,316
BEDFORD,President,,D,Al Gore,6136
BEDFORD,President,,R,George W. Bush,5911
BEDFORD,President,,I,Cathy Gordon Brown,13
BEDFORD,President,,I,Harry Browne,28
BEDFORD,President,,I,Patrick J. Buchanan,16
BEDFORD,President,,I,Howard Phillips,4
BEDFORD,President,,I,John Hagelin,17
BEDFORD,President,,I,Randall Venson,2
BEDFORD,President,,I,Write-Ins,0
BEDFORD,President,,I,Ralph Nader,80
BENTON,President,,D,Al Gore,3700
BENTON,President,,R,George W. Bush,2484
BENTON,President,,I,Cathy Gordon Brown,8
BENTON,President,,I,Harry Browne,12
BENTON,President,,I,Patrick J. Buchanan,37
BENTON,President,,I,Howard Phillips,3
BENTON,President,,I,John Hagelin,4
BENTON,President,,I,Randall Venson,1
BENTON,President,,I,Write-Ins,0
BENTON,President,,I,Ralph Nader,62
BLEDSOE,President,,D,Al Gore,1756
BLEDSOE,President,,R,George W. Bush,2380
BLEDSOE,President,,I,Cathy Gordon Brown,6
BLEDSOE,President,,I,Harry Browne,5
BLEDSOE,President,,I,Patrick J. Buchanan,14
BLEDSOE,President,,I,Howard Phillips,0
BLEDSOE,President,,I,John Hagelin,0
BLEDSOE,President,,I,Randall Venson,0
BLEDSOE,President,,I,Write-Ins,0
BLEDSOE,President,,I,Ralph Nader,35
BLOUNT,President,,D,Al Gore,14688
BLOUNT,President,,R,George W. Bush,25273
BLOUNT,President,,I,Cathy Gordon Brown,28
BLOUNT,President,,I,Harry Browne,117
BLOUNT,President,,I,Patrick J. Buchanan,117
BLOUNT,President,,I,Howard Phillips,14
BLOUNT,President,,I,John Hagelin,34
BLOUNT,President,,I,Randall Venson,4
BLOUNT,President,,I,Write-Ins,8
BLOUNT,President,,I,Ralph Nader,379
BRADLEY,President,,D,Al Gore,8768
BRADLEY,President,,R,George W. Bush,20167
BRADLEY,President,,I,Cathy Gordon Brown,34
BRADLEY,President,,I,Harry Browne,64
BRADLEY,President,,I,Patrick J. Buchanan,109
BRADLEY,President,,I,Howard Phillips,5
BRADLEY,President,,I,John Hagelin,18
BRADLEY,President,,I,Randall Venson,4
BRADLEY,President,,I,Write-Ins,3
BRADLEY,President,,I,Ralph Nader,271
CAMPBELL,President,,D,Al Gore,6492
CAMPBELL,President,,R,George W. Bush,5784
CAMPBELL,President,,I,Cathy Gordon Brown,11
CAMPBELL,President,,I,Harry Browne,15
CAMPBELL,President,,I,Patrick J. Buchanan,37
CAMPBELL,President,,I,Howard Phillips,2
CAMPBELL,President,,I,John Hagelin,1
CAMPBELL,President,,I,Randall Venson,5
CAMPBELL,President,,I,Write-Ins,0
CAMPBELL,President,,I,Ralph Nader,74
CANNON,President,,D,Al Gore,2697
CANNON,President,,R,George W. Bush,1924
CANNON,President,,I,Cathy Gordon Brown,3
CANNON,President,,I,Harry Browne,12
CANNON,President,,I,Patrick J. Buchanan,14
CANNON,President,,I,Howard Phillips,0
CANNON,President,,I,John Hagelin,2
CANNON,President,,I,Randall Venson,0
CANNON,President,,I,Write-Ins,0
CANNON,President,,I,Ralph Nader,45
CARROLL,President,,D,Al Gore,5239
CARROLL,President,,R,George W. Bush,5465
CARROLL,President,,I,Cathy Gordon Brown,10
CARROLL,President,,I,Harry Browne,11
CARROLL,President,,I,Patrick J. Buchanan,32
CARROLL,President,,I,Howard Phillips,0
CARROLL,President,,I,John Hagelin,3
CARROLL,President,,I,Randall Venson,2
CARROLL,President,,I,Write-Ins,0
CARROLL,President,,I,Ralph Nader,65
CARTER,President,,D,Al Gore,6724
CARTER,President,,R,George W. Bush,12111
CARTER,President,,I,Cathy Gordon Brown,17
CARTER,President,,I,Harry Browne,38
CARTER,President,,I,Patrick J. Buchanan,48
CARTER,President,,I,Howard Phillips,4
CARTER,President,,I,John Hagelin,2
CARTER,President,,I,Randall Venson,1
CARTER,President,,I,Write-Ins,0
CARTER,President,,I,Ralph Nader,157
CHEATHAM,President,,D,Al Gore,6062
CHEATHAM,President,,R,George W. Bush,6356
CHEATHAM,President,,I,Cathy Gordon Brown,5
CHEATHAM,President,,I,Harry Browne,27
CHEATHAM,President,,I,Patrick J. Buchanan,19
CHEATHAM,President,,I,Howard Phillips,4
CHEATHAM,President,,I,John Hagelin,4
CHEATHAM,President,,I,Randall Venson,0
CHEATHAM,President,,I,Write-Ins,0
CHEATHAM,President,,I,Ralph Nader,139
CHESTER,President,,D,Al Gore,2192
CHESTER,President,,R,George W. Bush,3487
CHESTER,President,,I,Cathy Gordon Brown,2
CHESTER,President,,I,Harry Browne,3
CHESTER,President,,I,Patrick J. Buchanan,16
CHESTER,President,,I,Howard Phillips,1
CHESTER,President,,I,John Hagelin,0
CHESTER,President,,I,Randall Venson,2
CHESTER,President,,I,Write-Ins,0
CHESTER,President,,I,Ralph Nader,25
CLAIBORNE,President,,D,Al Gore,3841
CLAIBORNE,President,,R,George W. Bush,5023
CLAIBORNE,President,,I,Cathy Gordon Brown,13
CLAIBORNE,President,,I,Harry Browne,25
CLAIBORNE,President,,I,Patrick J. Buchanan,28
CLAIBORNE,President,,I,Howard Phillips,3
CLAIBORNE,President,,I,John Hagelin,3
CLAIBORNE,President,,I,Randall Venson,2
CLAIBORNE,President,,I,Write-Ins,2
CLAIBORNE,President,,I,Ralph Nader,60
CLAY,President,,D,Al Gore,1931
CLAY,President,,R,George W. Bush,1468
CLAY,President,,I,Cathy Gordon Brown,4
CLAY,President,,I,Harry Browne,4
CLAY,President,,I,Patrick J. Buchanan,11
CLAY,President,,I,Howard Phillips,2
CLAY,President,,I,John Hagelin,1
CLAY,President,,I,Randall Venson,2
CLAY,President,,I,Write-Ins,0
CLAY,President,,I,Ralph Nader,19
COCKE,President,,D,Al Gore,3872
COCKE,President,,R,George W. Bush,6185
COCKE,President,,I,Cathy Gordon Brown,21
COCKE,President,,I,Harry Browne,28
COCKE,President,,I,Patrick J. Buchanan,28
COCKE,President,,I,Howard Phillips,3
COCKE,President,,I,John Hagelin,6
COCKE,President,,I,Randall Venson,3
COCKE,President,,I,Write-Ins,0
COCKE,President,,I,Ralph Nader,93
COFFEE,President,,D,Al Gore,8741
COFFEE,President,,R,George W. Bush,8788
COFFEE,President,,I,Cathy Gordon Brown,19
COFFEE,President,,I,Harry Browne,38
COFFEE,President,,I,Patrick J. Buchanan,41
COFFEE,President,,I,Howard Phillips,1
COFFEE,President,,I,John Hagelin,4
COFFEE,President,,I,Randall Venson,2
COFFEE,President,,I,Write-Ins,3
COFFEE,President,,I,Ralph Nader,151
CROCKETT,President,,D,Al Gore,2705
CROCKETT,President,,R,George W. Bush,2676
CROCKETT,President,,I,Cathy Gordon Brown,3
CROCKETT,President,,I,Harry Browne,0
CROCKETT,President,,I,Patrick J. Buchanan,14
CROCKETT,President,,I,Howard Phillips,0
CROCKETT,President,,I,John Hagelin,0
CROCKETT,President,,I,Randall Venson,0
CROCKETT,President,,I,Write-Ins,0
CROCKETT,President,,I,Ralph Nader,42
CUMBERLAND,President,,D,Al Gore,7644
CUMBERLAND,President,,R,George W. Bush,10994
CUMBERLAND,President,,I,Cathy Gordon Brown,10
CUMBERLAND,President,,I,Harry Browne,32
CUMBERLAND,President,,I,Patrick J. Buchanan,96
CUMBERLAND,President,,I,Howard Phillips,2
CUMBERLAND,President,,I,John Hagelin,11
CUMBERLAND,President,,I,Randall Venson,4
CUMBERLAND,President,,I,Write-Ins,1
CUMBERLAND,President,,I,Ralph Nader,223
DAVIDSON,President,,D,Al Gore,120508
DAVIDSON,President,,R,George W. Bush,84117
DAVIDSON,President,,I,Cathy Gordon Brown,118
DAVIDSON,President,,I,Harry Browne,529
DAVIDSON,President,,I,Patrick J. Buchanan,216
DAVIDSON,President,,I,Howard Phillips,77
DAVIDSON,President,,I,John Hagelin,41
DAVIDSON,President,,I,Randall Venson,22
DAVIDSON,President,,I,Write-Ins,40
DAVIDSON,President,,I,Ralph Nader,2920
DECATUR,President,,D,Al Gore,2278
DECATUR,President,,R,George W. Bush,2046
DECATUR,President,,I,Cathy Gordon Brown,2
DECATUR,President,,I,Harry Browne,4
DECATUR,President,,I,Patrick J. Buchanan,16
DECATUR,President,,I,Howard Phillips,1
DECATUR,President,,I,John Hagelin,0
DECATUR,President,,I,Randall Venson,1
DECATUR,President,,I,Write-Ins,0
DECATUR,President,,I,Ralph Nader,22
DEKALB,President,,D,Al Gore,3765
DEKALB,President,,R,George W. Bush,2411
DEKALB,President,,I,Cathy Gordon Brown,8
DEKALB,President,,I,Harry Browne,10
DEKALB,President,,I,Patrick J. Buchanan,5
DEKALB,President,,I,Howard Phillips,1
DEKALB,President,,I,John Hagelin,0
DEKALB,President,,I,Randall Venson,0
DEKALB,President,,I,Write-Ins,2
DEKALB,President,,I,Ralph Nader,63
DICKSON,President,,D,Al Gore,8332
DICKSON,President,,R,George W. Bush,7016
DICKSON,President,,I,Cathy Gordon Brown,20
DICKSON,President,,I,Harry Browne,37
DICKSON,President,,I,Patrick J. Buchanan,25
DICKSON,President,,I,Howard Phillips,2
DICKSON,President,,I,John Hagelin,3
DICKSON,President,,I,Randall Venson,1
DICKSON,President,,I,Write-Ins,0
DICKSON,President,,I,Ralph Nader,120
DYER,President,,D,Al Gore,5425
DYER,President,,R,George W. Bush,6282
DYER,President,,I,Cathy Gordon Brown,10
DYER,President,,I,Harry Browne,5
DYER,President,,I,Patrick J. Buchanan,19
DYER,President,,I,Howard Phillips,3
DYER,President,,I,John Hagelin,7
DYER,President,,I,Randall Venson,2
DYER,President,,I,Write-Ins,0
DYER,President,,I,Ralph Nader,88
FAYETTE,President,,D,Al Gore,5037
FAYETTE,President,,R,George W. Bush,6402
FAYETTE,President,,I,Cathy Gordon Brown,6
FAYETTE,President,,I,Harry Browne,15
FAYETTE,President,,I,Patrick J. Buchanan,19
FAYETTE,President,,I,Howard Phillips,2
FAYETTE,President,,I,John Hagelin,4
FAYETTE,President,,I,Randall Venson,0
FAYETTE,President,,I,Write-Ins,0
FAYETTE,President,,I,Ralph Nader,44
FENTRESS,President,,D,Al Gore,2529
FENTRESS,President,,R,George W. Bush,3417
FENTRESS,President,,I,Cathy Gordon Brown,17
FENTRESS,President,,I,Harry Browne,5
FENTRESS,President,,I,Patrick J. Buchanan,27
FENTRESS,President,,I,Howard Phillips,1
FENTRESS,President,,I,John Hagelin,4
FENTRESS,President,,I,Randall Venson,1
FENTRESS,President,,I,Write-Ins,0
FENTRESS,President,,I,Ralph Nader,28
FRANKLIN,President,,D,Al Gore,7828
FRANKLIN,President,,R,George W. Bush,6560
FRANKLIN,President,,I,Cathy Gordon Brown,21
FRANKLIN,President,,I,Harry Browne,27
FRANKLIN,President,,I,Patrick J. Buchanan,29
FRANKLIN,President,,I,Howard Phillips,9
FRANKLIN,President,,I,John Hagelin,25
FRANKLIN,President,,I,Randall Venson,2
FRANKLIN,President,,I,Write-Ins,0
FRANKLIN,President,,I,Ralph Nader,190
GIBSON,President,,D,Al Gore,8663
GIBSON,President,,R,George W. Bush,8286
GIBSON,President,,I,Cathy Gordon Brown,12
GIBSON,President,,I,Harry Browne,13
GIBSON,President,,I,Patrick J. Buchanan,56
GIBSON,President,,I,Howard Phillips,4
GIBSON,President,,I,John Hagelin,2
GIBSON,President,,I,Randall Venson,0
GIBSON,President,,I,Write-Ins,0
GIBSON,President,,I,Ralph Nader,101
GILES,President,,D,Al Gore,5527
GILES,President,,R,George W. Bush,4377
GILES,President,,I,Cathy Gordon Brown,15
GILES,President,,I,Harry Browne,22
GILES,President,,I,Patrick J. Buchanan,37
GILES,President,,I,Howard Phillips,3
GILES,President,,I,John Hagelin,5
GILES,President,,I,Randall Venson,1
GILES,President,,I,Write-Ins,0
GILES,President,,I,Ralph Nader,79
GRAINGER,President,,D,Al Gore,2361
GRAINGER,President,,R,George W. Bush,3746
GRAINGER,President,,I,Cathy Gordon Brown,11
GRAINGER,President,,I,Harry Browne,8
GRAINGER,President,,I,Patrick J. Buchanan,15
GRAINGER,President,,I,Howard Phillips,2
GRAINGER,President,,I,John Hagelin,4
GRAINGER,President,,I,Randall Venson,1
GRAINGER,President,,I,Write-Ins,0
GRAINGER,President,,I,Ralph Nader,46
GREENE,President,,D,Al Gore,7909
GREENE,President,,R,George W. Bush,12540
GREENE,President,,I,Cathy Gordon Brown,33
GREENE,President,,I,Harry Browne,49
GREENE,President,,I,Patrick J. Buchanan,52
GREENE,President,,I,Howard Phillips,16
GREENE,President,,I,John Hagelin,24
GREENE,President,,I,Randall Venson,8
GREENE,President,,I,Write-Ins,0
GREENE,President,,I,Ralph Nader,185
GRUNDY,President,,D,Al Gore,2970
GRUNDY,President,,R,George W. Bush,1553
GRUNDY,President,,I,Cathy Gordon Brown,3
GRUNDY,President,,I,Harry Browne,5
GRUNDY,President,,I,Patrick J. Buchanan,15
GRUNDY,President,,I,Howard Phillips,2
GRUNDY,President,,I,John Hagelin,3
GRUNDY,President,,I,Randall Venson,1
GRUNDY,President,,I,Write-Ins,7
GRUNDY,President,,I,Ralph Nader,37
HAMBLEN,President,,D,Al Gore,7564
HAMBLEN,President,,R,George W. Bush,11824
