district,total_population,total_vap,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,612823,612823,92.76,2.15,2.55,0.09,0.6,0,0.15
2,611878,611878,88.27,5.36,2.87,0.07,1.2,0,0.22
3,607309,607309,83.86,9.59,3.11,0.08,1.11,0,0.14
4,585631,585631,82.21,9.28,4.08,0.09,1.66,0,0.23
5,556498,556498,77.65,12.45,4.87,0.09,2.51,0,0.3
6,603264,603264,84.12,8.93,3.83,0.1,0.88,0,0.22
7,583006,583006,74.74,15.82,4.78,0.15,1.47,0,0.41
8,601435,601435,75.98,17.87,2.29,0.18,1.35,0,0.15
9,513737,513737,28.1,65.07,3.47,0.08,1.4,0,0.31
