district,total_population,total_vap,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,159594,159594,89.85,3.58,3.63,0.08,0.64,0,0.1
2,165008,165008,92.79,2.3,2.49,0.08,0.52,0,0.1
3,169463,169463,91.32,3.06,2.42,0.05,0.79,0,0.2
4,175155,175155,94.33,1.82,1.57,0.1,0.6,0,0.13
5,157183,157183,89.27,3.87,3.5,0.08,0.95,0,0.23
6,165729,165729,84.59,8.82,2.86,0.09,1.74,0,0.25
7,158363,158363,85.63,6.76,2.96,0.07,1.66,0,0.32
8,168448,168448,94.11,1.1,2.43,0.09,0.44,0,0.17
9,165792,165792,92.08,2.05,3.66,0.11,0.41,0,0.13
10,163056,163056,76.43,15.23,3.61,0.1,1.91,0,0.18
11,169606,169606,79.13,14.69,2.78,0.05,1.1,0,0.19
12,173225,173225,94.73,1.7,1.35,0.1,0.32,0,0.06
13,153556,153556,73.57,13.73,5.42,0.09,3.94,0,0.43
14,151652,151652,75.51,14.63,5.41,0.13,1.52,0,0.22
15,167766,167766,93.16,1.56,2.82,0.09,0.53,0,0.34
16,164567,164567,89.97,3.84,3.28,0.08,0.64,0,0.15
17,167019,167019,77.92,14,4.07,0.03,1.52,0,0.26
18,162780,162780,84.37,8.46,4.25,0.1,1.04,0,0.16
19,139458,139458,39.7,49.44,5.19,0.1,1.87,0,0.55
20,178841,178841,76.73,13.9,4.75,0.07,2.18,0,0.21
21,143030,143030,70.76,14.94,7.35,0.1,3.94,0,0.27
22,163817,163817,64.5,20.57,8.36,0.19,2.21,0,0.58
23,164459,164459,89.87,4.57,3.06,0.15,0.39,0,0.33
24,165632,165632,86.25,8.63,1.9,0.3,0.44,0,0.17
25,155250,155250,71.74,22.52,2.36,0.19,0.57,0,0.12
26,171365,171365,79.17,15.91,1.73,0.16,0.3,0,0.15
27,162745,162745,87.37,3.91,3.66,0.07,2.86,0,0.35
28,161216,161216,84.68,7.8,4.13,0.1,0.71,0,0.16
29,148768,148768,23.2,72.05,2.2,0.09,0.9,0,0.35
30,130741,130741,27.75,63.82,3.88,0.1,1.88,0,0.38
31,147480,147480,71.97,18.78,3.17,0.04,4.26,0,0.17
32,149779,149779,62.52,30.85,3.16,0.11,1.26,0,0.23
33,135038,135038,17.35,76.07,4.06,0.06,1.15,0,0.22
