district,total_population,total_vap,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,51704,51704,92.77,2.62,1.84,0.14,0.42,0,0.09
2,55796,55796,94.39,2.04,2.03,0.13,0.51,0,0.04
3,51160,51160,93.63,2.32,0.85,0.08,1,0,0.18
4,57981,57981,94.46,1.38,2.37,0.03,0.17,0,0.13
5,57516,57516,93.46,1.76,2.47,0.06,0.5,0,0.15
6,55569,55569,90.01,2.97,2.59,0.03,1.32,0,0.17
7,52819,52819,90.01,3.69,3.38,0.05,0.96,0,0.27
8,53444,53444,93.82,1.52,2.63,0.08,0.48,0,0.02
9,55084,55084,95.36,0.98,1.33,0.06,0.32,0,0.3
10,53636,53636,89.65,2.9,5,0.14,0.5,0,0.07
11,53005,53005,93.27,1.94,2.59,0.13,0.29,0,0.15
12,49373,49373,93.51,1.29,2.81,0.13,0.74,0,0.15
13,57661,57661,69.91,16.7,7.27,0.1,3.98,0,0.17
14,53032,53032,89.02,2.86,3.17,0.04,3.08,0,0.34
15,66138,66138,70.48,21.03,3.78,0.06,0.99,0,0.39
16,50680,50680,90.64,2.49,3.33,0.07,1.25,0,0.06
17,58621,58621,93.66,1.12,3.11,0.13,0.31,0,0.1
18,55583,55583,87.06,6.05,2.72,0.06,1.7,0,0.5
19,55354,55354,91.31,3.47,1.93,0.12,1.61,0,0.12
20,56096,56096,90.99,3.59,2.43,0.04,0.75,0,0.14
21,52427,52427,92.22,2.21,3.48,0.1,0.45,0,0.11
22,55310,55310,94.95,1.38,1.49,0.1,0.43,0,0.07
23,53660,53660,92.4,2.65,2.28,0.07,0.4,0,0.09
24,53650,53650,84.16,5.85,6.34,0.1,1.08,0,0.09
25,58241,58241,94.73,0.67,2.57,0.07,0.23,0,0.51
26,57688,57688,88.58,5.68,2.76,0.04,1.53,0,0.28
27,57695,57695,90.65,3.55,1.85,0.03,1.02,0,0.08
28,60757,60757,44.49,46.5,3.78,0.07,1.01,0,0.3
29,53901,53901,77.85,13.2,4.42,0.09,2.18,0,0.17
30,53805,53805,77.03,13.79,4.47,0.03,2.91,0,0.07
31,56873,56873,92.62,2.71,2.21,0.14,0.34,0,0.12
32,60658,60658,92.19,2.26,3.01,0.08,0.72,0,0.08
33,54819,54819,89.88,3.63,2.89,0.17,0.95,0,0.22
34,47387,47387,74.16,14.12,5.32,0.07,2.6,0,0.56
35,48829,48829,80.64,9.51,6.68,0.09,1.1,0,0.11
36,58123,58123,96.01,0.53,1.36,0.02,0.1,0,0.18
37,37048,37048,75.01,15.36,3.85,0.08,3.13,0,0.12
38,52300,52300,95.84,0.77,0.88,0.15,0.26,0,0.07
39,57738,57738,91.06,4.3,1.85,0.07,0.42,0,0.24
40,56530,56530,93.88,1.57,2.34,0.16,0.19,0,0.27
41,54361,54361,94.61,2.17,1.45,0.09,0.19,0,0.09
42,57093,57093,90.67,2.64,3.62,0.08,1.25,0,0.3
43,53048,53048,91.07,2.08,4.19,0.09,0.26,0,0.29
44,60260,60260,86.36,7.56,3.26,0.09,0.77,0,0.27
