level,state,statefp,county_name,countyfp,geoid,pop_base_2020,pop_2020,pop_2021,pop_2022,pop_2023,pop_2024,pop_2025,pct_state_pop_base_2020,pct_state_pop_2020,pct_state_pop_2021,pct_state_pop_2022,pct_state_pop_2023,pct_state_pop_2024,pct_state_pop_2025
state,Tennessee,47,,,47,6912319,6927736,6966687,7063325,7153029,7251291,7315076,100.0,100.0,100.0,100.0,100.0,100.0,100.0
county,Tennessee,47,Anderson,001,47001,77170,77347,77678,79042,80369,81574,82066,1.1164,1.1165,1.115,1.119,1.1236,1.125,1.1219
county,Tennessee,47,Bedford,003,47003,50237,50381,51168,52045,53249,54458,55273,0.7268,0.7272,0.7345,0.7368,0.7444,0.751,0.7556
county,Tennessee,47,Benton,005,47005,15858,15847,15825,15982,16160,16105,16183,0.2294,0.2287,0.2272,0.2263,0.2259,0.2221,0.2212
county,Tennessee,47,Bledsoe,007,47007,14907,14945,14837,14755,14996,15573,15920,0.2157,0.2157,0.213,0.2089,0.2096,0.2148,0.2176
county,Tennessee,47,Blount,009,47009,135290,135666,137641,139838,141407,142272,143820,1.9572,1.9583,1.9757,1.9798,1.9769,1.962,1.9661
county,Tennessee,47,Bradley,011,47011,108620,108832,109783,110790,112196,114114,115465,1.5714,1.571,1.5758,1.5685,1.5685,1.5737,1.5785
county,Tennessee,47,Campbell,013,47013,39280,39310,39483,39576,40228,40325,40290,0.5683,0.5674,0.5667,0.5603,0.5624,0.5561,0.5508
county,Tennessee,47,Cannon,015,47015,14508,14564,14550,14781,15038,15157,15296,0.2099,0.2102,0.2089,0.2093,0.2102,0.209,0.2091
county,Tennessee,47,Carroll,017,47017,28432,28427,28298,28428,29007,29203,29200,0.4113,0.4103,0.4062,0.4025,0.4055,0.4027,0.3992
county,Tennessee,47,Carter,019,47019,56365,56391,56128,56528,57047,57368,57361,0.8154,0.814,0.8057,0.8003,0.7975,0.7911,0.7841
county,Tennessee,47,Cheatham,021,47021,41023,41088,41455,41723,42223,42616,42778,0.5935,0.5931,0.595,0.5907,0.5903,0.5877,0.5848
county,Tennessee,47,Chester,023,47023,17348,17379,17481,17577,17712,17841,17994,0.251,0.2509,0.2509,0.2488,0.2476,0.246,0.246
county,Tennessee,47,Claiborne,025,47025,32041,32075,32047,32371,32667,32940,33229,0.4635,0.463,0.46,0.4583,0.4567,0.4543,0.4543
county,Tennessee,47,Clay,027,47027,7579,7588,7586,7621,7666,7810,7821,0.1096,0.1095,0.1089,0.1079,0.1072,0.1077,0.1069
county,Tennessee,47,Cocke,029,47029,35997,36043,36374,36804,37359,37736,37889,0.5208,0.5203,0.5221,0.5211,0.5223,0.5204,0.518
county,Tennessee,47,Coffee,031,47031,57873,58132,59002,59660,60562,61473,62419,0.8372,0.8391,0.8469,0.8446,0.8467,0.8478,0.8533
county,Tennessee,47,Crockett,033,47033,13910,13907,13983,13873,13967,13963,14006,0.2012,0.2007,0.2007,0.1964,0.1953,0.1926,0.1915
county,Tennessee,47,Cumberland,035,47035,61153,61381,62407,63524,64817,65630,66300,0.8847,0.886,0.8958,0.8993,0.9061,0.9051,0.9063
county,Tennessee,47,Davidson,037,47037,715887,716153,701450,712156,720989,736623,745904,10.3567,10.3375,10.0686,10.0824,10.0795,10.1585,10.1968
county,Tennessee,47,Decatur,039,47039,11434,11429,11392,11527,11685,11738,11820,0.1654,0.165,0.1635,0.1632,0.1634,0.1619,0.1616
county,Tennessee,47,DeKalb,041,47041,20074,20186,20503,20987,21301,21684,21873,0.2904,0.2914,0.2943,0.2971,0.2978,0.299,0.299
