county,precinct,office,district,party,candidate,votes
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,D,Jeff Clark,203
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,R,Bill Frist,607
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,I,Tom Burrell,18
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,I,Charles F. Johnson,2
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,I,Joel Kinstle,2
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,I,David Jarrod Ownby,3
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,I,Write-Ins,0
ANDERSON,01. ANDERSON CO. V,U.S. Senate,,I,Robert Watson,2
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,D,Jeff Clark,158
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,R,Bill Frist,451
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,I,Tom Burrell,16
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,I,Charles F. Johnson,5
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,I,Joel Kinstle,0
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,I,David Jarrod Ownby,2
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,I,Write-Ins,0
ANDERSON,02. ANDERSONVILLE,U.S. Senate,,I,Robert Watson,1
ANDERSON,03. BRICEVILLE,U.S. Senate,,D,Jeff Clark,98
ANDERSON,03. BRICEVILLE,U.S. Senate,,R,Bill Frist,136
ANDERSON,03. BRICEVILLE,U.S. Senate,,I,Tom Burrell,5
ANDERSON,03. BRICEVILLE,U.S. Senate,,I,Charles F. Johnson,4
ANDERSON,03. BRICEVILLE,U.S. Senate,,I,Joel Kinstle,2
ANDERSON,03. BRICEVILLE,U.S. Senate,,I,David Jarrod Ownby,1
ANDERSON,03. BRICEVILLE,U.S. Senate,,I,Write-Ins,0
ANDERSON,03. BRICEVILLE,U.S. Senate,,I,Robert Watson,0
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,D,Jeff Clark,32
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,R,Bill Frist,135
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,I,Tom Burrell,5
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,I,Charles F. Johnson,1
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,I,Joel Kinstle,1
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,I,David Jarrod Ownby,1
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,I,Write-Ins,0
ANDERSON,04. BLOCKHOUSE VA,U.S. Senate,,I,Robert Watson,1
ANDERSON,05. CLINTON,U.S. Senate,,D,Jeff Clark,231
ANDERSON,05. CLINTON,U.S. Senate,,R,Bill Frist,674
ANDERSON,05. CLINTON,U.S. Senate,,I,Tom Burrell,17
ANDERSON,05. CLINTON,U.S. Senate,,I,Charles F. Johnson,3
ANDERSON,05. CLINTON,U.S. Senate,,I,Joel Kinstle,1
