"county","office","district","party","candidate","votes"
"ANDERSON","Governor","","R","Don Sundquist","11190"
"ANDERSON","Governor","","I","George Alexander Hamilton, Sr","101"
"ANDERSON","Governor","","I","Irwin W. Gibbs","33"
"ANDERSON","Governor","","D","John Jay Hooker","3850"
"ANDERSON","Governor","","I","Karl Smithson","16"
"ANDERSON","Governor","","I","Lonnie L. Creech","53"
"ANDERSON","Governor","","I","Thomas E. Smith II","19"
"ANDERSON","Governor","","I","Write-Ins","1"
"BEDFORD","Governor","","R","Don Sundquist","3555"
"BEDFORD","Governor","","I","George Alexander Hamilton, Sr","19"
"BEDFORD","Governor","","I","Irwin W. Gibbs","25"
"BEDFORD","Governor","","D","John Jay Hooker","1392"
"BEDFORD","Governor","","I","Karl Smithson","14"
"BEDFORD","Governor","","I","Lonnie L. Creech","17"
"BEDFORD","Governor","","I","Thomas E. Smith II","66"
"BEDFORD","Governor","","I","Write-Ins","2"
"BENTON","Governor","","R","Don Sundquist","2345"
"BENTON","Governor","","I","George Alexander Hamilton, Sr","42"
"BENTON","Governor","","I","Irwin W. Gibbs","35"
"BENTON","Governor","","D","John Jay Hooker","1403"
"BENTON","Governor","","I","Karl Smithson","5"
"BENTON","Governor","","I","Lonnie L. Creech","21"
"BENTON","Governor","","I","Thomas E. Smith II","17"
"BENTON","Governor","","I","Write-Ins","2"
"BLEDSOE","Governor","","R","Don Sundquist","1709"
"BLEDSOE","Governor","","I","George Alexander Hamilton, Sr","30"
"BLEDSOE","Governor","","I","Irwin W. Gibbs","9"
"BLEDSOE","Governor","","D","John Jay Hooker","1031"
"BLEDSOE","Governor","","I","Karl Smithson","6"
"BLEDSOE","Governor","","I","Lonnie L. Creech","6"
"BLEDSOE","Governor","","I","Thomas E. Smith II","5"
"BLEDSOE","Governor","","I","Write-Ins","0"
"BLOUNT","Governor","","R","Don Sundquist","16232"
"BLOUNT","Governor","","I","George Alexander Hamilton, Sr","39"
"BLOUNT","Governor","","I","Irwin W. Gibbs","67"
"BLOUNT","Governor","","D","John Jay Hooker","3936"
"BLOUNT","Governor","","I","Karl Smithson","23"
"BLOUNT","Governor","","I","Lonnie L. Creech","130"
"BLOUNT","Governor","","I","Thomas E. Smith II","39"
"BLOUNT","Governor","","I","Write-Ins","0"
"BRADLEY","Governor","","R","Don Sundquist","12865"
"BRADLEY","Governor","","I","George Alexander Hamilton, Sr","97"
"BRADLEY","Governor","","I","Irwin W. Gibbs","68"
"BRADLEY","Governor","","D","John Jay Hooker","2812"
"BRADLEY","Governor","","I","Karl Smithson","25"
"BRADLEY","Governor","","I","Lonnie L. Creech","76"
"BRADLEY","Governor","","I","Thomas E. Smith II","23"
"BRADLEY","Governor","","I","Write-Ins","1"
"CAMPBELL","Governor","","R","Don Sundquist","4609"
"CAMPBELL","Governor","","I","George Alexander Hamilton, Sr","36"
"CAMPBELL","Governor","","I","Irwin W. Gibbs","17"
"CAMPBELL","Governor","","D","John Jay Hooker","2243"
"CAMPBELL","Governor","","I","Karl Smithson","16"
"CAMPBELL","Governor","","I","Lonnie L. Creech","26"
"CAMPBELL","Governor","","I","Thomas E. Smith II","11"
"CAMPBELL","Governor","","I","Write-Ins","1"
"CANNON","Governor","","R","Don Sundquist","1329"
"CANNON","Governor","","I","George Alexander Hamilton, Sr","9"
"CANNON","Governor","","I","Irwin W. Gibbs","24"
"CANNON","Governor","","D","John Jay Hooker","730"
"CANNON","Governor","","I","Karl Smithson","8"
"CANNON","Governor","","I","Lonnie L. Creech","11"
"CANNON","Governor","","I","Thomas E. Smith II","4"
"CANNON","Governor","","I","Write-Ins","2"
"CARROLL","Governor","","R","Don Sundquist","3831"
"CARROLL","Governor","","I","George Alexander Hamilton, Sr","34"
"CARROLL","Governor","","I","Irwin W. Gibbs","12"
"CARROLL","Governor","","D","John Jay Hooker","1627"
"CARROLL","Governor","","I","Karl Smithson","2"
"CARROLL","Governor","","I","Lonnie L. Creech","42"
"CARROLL","Governor","","I","Thomas E. Smith II","12"
"CARROLL","Governor","","I","Write-Ins","0"
"CARTER","Governor","","R","Don Sundquist","7068"
"CARTER","Governor","","I","George Alexander Hamilton, Sr","95"
"CARTER","Governor","","I","Irwin W. Gibbs","61"
"CARTER","Governor","","D","John Jay Hooker","1838"
"CARTER","Governor","","I","Karl Smithson","19"
"CARTER","Governor","","I","Lonnie L. Creech","39"
"CARTER","Governor","","I","Thomas E. Smith II","28"
"CARTER","Governor","","I","Write-Ins","11"
"CHEATHAM","Governor","","R","Don Sundquist","3285"
"CHEATHAM","Governor","","I","George Alexander Hamilton, Sr","42"
"CHEATHAM","Governor","","I","Irwin W. Gibbs","36"
"CHEATHAM","Governor","","D","John Jay Hooker","1554"
"CHEATHAM","Governor","","I","Karl Smithson","8"
"CHEATHAM","Governor","","I","Lonnie L. Creech","27"
"CHEATHAM","Governor","","I","Thomas E. Smith II","5"
"CHEATHAM","Governor","","I","Write-Ins","7"
"CHESTER","Governor","","R","Don Sundquist","1407"
"CHESTER","Governor","","I","George Alexander Hamilton, Sr","2"
"CHESTER","Governor","","I","Irwin W. Gibbs","1"
"CHESTER","Governor","","D","John Jay Hooker","479"
"CHESTER","Governor","","I","Karl Smithson","3"
"CHESTER","Governor","","I","Lonnie L. Creech","10"
"CHESTER","Governor","","I","Thomas E. Smith II","3"
"CHESTER","Governor","","I","Write-Ins","0"
"CLAIBORNE","Governor","","R","Don Sundquist","2878"
"CLAIBORNE","Governor","","I","George Alexander Hamilton, Sr","10"
"CLAIBORNE","Governor","","I","Irwin W. Gibbs","9"
"CLAIBORNE","Governor","","D","John Jay Hooker","1107"
"CLAIBORNE","Governor","","I","Karl Smithson","1"
"CLAIBORNE","Governor","","I","Lonnie L. Creech","23"
"CLAIBORNE","Governor","","I","Thomas E. Smith II","5"
"CLAIBORNE","Governor","","I","Write-Ins","4"
"CLAY","Governor","","R","Don Sundquist","1056"
"CLAY","Governor","","I","George Alexander Hamilton, Sr","4"
"CLAY","Governor","","I","Irwin W. Gibbs","2"
"CLAY","Governor","","D","John Jay Hooker","599"
"CLAY","Governor","","I","Karl Smithson","8"
"CLAY","Governor","","I","Lonnie L. Creech","6"
"CLAY","Governor","","I","Thomas E. Smith II","0"
"CLAY","Governor","","I","Write-Ins","0"
"COCKE","Governor","","R","Don Sundquist","3471"
"COCKE","Governor","","I","George Alexander Hamilton, Sr","29"
"COCKE","Governor","","I","Irwin W. Gibbs","22"
"COCKE","Governor","","D","John Jay Hooker","828"
"COCKE","Governor","","I","Karl Smithson","8"
"COCKE","Governor","","I","Lonnie L. Creech","22"
"COCKE","Governor","","I","Thomas E. Smith II","16"
"COCKE","Governor","","I","Write-Ins","0"
"COFFEE","Governor","","R","Don Sundquist","6092"
"COFFEE","Governor","","I","George Alexander Hamilton, Sr","47"
"COFFEE","Governor","","I","Irwin W. Gibbs","22"
"COFFEE","Governor","","D","John Jay Hooker","2546"
"COFFEE","Governor","","I","Karl Smithson","36"
"COFFEE","Governor","","I","Lonnie L. Creech","32"
"COFFEE","Governor","","I","Thomas E. Smith II","14"
"COFFEE","Governor","","I","Write-Ins","19"
"CROCKETT","Governor","","R","Don Sundquist","1128"
"CROCKETT","Governor","","I","George Alexander Hamilton, Sr","13"
"CROCKETT","Governor","","I","Irwin W. Gibbs","8"
"CROCKETT","Governor","","D","John Jay Hooker","531"
"CROCKETT","Governor","","I","Karl Smithson","2"
"CROCKETT","Governor","","I","Lonnie L. Creech","7"
"CROCKETT","Governor","","I","Thomas E. Smith II","3"
"CROCKETT","Governor","","I","Write-Ins","0"
"CUMBERLAND","Governor","","R","Don Sundquist","7617"
"CUMBERLAND","Governor","","I","George Alexander Hamilton, Sr","41"
"CUMBERLAND","Governor","","I","Irwin W. Gibbs","27"
"CUMBERLAND","Governor","","D","John Jay Hooker","2567"
"CUMBERLAND","Governor","","I","Karl Smithson","8"
"CUMBERLAND","Governor","","I","Lonnie L. Creech","17"
"CUMBERLAND","Governor","","I","Thomas E. Smith II","8"
"CUMBERLAND","Governor","","I","Write-Ins","0"
"DAVIDSON","Governor","","R","Don Sundquist","53297"
"DAVIDSON","Governor","","I","George Alexander Hamilton, Sr","706"
"DAVIDSON","Governor","","I","Irwin W. Gibbs","422"
"DAVIDSON","Governor","","D","John Jay Hooker","37075"
"DAVIDSON","Governor","","I","Karl Smithson","301"
"DAVIDSON","Governor","","I","Lonnie L. Creech","437"
"DAVIDSON","Governor","","I","Thomas E. Smith II","162"
"DAVIDSON","Governor","","I","Write-Ins","0"
"DECATUR","Governor","","R","Don Sundquist","1615"
"DECATUR","Governor","","I","George Alexander Hamilton, Sr","11"
"DECATUR","Governor","","I","Irwin W. Gibbs","10"
"DECATUR","Governor","","D","John Jay Hooker","980"
"DECATUR","Governor","","I","Karl Smithson","4"
"DECATUR","Governor","","I","Lonnie L. Creech","8"
"DECATUR","Governor","","I","Thomas E. Smith II","6"
"DECATUR","Governor","","I","Write-Ins","4"
"DEKALB","Governor","","R","Don Sundquist","1770"
"DEKALB","Governor","","I","George Alexander Hamilton, Sr","18"
"DEKALB","Governor","","I","Irwin W. Gibbs","27"
"DEKALB","Governor","","D","John Jay Hooker","850"
"DEKALB","Governor","","I","Karl Smithson","6"
"DEKALB","Governor","","I","Lonnie L. Creech","9"
"DEKALB","Governor","","I","Thomas E. Smith II","1"
"DEKALB","Governor","","I","Write-Ins","10"
"DICKSON","Governor","","R","Don Sundquist","4144"
"DICKSON","Governor","","I","George Alexander Hamilton, Sr","46"
