contest_type,year,district_num,uncalibrated_dem,calibrated_dem,dem_delta_uncal_minus_cal,uncalibrated_rep,calibrated_rep,rep_delta_uncal_minus_cal,uncalibrated_total,calibrated_total,total_delta_uncal_minus_cal
governor,2022,5,38464.0,86139.0,-47675.0,105224.0,140958.0,-35734.0,146839.0,232601.0,-85762.0
governor,2022,6,69993.0,79087.0,-9094.0,125993.0,128456.0,-2463.0,200435.0,212326.0,-11891.0
governor,2022,7,84691.0,75168.0,9523.0,121387.0,118549.0,2838.0,211174.0,198449.0,12725.0
governor,2022,8,113948.0,108850.0,5098.0,141006.0,146072.0,-5066.0,260677.0,260643.0,34.0
governor,2022,9,46224.0,71943.0,-25719.0,108348.0,137794.0,-29446.0,157923.0,214532.0,-56609.0
president,2000,3,102388.0,102036.0,352.0,140045.0,139415.0,630.0,246682.0,245680.0,1002.0
president,2000,4,87241.0,95373.0,-8132.0,84250.0,90686.0,-6436.0,174881.0,189611.0,-14730.0
president,2000,5,123091.0,154963.0,-31872.0,94130.0,154925.0,-60795.0,220434.0,313981.0,-93547.0
president,2000,6,137443.0,116556.0,20887.0,115298.0,98470.0,16828.0,256823.0,218674.0,38149.0
president,2000,7,96600.0,108015.0,-11415.0,88881.0,97807.0,-8926.0,188517.0,209095.0,-20578.0
president,2000,8,108540.0,107477.0,1063.0,130102.0,128468.0,1634.0,241711.0,238988.0,2723.0
president,2000,9,141597.0,125856.0,15741.0,124658.0,132385.0,-7727.0,269664.0,262049.0,7615.0
president,2004,3,107257.0,102751.0,4506.0,172573.0,165823.0,6750.0,282007.0,270657.0,11350.0
president,2004,4,85278.0,102582.0,-17304.0,109922.0,124381.0,-14459.0,196624.0,228544.0,-31920.0
president,2004,5,127301.0,183090.0,-55789.0,125793.0,205864.0,-80071.0,254739.0,391271.0,-136532.0
president,2004,6,165520.0,123416.0,42104.0,177449.0,140273.0,37176.0,345195.0,265518.0,79677.0
president,2004,7,83118.0,100488.0,-17370.0,117051.0,125449.0,-8398.0,201415.0,227297.0,-25882.0
president,2004,9,156706.0,137252.0,19454.0,151980.0,171717.0,-19737.0,310445.0,310903.0,-458.0
president,2008,3,107957.0,106854.0,1103.0,182360.0,179617.0,2743.0,294063.0,290167.0,3896.0
president,2008,5,163427.0,121933.0,41494.0,139700.0,177811.0,-38111.0,306467.0,303359.0,3108.0
president,2008,6,122256.0,120821.0,1435.0,151128.0,147918.0,3210.0,277686.0,272982.0,4704.0
president,2008,7,116432.0,108471.0,7961.0,148456.0,131627.0,16829.0,268237.0,243125.0,25112.0
president,2008,8,120191.0,118012.0,2179.0,188733.0,187088.0,1645.0,311788.0,307918.0,3870.0
president,2008,9,159473.0,111079.0,48394.0,141870.0,174888.0,-33018.0,304297.0,289675.0,14622.0
president,2012,3,97319.0,96812.0,507.0,179971.0,178161.0,1810.0,281932.0,279584.0,2348.0
president,2012,4,96943.0,96944.0,-1.0,129621.0,129621.0,0.0,230393.0,230394.0,-1.0
president,2012,5,141533.0,108243.0,33290.0,137992.0,178558.0,-40566.0,283041.0,290511.0,-7470.0
president,2012,6,105804.0,105042.0,762.0,153494.0,151492.0,2002.0,263681.0,260881.0,2800.0
president,2012,7,107879.0,101018.0,6861.0,153927.0,136747.0,17180.0,265557.0,241198.0,24359.0
president,2012,9,140356.0,98485.0,41871.0,140377.0,175003.0,-34626.0,283549.0,277216.0,6333.0
president,2016,3,86966.0,86684.0,282.0,188684.0,188203.0,481.0,290283.0,289496.0,787.0
president,2016,5,117621.0,94670.0,22951.0,146226.0,180454.0,-34228.0,275149.0,287018.0,-11869.0
president,2016,9,120500.0,87879.0,32621.0,145546.0,181071.0,-35525.0,275147.0,280804.0,-5657.0
president,2020,5,140025.0,121918.0,18107.0,180198.0,217171.0,-36973.0,325777.0,345436.0,-19659.0
president,2020,8,143384.0,136628.0,6756.0,197398.0,204154.0,-6756.0,346138.0,346138.0,0.0
president,2020,9,143880.0,116268.0,27612.0,179302.0,219441.0,-40139.0,328212.0,341907.0,-13695.0
president,2024,5,123927.0,116220.0,7707.0,201618.0,217991.0,-16373.0,330055.0,338483.0,-8428.0
president,2024,8,121276.0,116253.0,5023.0,169604.0,175365.0,-5761.0,294807.0,295557.0,-750.0
president,2024,9,126666.0,111362.0,15304.0,207876.0,225266.0,-17390.0,339167.0,340931.0,-1764.0
us_senate,2000,3,69519.0,69293.0,226.0,163074.0,162365.0,709.0,237690.0,236734.0,956.0
us_senate,2000,4,55371.0,60250.0,-4879.0,103706.0,112157.0,-8451.0,163986.0,177757.0,-13771.0
us_senate,2000,5,81016.0,102385.0,-21369.0,114285.0,182292.0,-68007.0,201374.0,291096.0,-89722.0
us_senate,2000,6,83488.0,70625.0,12863.0,143316.0,121696.0,21620.0,234174.0,198628.0,35546.0
us_senate,2000,7,57297.0,64341.0,-7044.0,113301.0,124954.0,-11653.0,175477.0,194762.0,-19285.0
us_senate,2000,8,71363.0,70766.0,597.0,150622.0,148786.0,1836.0,226679.0,224195.0,2484.0
us_senate,2000,9,95004.0,83342.0,11662.0,144956.0,154014.0,-9058.0,246346.0,242791.0,3555.0
us_senate,2002,3,72000.0,71779.0,221.0,114088.0,114412.0,-324.0,188694.0,188795.0,-101.0
us_senate,2002,4,69234.0,76781.0,-7547.0,68745.0,74882.0,-6137.0,139746.0,153507.0,-13761.0
us_senate,2002,5,96368.0,116149.0,-19781.0,80523.0,126382.0,-45859.0,179633.0,245744.0,-66111.0
us_senate,2002,6,114161.0,94475.0,19686.0,101414.0,84265.0,17149.0,218271.0,181172.0,37099.0
us_senate,2002,7,74840.0,79224.0,-4384.0,74484.0,74366.0,118.0,151004.0,155203.0,-4199.0
us_senate,2002,8,75301.0,74516.0,785.0,117802.0,116829.0,973.0,195674.0,193871.0,1803.0
us_senate,2002,9,97564.0,93108.0,4456.0,97425.0,108692.0,-11267.0,197617.0,204580.0,-6963.0
us_senate,2006,3,92491.0,84431.0,8060.0,121809.0,115617.0,6192.0,216862.0,202510.0,14352.0
