district_num,county_norm,dem_votes,rep_votes,other_votes,total_votes,margin_r_minus_d,margin_pct,share_of_district_total_pct,share_of_district_dem_pct,share_of_district_rep_pct,focus_cd589
1,SULLIVAN,16623.82,58153.26,762.99,75540.07,41529.44,54.9767,21.6699,23.1896,21.2754,False
1,WASHINGTON,18131.0,42299.0,804.0,61234.0,24168.0,39.4683,17.5659,25.292,15.4751,False
1,SEVIER,8320.94,35202.22,440.94,43964.1,26881.28,61.1437,12.6118,11.6074,12.8787,False
1,GREENE,5144.75,25584.51,363.98,31093.24,20439.76,65.737,8.9196,7.1767,9.3601,False
1,HAWKINS,3986.96,22065.76,213.0,26265.73,18078.8,68.8304,7.5347,5.5617,8.0728,False
1,HAMBLEN,5131.18,20150.54,214.97,25496.69,15019.37,58.9071,7.3141,7.1578,7.3721,False
1,JEFFERSON,4353.4,20344.47,234.2,24932.08,15991.07,64.1386,7.1522,6.0728,7.443,False
1,CARTER,4453.86,20165.87,230.99,24850.72,15712.01,63.2256,7.1288,6.213,7.3777,False
1,COCKE,2414.81,13104.1,142.99,15661.9,10689.28,68.2502,4.4929,3.3686,4.7941,False
1,UNICOI,1577.57,6873.97,86.97,8538.51,5296.4,62.0296,2.4494,2.2006,2.5148,False
1,JOHNSON,1211.56,6826.6,60.98,8099.13,5615.03,69.3288,2.3234,1.6901,2.4975,False
1,HANCOCK,333.96,2557.74,16.0,2907.7,2223.77,76.4788,0.8341,0.4659,0.9357,False
1,KNOX,2.17,4.45,0.08,6.7,2.28,34.0867,0.0019,0.003,0.0016,False
1,GRAINGER,0.41,2.72,0.02,3.14,2.31,73.6485,0.0009,0.0006,0.001,False
1,BLOUNT,0.21,0.86,0.01,1.08,0.65,59.9311,0.0003,0.0003,0.0003,False
1,CLAIBORNE,0.01,0.07,0.0,0.08,0.06,73.4905,0.0,0.0,0.0,False
2,KNOX,87510.42,130805.17,3532.78,221848.37,43294.76,19.5155,60.3972,73.6122,53.7444,False
2,BLOUNT,17663.49,50696.79,860.97,69221.24,33033.3,47.7213,18.8452,14.8582,20.83,False
2,LOUDON,7624.43,25223.37,357.97,33205.77,17598.94,52.9996,9.0401,6.4135,10.3636,False
2,CLAIBORNE,1970.73,11461.54,99.99,13532.26,9490.82,70.1348,3.6841,1.6577,4.7092,False
2,GRAINGER,1431.59,9627.28,67.98,11126.86,8195.69,73.6568,3.0292,1.2042,3.9556,False
2,CAMPBELL,1309.52,7447.13,52.62,8809.27,6137.61,69.6722,2.3983,1.1015,3.0598,False
