audit_label,scope,lines_year,contest_type,year,district,has_allocated_result,has_reference_result,calc_dem_votes,ref_dem_votes,dem_delta,calc_rep_votes,ref_rep_votes,rep_delta,calc_other_votes,ref_other_votes,other_delta,calc_total_votes,ref_total_votes,total_delta,abs_total_delta,total_delta_pct_of_ref,calc_margin_pct,ref_margin_pct,margin_pct_delta,abs_margin_pct_delta
congressional_2022,congressional,2022,president,2024,1,True,True,71685.7938,71688.0,-2.2062,273333.6398,273347.0,-13.3602,3572.0792,3572.0,0.0792,348591.5127,348607.0,-15.4873,15.4873,-0.0044,57.8465,57.8471,-0.0006,0.0006
congressional_2022,congressional,2022,president,2024,2,True,True,118878.1459,118880.0,-1.8541,243382.8104,243382.0,0.8104,5051.1678,5051.0,0.1678,367312.1241,367313.0,-0.8759,0.8759,-0.0002,33.8961,33.8953,0.0008,0.0008
congressional_2022,congressional,2022,president,2024,3,True,True,113350.821,113353.0,-2.179,242346.9512,242352.0,-5.0488,4727.7613,4728.0,-0.2387,360425.5336,360433.0,-7.4664,7.4664,-0.0021,35.79,35.79,-0.0001,0.0001
congressional_2022,congressional,2022,president,2024,4,True,True,93032.5164,93033.0,-0.4836,239872.2754,239875.0,-2.7246,4025.1576,4025.0,0.1576,336929.9494,336933.0,-3.0506,3.0506,-0.0009,43.5817,43.582,-0.0003,0.0003
congressional_2022,congressional,2022,president,2024,5,True,True,154031.3355,154118.0,-86.6645,209417.771,209773.0,-355.229,6075.5771,6077.0,-1.4229,369524.6836,369968.0,-443.3164,443.3164,-0.1198,14.9886,15.0432,-0.0546,0.0546
congressional_2022,congressional,2022,president,2024,6,True,True,114575.0424,114506.0,69.0424,244221.2171,243879.0,342.2171,4411.285,4410.0,1.285,363207.5445,362795.0,412.5445,412.5445,0.1137,35.6948,35.6601,0.0347,0.0347
congressional_2022,congressional,2022,president,2024,7,True,True,123570.5541,123550.0,20.5541,205761.2492,205743.0,18.2492,4799.744,4799.0,0.744,334131.5473,334092.0,39.5473,39.5473,0.0118,24.5983,24.6019,-0.0036,0.0036
congressional_2022,congressional,2022,president,2024,8,True,True,105129.5265,109943.0,-4813.4735,225686.0566,228479.0,-2792.9434,3665.3429,3820.0,-154.6571,334480.926,342242.0,-7761.074,7761.074,-2.2677,36.0429,34.6351,1.4077,1.4077
congressional_2022,congressional,2022,president,2024,9,True,True,162002.8235,157193.0,4809.8235,82822.3532,80034.0,2788.3532,4483.5119,4329.0,154.5119,249308.6886,241556.0,7752.6886,7752.6886,3.2095,-31.76,-31.9425,0.1825,0.1825
congressional_2022,congressional,2022,us_senate,2024,1,True,True,68572.6657,68574.0,-1.3343,267482.6667,267495.0,-12.3333,6099.4214,6100.0,-0.5786,342154.7538,342169.0,-14.2462,14.2462,-0.0042,58.1345,58.1353,-0.0008,0.0008
congressional_2022,congressional,2022,us_senate,2024,2,True,True,120503.3462,120505.0,-1.6538,238268.5748,238269.0,-0.4252,5810.6721,5811.0,-0.3279,364582.593,364585.0,-2.407,2.407,-0.0007,32.3014,32.3008,0.0006,0.0006
congressional_2022,congressional,2022,us_senate,2024,3,True,True,111342.2869,111344.0,-1.7131,237102.2356,237107.0,-4.7644,7180.6051,7181.0,-0.3949,355625.1276,355632.0,-6.8724,6.8724,-0.0019,35.3631,35.3632,-0.0002,0.0002
congressional_2022,congressional,2022,us_senate,2024,4,True,True,91533.9222,91535.0,-1.0778,230310.3818,230313.0,-2.6182,7472.0735,7472.0,0.0735,329316.3775,329320.0,-3.6225,3.6225,-0.0011,42.1408,42.1408,-0.0,0.0
congressional_2022,congressional,2022,us_senate,2024,5,True,True,152066.8388,152158.0,-91.1612,206196.8966,206528.0,-331.1034,7164.8393,7161.0,3.8393,365428.5746,365847.0,-418.4254,418.4254,-0.1144,14.8128,14.8614,-0.0486,0.0486
congressional_2022,congressional,2022,us_senate,2024,6,True,True,113162.9789,113090.0,72.9789,233425.2805,233108.0,317.2805,7200.2927,7205.0,-4.7073,353788.552,353403.0,385.552,385.552,0.1091,33.9927,33.9607,0.032,0.032
congressional_2022,congressional,2022,us_senate,2024,7,True,True,120316.3853,120296.0,20.3853,199638.2744,199620.0,18.2744,7318.6651,7318.0,0.6651,327273.3248,327234.0,39.3248,39.3248,0.012,24.2372,24.2408,-0.0036,0.0036
congressional_2022,congressional,2022,us_senate,2024,8,True,True,97493.3483,102120.0,-4626.6517,222208.3528,224963.0,-2754.6472,6412.2331,6667.0,-254.7669,326113.9342,333750.0,-7636.0658,7636.0658,-2.288,38.2428,36.8069,1.4359,1.4359
congressional_2022,congressional,2022,us_senate,2024,9,True,True,152461.2014,147838.0,4623.2014,84090.0538,81341.0,2749.0538,6744.6243,6490.0,254.6243,243295.8794,235669.0,7626.8794,7626.8794,3.2363,-28.1021,-28.2163,0.1142,0.1142
congressional_2022,congressional,2022,governor,2022,1,True,True,38055.006,38057.0,-1.994,149557.6328,149566.0,-8.3672,4045.5716,4046.0,-0.4284,191658.2103,191669.0,-10.7897,10.7897,-0.0056,58.1779,58.1779,-0.0001,0.0001
congressional_2022,congressional,2022,governor,2022,2,True,True,65131.2359,65244.0,-112.7641,138449.1819,139041.0,-591.8181,3904.5806,3920.0,-15.4194,207484.9984,208205.0,-720.0016,720.0016,-0.3458,35.3365,35.4444,-0.1079,0.1079
