DISTRICT,dem,rep,other,total,margin
1.0000,68495.8995,267159.5807,6089.5593,341745.0396,198663.6812
2.0000,120432.2926,238072.3089,5807.0459,364311.6475,117640.0163
3.0000,112030.1209,239017.5178,7278.8133,358326.4520,126987.3969
4.0000,112379.9411,179304.2641,6904.9788,298589.1840,66924.3230
5.0000,110809.0890,181179.4644,6668.7502,298657.3037,70370.3754
6.0000,130423.8191,218244.5777,7084.8431,355753.2400,87820.7586
7.0000,133901.3579,211182.1586,7688.3474,352771.8639,77280.8007
8.0000,120557.4965,190106.7466,6565.4197,317229.6627,69549.2501
9.0000,118430.9830,194476.3821,7316.2424,320223.6075,76045.3990
