audit_label,scope,lines_year,contest_type,year,district,has_allocated_result,has_reference_result,calc_dem_votes,ref_dem_votes,dem_delta,calc_rep_votes,ref_rep_votes,rep_delta,calc_other_votes,ref_other_votes,other_delta,calc_total_votes,ref_total_votes,total_delta,abs_total_delta,total_delta_pct_of_ref,calc_margin_pct,ref_margin_pct,margin_pct_delta,abs_margin_pct_delta
state_house_2022,state_house,2022,us_senate,2024,29,True,True,7264.8704,11386.0,-4121.1296,15610.2094,24760.0,-9149.7906,402.5482,653.0,-250.4518,23277.628,36799.0,-13521.372,13521.372,-36.7439,35.8513,36.3434,-0.4921,0.4921
state_house_2022,state_house,2022,president,2024,29,True,True,7542.2432,11866.0,-4323.7568,15638.6584,24710.0,-9071.3416,311.574,507.0,-195.426,23492.4757,37083.0,-13590.5243,13590.5243,-36.6489,34.4639,34.6358,-0.172,0.172
state_house_2022,state_house,2022,president,2024,85,True,True,17867.1196,23435.0,-5567.8804,8048.8906,3356.0,4692.8906,492.3427,450.0,42.3427,26408.3529,27241.0,-832.6471,832.6471,-3.0566,-37.1785,-73.7087,36.5302,36.5302
state_senate_2022,state_senate,2022,us_senate,2024,29,True,True,45994.8531,37598.0,8396.8531,20820.5375,11404.0,9416.5375,2270.5387,1604.0,666.5387,69085.9292,50606.0,18479.9292,18479.9292,36.5173,-36.4391,-51.7607,15.3215,15.3215
state_senate_2022,state_senate,2022,president,2024,29,True,True,49389.8209,42106.0,7283.8209,20318.4083,9264.0,11054.4083,1342.6054,942.0,400.6054,71050.8346,52312.0,18738.8346,18738.8346,35.8213,-40.9164,-62.781,21.8647,21.8647
state_house_2022,state_house,2022,us_senate,2024,89,True,True,9716.3935,12691.0,-2974.6065,13057.8986,22687.0,-9629.1014,358.6499,553.0,-194.3501,23132.9419,35931.0,-12798.0581,12798.0581,-35.6184,14.4448,27.82,-13.3752,13.3752
state_house_2022,state_house,2022,president,2024,89,True,True,9573.166,12616.0,-3042.834,13229.834,22866.0,-9636.166,393.336,541.0,-147.664,23196.3359,36023.0,-12826.6641,12826.6641,-35.6069,15.764,28.454,-12.6901,12.6901
state_senate_2022,state_senate,2022,governor,2022,32,True,True,42893.6487,71559.0,-28665.3513,48285.5439,69802.0,-21516.4561,2226.9672,3426.0,-1199.0328,93406.1598,144787.0,-51380.8402,51380.8402,-35.4872,5.7725,-1.2135,6.986,6.986
state_house_2022,state_house,2022,us_senate,2024,85,True,True,16879.419,21745.0,-4865.581,8275.3162,3630.0,4645.3162,670.8828,1014.0,-343.1172,25825.618,26389.0,-563.382,563.382,-2.1349,-33.3162,-68.646,35.3299,35.3299
congressional_2022,congressional,2022,governor,2022,9,True,True,69021.3148,47255.0,21766.3148,41178.4429,34338.0,6840.4429,2661.9432,1826.0,835.9432,112861.7009,83419.0,29442.7009,29442.7009,35.295,-24.6699,-15.4845,-9.1854,9.1854
state_senate_2022,state_senate,2022,us_senate,2024,20,True,True,71042.1111,106686.0,-35643.8889,40331.0556,65265.0,-24933.9444,2501.2087,3659.0,-1157.7913,113874.3755,175610.0,-61735.6245,61735.6245,-35.155,-26.9692,-23.5869,-3.3823,3.3823
state_house_2022,state_house,2022,us_senate,2024,99,True,True,10951.7392,12158.0,-1206.2608,12259.3493,23326.0,-11066.6507,614.6132,781.0,-166.3868,23825.7017,36265.0,-12439.2983,12439.2983,-34.3011,5.4882,30.7955,-25.3073,25.3073
state_house_2022,state_house,2022,president,2024,99,True,True,11517.0205,12739.0,-1221.9795,12465.0242,23655.0,-11189.9758,391.535,511.0,-119.465,24373.5797,36905.0,-12531.4203,12531.4203,-33.9559,3.8895,29.5786,-25.6892,25.6892
state_house_2022,state_house,2022,president,2024,91,True,True,17217.4078,16927.0,290.4078,7349.0742,2580.0,4769.0742,469.9375,404.0,65.9375,25036.4195,19911.0,5125.4195,5125.4195,25.7416,-39.4159,-72.0556,32.6397,32.6397
