precinct_key,county_norm,prec_id,district_num,dominant_weight,total_weight,split_count,is_split
ANDERSON - 000001,ANDERSON,000001,3,0.9991296783,1.0,3,1
ANDERSON - 000002,ANDERSON,000002,3,0.9997923695,1.0,2,1
ANDERSON - 000003,ANDERSON,000003,3,1.0,1.0,1,0
ANDERSON - 000004,ANDERSON,000004,3,0.9989696405,1.0,2,1
ANDERSON - 000005,ANDERSON,000005,3,1.0,1.0,1,0
ANDERSON - 000006,ANDERSON,000006,3,1.0,1.0,1,0
ANDERSON - 000007,ANDERSON,000007,3,1.0,1.0,1,0
ANDERSON - 000008,ANDERSON,000008,3,1.0,1.0,1,0
ANDERSON - 000009,ANDERSON,000009,3,1.0,1.0,1,0
ANDERSON - 000010,ANDERSON,000010,3,0.9989446412,1.0,2,1
ANDERSON - 000011,ANDERSON,000011,3,1.0,1.0,1,0
ANDERSON - 000012,ANDERSON,000012,3,1.0,1.0,1,0
ANDERSON - 000013,ANDERSON,000013,3,0.9996031874,1.0,2,1
ANDERSON - 000014,ANDERSON,000014,3,1.0,1.0,1,0
ANDERSON - 000015,ANDERSON,000015,3,0.999681091,1.0,2,1
ANDERSON - 000016,ANDERSON,000016,3,0.9995526581,1.0,2,1
ANDERSON - 000017,ANDERSON,000017,3,1.0,1.0,1,0
ANDERSON - 000018,ANDERSON,000018,3,0.9999793292,1.0,2,1
ANDERSON - 000019,ANDERSON,000019,3,1.0,1.0,1,0
ANDERSON - 000020,ANDERSON,000020,3,0.9999949625,1.0,2,1
ANDERSON - 000021,ANDERSON,000021,3,1.0,1.0,1,0
ANDERSON - 000022,ANDERSON,000022,3,1.0,1.0,1,0
ANDERSON - 000023,ANDERSON,000023,3,1.0,1.0,1,0
ANDERSON - 000024,ANDERSON,000024,3,0.9993750517,1.0,2,1
ANDERSON - 000025,ANDERSON,000025,3,1.0,1.0,1,0
ANDERSON - 000026,ANDERSON,000026,3,0.9990956298,1.0,2,1
ANDERSON - 000027,ANDERSON,000027,3,1.0,1.0,1,0
BEDFORD - 000101,BEDFORD,000101,9,0.9999469148,1.0,2,1
BEDFORD - 000102,BEDFORD,000102,9,0.9995511468,1.0,2,1
BEDFORD - 000103,BEDFORD,000103,9,0.9998572822,1.0,2,1
BEDFORD - 000104,BEDFORD,000104,9,0.9999851933,1.0,2,1
BEDFORD - 000105,BEDFORD,000105,9,1.0,1.0,1,0
BEDFORD - 000106,BEDFORD,000106,9,1.0,1.0,1,0
BEDFORD - 000107,BEDFORD,000107,9,0.9998013451,1.0,2,1
BEDFORD - 000108,BEDFORD,000108,9,1.0,1.0,1,0
BEDFORD - 000109,BEDFORD,000109,9,1.0,1.0,1,0
BEDFORD - 000110,BEDFORD,000110,9,1.0,1.0,1,0
BEDFORD - 000111,BEDFORD,000111,9,1.0,1.0,1,0
BENTON - 000201,BENTON,000201,5,0.9999966282,1.0,2,1
BENTON - 000202,BENTON,000202,5,1.0,1.0,1,0
BENTON - 000203,BENTON,000203,5,1.0,1.0,1,0
BENTON - 000204,BENTON,000204,5,0.9998305856,1.0,2,1
BENTON - 000205,BENTON,000205,5,1.0,1.0,1,0
BENTON - 000206,BENTON,000206,5,1.0,1.0,1,0
BLEDSOE - 000301,BLEDSOE,000301,4,0.9999630495,1.0,2,1
BLEDSOE - 000302,BLEDSOE,000302,4,0.999441399,1.0,2,1
BLEDSOE - 000303,BLEDSOE,000303,4,1.0,1.0,1,0
BLEDSOE - 000304,BLEDSOE,000304,4,1.0,1.0,1,0
BLEDSOE - 000305,BLEDSOE,000305,4,1.0,1.0,1,0
BLEDSOE - 000306,BLEDSOE,000306,4,1.0,1.0,1,0
BLEDSOE - 000307,BLEDSOE,000307,4,0.9997998895,1.0,3,1
BLEDSOE - 000308,BLEDSOE,000308,4,1.0,1.0,1,0
BLEDSOE - 000309,BLEDSOE,000309,4,0.999999864,1.0,2,1
BLEDSOE - 000310,BLEDSOE,000310,4,0.9999828332,1.0,2,1
BLEDSOE - 000311,BLEDSOE,000311,4,1.0,1.0,1,0
BLEDSOE - 000312,BLEDSOE,000312,4,0.9998286186,1.0,2,1
BLOUNT - 000401,BLOUNT,000401,2,0.9997529913,0.9998083418,2,1
BLOUNT - 000402,BLOUNT,000402,2,0.9999020078,1.0,2,1
BLOUNT - 000403,BLOUNT,000403,2,1.0,1.0,1,0
BLOUNT - 000404,BLOUNT,000404,2,1.0,1.0,1,0
BLOUNT - 000405,BLOUNT,000405,2,0.9996932169,1.0,2,1
BLOUNT - 000406,BLOUNT,000406,2,1.0,1.0,1,0
BLOUNT - 000407,BLOUNT,000407,2,1.0,1.0,1,0
BLOUNT - 000408,BLOUNT,000408,2,1.0,1.0,1,0
BLOUNT - 000409,BLOUNT,000409,2,1.0,1.0,1,0
