crosswalk,precinct_key,county_norm,prec_id,dominant_district,dominant_weight,total_weight,split_count
congressional_2022,ANDERSON - 000001,ANDERSON,000001,3,0.9993196443,1.0,2
congressional_2022,ANDERSON - 000004,ANDERSON,000004,3,0.9990895258,1.0,2
congressional_2022,ANDERSON - 000010,ANDERSON,000010,3,0.9990527682,1.0,2
congressional_2022,ANDERSON - 000013,ANDERSON,000013,3,0.9996742082,1.0,2
congressional_2022,ANDERSON - 000026,ANDERSON,000026,3,0.9991936085,1.0,2
congressional_2022,BEDFORD - 000104,BEDFORD,000104,4,0.9999521712,1.0,2
congressional_2022,BEDFORD - 000105,BEDFORD,000105,4,0.9999289822,1.0,2
congressional_2022,BENTON - 000201,BENTON,000201,8,0.9993499249,1.0,2
congressional_2022,BENTON - 000202,BENTON,000202,7,0.9997835602,1.0,2
congressional_2022,BENTON - 000203,BENTON,000203,7,0.9961232463,1.0,2
congressional_2022,BENTON - 000204,BENTON,000204,7,0.9999737411,1.0,2
congressional_2022,BENTON - 000205,BENTON,000205,8,0.9962482721,1.0,2
congressional_2022,BENTON - 000206,BENTON,000206,7,0.9996287885,1.0,2
congressional_2022,BLEDSOE - 000301,BLEDSOE,000301,4,0.9999486505,1.0,2
congressional_2022,BLEDSOE - 000302,BLEDSOE,000302,4,0.9998690876,1.0,2
congressional_2022,BLEDSOE - 000304,BLEDSOE,000304,4,0.999999073,1.0,2
congressional_2022,BLEDSOE - 000305,BLEDSOE,000305,4,0.9999558949,1.0,2
congressional_2022,BLEDSOE - 000307,BLEDSOE,000307,4,0.9999536529,1.0,2
congressional_2022,BLEDSOE - 000309,BLEDSOE,000309,4,0.9993759864,1.0,2
congressional_2022,BLEDSOE - 000310,BLEDSOE,000310,4,0.9999665157,1.0,2
congressional_2022,BLOUNT - 000401,BLOUNT,000401,2,0.9997868264,0.999834086,2
congressional_2022,BLOUNT - 000402,BLOUNT,000402,2,0.9999133286,1.0,2
congressional_2022,BLOUNT - 000405,BLOUNT,000405,2,0.9997200936,1.0,2
congressional_2022,BLOUNT - 000418,BLOUNT,000418,2,0.999325333,0.9998612634,2
congressional_2022,BLOUNT - 000426,BLOUNT,000426,2,0.9997005263,1.0,2
congressional_2022,BRADLEY - 000517,BRADLEY,000517,3,0.9999342544,1.0,2
congressional_2022,CAMPBELL - 000601,CAMPBELL,000601,3,0.8890999393,1.0,2
congressional_2022,CAMPBELL - 000602,CAMPBELL,000602,3,0.9994392148,1.0,2
congressional_2022,CAMPBELL - 000603,CAMPBELL,000603,3,0.9800094821,1.0,2
congressional_2022,CAMPBELL - 000605,CAMPBELL,000605,2,0.999262464,1.0,3
congressional_2022,CAMPBELL - 000608,CAMPBELL,000608,2,0.9288814056,1.0,2
congressional_2022,CAMPBELL - 000610,CAMPBELL,000610,3,0.9992636447,1.0,2
congressional_2022,CAMPBELL - 000611,CAMPBELL,000611,3,0.9992478963,1.0,2
congressional_2022,CAMPBELL - 000612,CAMPBELL,000612,3,0.9993771418,1.0,2
congressional_2022,CAMPBELL - 000615,CAMPBELL,000615,2,0.9988126256,1.0,2
