audit_label,scope,lines_year,contest_type,year,districts,matched_rows,unmatched_rows,matched_votes,unmatched_votes,allocated_without_reference_districts,allocated_without_reference_votes,reference_without_allocated_districts,reference_without_allocated_votes,max_abs_total_delta,max_abs_total_delta_pct_of_ref,max_abs_margin_pct_delta,mean_abs_total_delta,mean_abs_margin_pct_delta,crosswalk_csv,reference_json
congressional_2022,congressional,2022,governor,2022,9,1965,3,1739505.0,377.0,0,0,0,0,29442.7009,35.295,9.6048,8124.8614,2.2372,crosswalks\tn_congressional_2022_precinct_crosswalk.csv,district_contests\congressional_governor_2022.json
congressional_2022,congressional,2022,president,2020,9,1965,6,3014791.0,39059.0,0,0,0,0,20114.0062,5.5454,2.8045,4343.6492,0.7544,crosswalks\tn_congressional_2022_precinct_crosswalk.csv,district_contests\congressional_president_2020.json
congressional_2022,congressional,2022,president,2024,9,1965,0,3063942.0,0.0,0,0,0,0,7761.074,3.2095,1.4077,1826.2279,0.1872,crosswalks\tn_congressional_2022_precinct_crosswalk.csv,district_contests\congressional_president_2024.json
congressional_2022,congressional,2022,us_senate,2020,9,1965,3,2912230.0,37933.0,0,0,0,0,19629.1071,5.5234,2.7566,4218.626,0.7309,crosswalks\tn_congressional_2022_precinct_crosswalk.csv,district_contests\congressional_us_senate_2020.json
congressional_2022,congressional,2022,us_senate,2024,9,1965,0,3007608.0,0.0,0,0,0,0,7636.0658,3.2363,1.4359,1792.5995,0.1818,crosswalks\tn_congressional_2022_precinct_crosswalk.csv,district_contests\congressional_us_senate_2024.json
congressional_2026,congressional,2026,governor,2022,9,1965,3,1739505.0,377.0,0,0,0,0,71402.8495,30.6976,10.901,18743.0158,2.9201,crosswalks\tn_congressional_2026_precinct_crosswalk.csv,district_contests_2026\congressional_governor_2022.json
congressional_2026,congressional,2026,president,2020,9,1965,6,3014791.0,39059.0,0,0,0,0,22608.1073,6.5448,19.3472,8050.9097,5.1127,crosswalks\tn_congressional_2026_precinct_crosswalk.csv,district_contests_2026\congressional_president_2020.json
congressional_2026,congressional,2026,president,2024,9,1965,0,3063942.0,0.0,0,0,0,0,20698.4739,6.9893,8.4546,7354.0074,2.9644,crosswalks\tn_congressional_2026_precinct_crosswalk.csv,district_contests_2026\congressional_president_2024.json
congressional_2026,congressional,2026,us_senate,2020,9,1965,3,2912230.0,37933.0,0,0,0,0,20357.7266,6.1265,19.703,7523.4616,5.2028,crosswalks\tn_congressional_2026_precinct_crosswalk.csv,district_contests_2026\congressional_us_senate_2020.json
congressional_2026,congressional,2026,us_senate,2024,9,1965,0,3007608.0,0.0,0,0,0,0,20880.9037,7.2101,7.7186,7212.1102,2.8187,crosswalks\tn_congressional_2026_precinct_crosswalk.csv,district_contests_2026\congressional_us_senate_2024.json
state_house_2022,state_house,2022,governor,2022,99,1965,3,1739505.0,377.0,4,34456.8976,0,0,50916.8017,1315.5446,81.9923,1999.4101,4.8122,crosswalks\tn_state_house_2022_precinct_crosswalk.csv,district_contests\state_house_governor_2022.json
state_house_2022,state_house,2022,president,2020,99,1965,6,3014791.0,39059.0,0,0,0,0,5445.7242,15.3397,5.5669,595.3292,0.4115,crosswalks\tn_state_house_2022_precinct_crosswalk.csv,district_contests\state_house_president_2020.json
state_house_2022,state_house,2022,president,2024,99,1965,0,3063942.0,0.0,0,0,0,0,23290.1957,69.5437,40.5079,3569.4758,6.0291,crosswalks\tn_state_house_2022_precinct_crosswalk.csv,district_contests\state_house_president_2024.json
state_house_2022,state_house,2022,us_senate,2020,99,1965,3,2912230.0,37933.0,0,0,0,0,5356.9463,15.2327,5.9546,579.51,0.4271,crosswalks\tn_state_house_2022_precinct_crosswalk.csv,district_contests\state_house_us_senate_2020.json
state_house_2022,state_house,2022,us_senate,2024,99,1965,0,3007608.0,0.0,0,0,0,0,23328.4506,69.9043,36.8624,3551.4909,5.8744,crosswalks\tn_state_house_2022_precinct_crosswalk.csv,district_contests\state_house_us_senate_2024.json
state_senate_2022,state_senate,2022,governor,2022,33,1965,3,1739505.0,377.0,0,0,0,0,51380.8402,594.1519,40.3127,3798.7082,3.0578,crosswalks\tn_state_senate_2022_precinct_crosswalk.csv,district_contests\state_senate_governor_2022.json
state_senate_2022,state_senate,2022,president,2020,33,1965,6,3014791.0,39059.0,0,0,0,0,47669.2557,45.5438,2.6944,8400.0069,0.4483,crosswalks\tn_state_senate_2022_precinct_crosswalk.csv,district_contests\state_senate_president_2020.json
state_senate_2022,state_senate,2022,president,2024,33,1965,0,3063942.0,0.0,0,0,0,0,40902.3202,40.1729,21.8739,8133.1107,4.0571,crosswalks\tn_state_senate_2022_precinct_crosswalk.csv,district_contests\state_senate_president_2024.json
state_senate_2022,state_senate,2022,us_senate,2020,33,1965,3,2912230.0,37933.0,0,0,0,0,12611.8589,11.2205,4.2403,1238.7525,0.3528,crosswalks\tn_state_senate_2022_precinct_crosswalk.csv,district_contests\state_senate_us_senate_2020.json
state_senate_2022,state_senate,2022,us_senate,2024,33,1965,0,3007608.0,0.0,0,0,0,0,61735.6245,71.6141,21.1524,9333.702,2.9296,crosswalks\tn_state_senate_2022_precinct_crosswalk.csv,district_contests\state_senate_us_senate_2024.json
