precinct_key,county_norm,prec_id,district_num,dominant_weight,total_weight,split_count,is_split
ANDERSON - 000001,ANDERSON,000001,5,0.9990731133,1.0,3,1
ANDERSON - 000002,ANDERSON,000002,5,0.9997789595,1.0,2,1
ANDERSON - 000003,ANDERSON,000003,5,1.0,1.0,1,0
ANDERSON - 000004,ANDERSON,000004,5,0.9996264568,1.0,2,1
ANDERSON - 000005,ANDERSON,000005,5,1.0,1.0,1,0
ANDERSON - 000006,ANDERSON,000006,5,1.0,1.0,1,0
ANDERSON - 000007,ANDERSON,000007,5,1.0,1.0,1,0
ANDERSON - 000008,ANDERSON,000008,5,1.0,1.0,1,0
ANDERSON - 000009,ANDERSON,000009,5,1.0,1.0,1,0
ANDERSON - 000010,ANDERSON,000010,5,0.9990527682,1.0,4,1
ANDERSON - 000011,ANDERSON,000011,5,1.0,1.0,1,0
ANDERSON - 000012,ANDERSON,000012,5,1.0,1.0,1,0
ANDERSON - 000013,ANDERSON,000013,5,1.0,1.0,1,0
ANDERSON - 000014,ANDERSON,000014,5,1.0,1.0,1,0
ANDERSON - 000015,ANDERSON,000015,5,0.9995252802,1.0,2,1
ANDERSON - 000016,ANDERSON,000016,5,0.9995140549,1.0,2,1
ANDERSON - 000017,ANDERSON,000017,5,1.0,1.0,1,0
ANDERSON - 000018,ANDERSON,000018,5,0.9999777362,1.0,2,1
ANDERSON - 000019,ANDERSON,000019,5,1.0,1.0,1,0
ANDERSON - 000020,ANDERSON,000020,5,0.9999834165,1.0,2,1
ANDERSON - 000021,ANDERSON,000021,5,1.0,1.0,1,0
ANDERSON - 000022,ANDERSON,000022,5,1.0,1.0,1,0
ANDERSON - 000023,ANDERSON,000023,5,1.0,1.0,1,0
ANDERSON - 000024,ANDERSON,000024,5,0.9993439167,1.0,2,1
ANDERSON - 000025,ANDERSON,000025,5,1.0,1.0,1,0
ANDERSON - 000026,ANDERSON,000026,5,0.9999899535,1.0,2,1
ANDERSON - 000027,ANDERSON,000027,5,1.0,1.0,1,0
BEDFORD - 000101,BEDFORD,000101,14,0.9999570006,1.0,2,1
BEDFORD - 000102,BEDFORD,000102,14,0.9995924715,1.0,3,1
BEDFORD - 000103,BEDFORD,000103,14,0.9998640474,1.0,2,1
BEDFORD - 000104,BEDFORD,000104,14,0.9999295814,1.0,3,1
BEDFORD - 000105,BEDFORD,000105,14,0.9998105983,1.0,3,1
BEDFORD - 000106,BEDFORD,000106,14,1.0,1.0,1,0
BEDFORD - 000107,BEDFORD,000107,14,0.9998319886,1.0,2,1
BEDFORD - 000108,BEDFORD,000108,14,1.0,1.0,1,0
BEDFORD - 000109,BEDFORD,000109,14,1.0,1.0,1,0
BEDFORD - 000110,BEDFORD,000110,14,1.0,1.0,1,0
BEDFORD - 000111,BEDFORD,000111,14,1.0,1.0,1,0
BENTON - 000201,BENTON,000201,24,1.0,1.0,1,0
BENTON - 000202,BENTON,000202,24,0.9998539807,1.0,2,1
BENTON - 000203,BENTON,000203,24,0.9999688925,1.0,2,1
BENTON - 000204,BENTON,000204,24,0.9998827316,1.0,3,1
BENTON - 000205,BENTON,000205,24,1.0,1.0,1,0
BENTON - 000206,BENTON,000206,24,0.9999803116,1.0,2,1
BLEDSOE - 000301,BLEDSOE,000301,10,0.9999486505,1.0,2,1
BLEDSOE - 000302,BLEDSOE,000302,10,0.9995614322,1.0,3,1
BLEDSOE - 000303,BLEDSOE,000303,10,1.0,1.0,1,0
BLEDSOE - 000304,BLEDSOE,000304,10,0.999999073,1.0,2,1
BLEDSOE - 000305,BLEDSOE,000305,10,0.9999558949,1.0,2,1
BLEDSOE - 000306,BLEDSOE,000306,10,1.0,1.0,1,0
