audit_label,scope,lines_year,contest_type,year,precinct_key,county_norm,prec_id,split_count,district_weights,dominant_district,dominant_area_weight,total_area_weight,non_dominant_area_weight,normalized_dominant_share,normalized_non_dominant_share,unallocated_area_weight,dem_votes,rep_votes,other_votes,total_votes,cvap_total,cvap_to_total_vote_ratio,dem_share_pct,rep_share_pct,margin_pct,non_dominant_vote_exposure,unallocated_vote_exposure,non_dominant_cvap_exposure,unallocated_cvap_exposure,diagnostic_priority,has_precinct_votes,has_precinct_cvap
congressional_2026,congressional,2026,president,2024,DAVIDSON - 001898,DAVIDSON,001898,2,6:0.539643;7:0.460357,6,0.53964256,1.0,0.46035744,0.53964256,0.46035744,0.0,2844.0,807.0,64.0,3715.0,8337.0,2.2441,76.5545,21.7227,-54.8318,1710.2279,0.0,3838.0,0.0,high,True,True
congressional_2026,congressional,2026,us_senate,2024,DAVIDSON - 001898,DAVIDSON,001898,2,6:0.539643;7:0.460357,6,0.53964256,1.0,0.46035744,0.53964256,0.46035744,0.0,2840.0,835.0,51.0,3726.0,8337.0,2.2375,76.2211,22.4101,-53.8111,1715.2918,0.0,3838.0,0.0,high,True,True
congressional_2026,congressional,2026,governor,2022,DAVIDSON - 001898,DAVIDSON,001898,2,6:0.539643;7:0.460357,6,0.53964256,1.0,0.46035744,0.53964256,0.46035744,0.0,1392.0,770.0,48.0,2210.0,8337.0,3.7724,62.9864,34.8416,-28.1448,1017.3899,0.0,3838.0,0.0,high,True,True
congressional_2026,congressional,2026,president,2020,DAVIDSON - 001898,DAVIDSON,001898,2,6:0.539643;7:0.460357,6,0.53964256,1.0,0.46035744,0.53964256,0.46035744,0.0,2736.0,1652.0,155.0,4543.0,8337.0,1.8351,60.2245,36.3636,-23.8609,2091.4038,0.0,3838.0,0.0,high,True,True
congressional_2026,congressional,2026,us_senate,2020,DAVIDSON - 001898,DAVIDSON,001898,2,6:0.539643;7:0.460357,6,0.53964256,1.0,0.46035744,0.53964256,0.46035744,0.0,2537.0,1713.0,156.0,4406.0,8337.0,1.8922,57.5806,38.8788,-18.7018,2028.3349,0.0,3838.0,0.0,high,True,True
congressional_2026,congressional,2026,president,2024,MONTGOMERY - 006457,MONTGOMERY,006457,2,5:0.542000;7:0.458000,5,0.54200024,1.0,0.45799976,0.54200024,0.45799976,0.0,1539.0,1216.0,48.0,2803.0,8369.0,2.9857,54.9055,43.3821,-11.5234,1283.7733,0.0,3833.0,0.0,high,True,True
congressional_2026,congressional,2026,us_senate,2024,MONTGOMERY - 006457,MONTGOMERY,006457,2,5:0.542000;7:0.458000,5,0.54200024,1.0,0.45799976,0.54200024,0.45799976,0.0,1396.0,1195.0,107.0,2698.0,8369.0,3.1019,51.742,44.2921,-7.45,1235.6834,0.0,3833.0,0.0,high,True,True
congressional_2026,congressional,2026,governor,2022,MONTGOMERY - 006457,MONTGOMERY,006457,2,5:0.542000;7:0.458000,5,0.54200024,1.0,0.45799976,0.54200024,0.45799976,0.0,537.0,449.0,42.0,1028.0,8369.0,8.1411,52.2374,43.677,-8.5603,470.8238,0.0,3833.0,0.0,high,True,True
congressional_2026,congressional,2026,president,2020,MONTGOMERY - 006457,MONTGOMERY,006457,2,5:0.542000;7:0.458000,5,0.54200024,1.0,0.45799976,0.54200024,0.45799976,0.0,1668.0,1310.0,104.0,3082.0,8369.0,2.7154,54.1207,42.5049,-11.6158,1411.5553,0.0,3833.0,0.0,high,True,True
congressional_2026,congressional,2026,us_senate,2020,MONTGOMERY - 006457,MONTGOMERY,006457,2,5:0.542000;7:0.458000,5,0.54200024,1.0,0.45799976,0.54200024,0.45799976,0.0,1490.0,1291.0,134.0,2915.0,8369.0,2.871,51.1149,44.2882,-6.8268,1335.0693,0.0,3833.0,0.0,high,True,True
