scope,lines_year,precinct_key,name20,district_num,area_weight,cvap_weight_raw,cvap_weight,weight_delta_cvap_minus_area,cvap_tot,precinct_cvap_tot,dropped_cvap_sliver
state_house,2022,DAVIDSON - 001950,Davidson - 001950,52,0.56695,0.9272974,0.9272974,0.3603474,9566.0,10316.0,False
state_house,2022,DAVIDSON - 001950,Davidson - 001950,53,0.432085,0.0727026,0.0727026,-0.3593824,750.0,10316.0,False
state_house,2022,RUTHERFORD - 007663,Rutherford - 007663,34,0.443669,0.76617415,0.76617415,0.32250515,5341.0,6971.0,False
state_house,2022,RUTHERFORD - 007663,Rutherford - 007663,13,0.556331,0.23382585,0.23382585,-0.32250515,1630.0,6971.0,False
state_house,2022,SHELBY - 008076,Shelby - 008076,96,0.303845,0.60244328,0.60244328,0.29859828,3452.0,5730.0,False
state_house,2022,SHELBY - 008141,Shelby - 008141,97,0.42944,0.14213455,0.14213455,-0.28730545,843.0,5931.0,False
state_house,2022,SHELBY - 008141,Shelby - 008141,91,0.453307,0.73309729,0.73309729,0.27979029,4348.0,5931.0,False
state_house,2022,KNOX - 004831,Knox - 004831,15,0.596287,0.87340942,0.87340942,0.27712242,6658.0,7623.0,False
state_house,2022,KNOX - 004831,Knox - 004831,18,0.403713,0.12659058,0.12659058,-0.27712242,965.0,7623.0,False
state_house,2022,SHELBY - 008076,Shelby - 008076,95,0.275242,0.01884817,0.01884817,-0.25639383,108.0,5730.0,False
state_house,2022,RUTHERFORD - 007665,Rutherford - 007665,34,0.41567,0.61267802,0.61267802,0.19700802,4388.0,7162.0,False
state_house,2022,RUTHERFORD - 007665,Rutherford - 007665,13,0.584216,0.38732198,0.38732198,-0.19689402,2774.0,7162.0,False
congressional,2026,RUTHERFORD - 007691,Rutherford - 007691,4,0.728995,0.53235411,0.53235411,-0.19664089,2682.0,5038.0,False
congressional,2026,RUTHERFORD - 007691,Rutherford - 007691,9,0.271005,0.46764589,0.46764589,0.19664089,2356.0,5038.0,False
state_house,2022,DAVIDSON - 001953,Davidson - 001953,56,0.440395,0.62677824,0.62677824,0.18638324,2247.0,3585.0,False
state_house,2022,DAVIDSON - 001953,Davidson - 001953,59,0.559605,0.37322176,0.37322176,-0.18638324,1338.0,3585.0,False
congressional,2026,MONTGOMERY - 006457,Montgomery - 006457,5,0.385674,0.54200024,0.54200024,0.15632624,4536.0,8369.0,False
congressional,2026,MONTGOMERY - 006457,Montgomery - 006457,7,0.614326,0.45799976,0.45799976,-0.15632624,3833.0,8369.0,False
state_senate,2022,KNOX - 004888,Knox - 004888,5,0.68989,0.53621103,0.53621103,-0.15367897,3354.0,6255.0,False
state_senate,2022,KNOX - 004888,Knox - 004888,7,0.31011,0.46378897,0.46378897,0.15367897,2901.0,6255.0,False
state_house,2022,RUTHERFORD - 007683,Rutherford - 007683,37,0.485755,0.63598858,0.63598858,0.15023358,4008.0,6302.0,False
state_house,2022,RUTHERFORD - 007683,Rutherford - 007683,34,0.514232,0.36401142,0.36401142,-0.15022058,2294.0,6302.0,False
state_house,2022,RUTHERFORD - 007669,Rutherford - 007669,49,0.712465,0.83317132,0.83317132,0.12070632,6857.0,8230.0,False
state_house,2022,RUTHERFORD - 007669,Rutherford - 007669,13,0.28743,0.16682868,0.16682868,-0.12060132,1373.0,8230.0,False
state_senate,2022,MONTGOMERY - 006471,Montgomery - 006471,22,0.662953,0.76321512,0.76321512,0.10026212,10179.0,13337.0,False
state_senate,2022,MONTGOMERY - 006471,Montgomery - 006471,23,0.337035,0.23678488,0.23678488,-0.10025012,3158.0,13337.0,False
state_house,2022,DAVIDSON - 001875,Davidson - 001875,53,0.621114,0.7059321,0.71230038,0.09118638,5843.0,8277.0,False
state_house,2022,SHELBY - 008076,Shelby - 008076,97,0.118688,0.02862129,0.02862129,-0.09006671,164.0,5730.0,False
state_house,2022,MAURY - 005951,Maury - 005951,64,0.717761,0.80114836,0.80114836,0.08338736,9488.0,11843.0,False
state_house,2022,MAURY - 005951,Maury - 005951,71,0.282165,0.19885164,0.19885164,-0.08331336,2355.0,11843.0,False
state_house,2022,DAVIDSON - 001875,Davidson - 001875,55,0.357155,0.28512746,0.28769962,-0.06945538,2360.0,8277.0,False
state_house,2022,SHELBY - 008076,Shelby - 008076,83,0.302225,0.35008726,0.35008726,0.04786226,2006.0,5730.0,False
state_house,2022,SUMNER - 008628,Sumner - 008628,45,0.702652,0.73178808,0.73178808,0.02913608,6851.0,9362.0,False
state_house,2022,SUMNER - 008628,Sumner - 008628,44,0.297348,0.26821192,0.26821192,-0.02913608,2511.0,9362.0,False
congressional,2026,DAVIDSON - 001898,Davidson - 001898,6,0.521435,0.53964256,0.53964256,0.01820756,4499.0,8337.0,False
congressional,2026,DAVIDSON - 001898,Davidson - 001898,7,0.478565,0.46035744,0.46035744,-0.01820756,3838.0,8337.0,False
state_house,2022,DAVIDSON - 001875,Davidson - 001875,52,0.015417,0.00894044,0.0,-0.015417,74.0,8277.0,True
state_house,2022,DAVIDSON - 001960,Davidson - 001960,50,0.615708,0.60142408,0.60142408,-0.01428392,3632.0,6039.0,False
state_house,2022,DAVIDSON - 001960,Davidson - 001960,59,0.384292,0.39857592,0.39857592,0.01428392,2407.0,6039.0,False
state_house,2022,DAVIDSON - 001898,Davidson - 001898,56,0.43263,0.44596378,0.44596378,0.01333378,3718.0,8337.0,False
state_house,2022,DAVIDSON - 001898,Davidson - 001898,50,0.565188,0.55403622,0.55403622,-0.01115178,4619.0,8337.0,False
