precinct_key,county_norm,prec_id,current_2022_district,new_2026_district,dominant_district_changed,current_2022_dominant_weight,new_2026_dominant_weight,current_2022_split_count,new_2026_split_count
ANDERSON - 000001,ANDERSON,000001,3,3,0,0.9993196443,0.9991296783,2,3
ANDERSON - 000002,ANDERSON,000002,3,3,0,1.0,0.9997923695,1,2
ANDERSON - 000003,ANDERSON,000003,3,3,0,1.0,1.0,1,1
ANDERSON - 000004,ANDERSON,000004,3,3,0,0.9990895258,0.9989696405,2,2
ANDERSON - 000005,ANDERSON,000005,3,3,0,1.0,1.0,1,1
ANDERSON - 000006,ANDERSON,000006,3,3,0,1.0,1.0,1,1
ANDERSON - 000007,ANDERSON,000007,3,3,0,1.0,1.0,1,1
ANDERSON - 000008,ANDERSON,000008,3,3,0,1.0,1.0,1,1
ANDERSON - 000009,ANDERSON,000009,3,3,0,1.0,1.0,1,1
ANDERSON - 000010,ANDERSON,000010,3,3,0,0.9990527682,0.9989446412,2,2
ANDERSON - 000011,ANDERSON,000011,3,3,0,1.0,1.0,1,1
ANDERSON - 000012,ANDERSON,000012,3,3,0,1.0,1.0,1,1
ANDERSON - 000013,ANDERSON,000013,3,3,0,0.9996742082,0.9996031874,2,2
ANDERSON - 000014,ANDERSON,000014,3,3,0,1.0,1.0,1,1
ANDERSON - 000015,ANDERSON,000015,3,3,0,1.0,0.999681091,1,2
ANDERSON - 000016,ANDERSON,000016,3,3,0,1.0,0.9995526581,1,2
ANDERSON - 000017,ANDERSON,000017,3,3,0,1.0,1.0,1,1
ANDERSON - 000018,ANDERSON,000018,3,3,0,1.0,0.9999793292,1,2
ANDERSON - 000019,ANDERSON,000019,3,3,0,1.0,1.0,1,1
ANDERSON - 000020,ANDERSON,000020,3,3,0,1.0,0.9999949625,1,2
ANDERSON - 000021,ANDERSON,000021,3,3,0,1.0,1.0,1,1
ANDERSON - 000022,ANDERSON,000022,3,3,0,1.0,1.0,1,1
ANDERSON - 000023,ANDERSON,000023,3,3,0,1.0,1.0,1,1
ANDERSON - 000024,ANDERSON,000024,3,3,0,1.0,0.9993750517,1,2
ANDERSON - 000025,ANDERSON,000025,3,3,0,1.0,1.0,1,1
ANDERSON - 000026,ANDERSON,000026,3,3,0,0.9991936085,0.9990956298,2,2
ANDERSON - 000027,ANDERSON,000027,3,3,0,1.0,1.0,1,1
BEDFORD - 000101,BEDFORD,000101,4,9,1,1.0,0.9999469148,1,2
BEDFORD - 000102,BEDFORD,000102,4,9,1,1.0,0.9995511468,1,2
BEDFORD - 000103,BEDFORD,000103,4,9,1,1.0,0.9998572822,1,2
BEDFORD - 000104,BEDFORD,000104,4,9,1,0.9999521712,0.9999851933,2,2
BEDFORD - 000105,BEDFORD,000105,4,9,1,0.9999289822,1.0,2,1
BEDFORD - 000106,BEDFORD,000106,4,9,1,1.0,1.0,1,1
BEDFORD - 000107,BEDFORD,000107,4,9,1,1.0,0.9998013451,1,2
BEDFORD - 000108,BEDFORD,000108,4,9,1,1.0,1.0,1,1
BEDFORD - 000109,BEDFORD,000109,4,9,1,1.0,1.0,1,1
BEDFORD - 000110,BEDFORD,000110,4,9,1,1.0,1.0,1,1
BEDFORD - 000111,BEDFORD,000111,4,9,1,1.0,1.0,1,1
BENTON - 000201,BENTON,000201,8,5,1,0.9993499249,0.9999966282,2,2
BENTON - 000202,BENTON,000202,7,5,1,0.9997835602,1.0,2,1
BENTON - 000203,BENTON,000203,7,5,1,0.9961232463,1.0,2,1
BENTON - 000204,BENTON,000204,7,5,1,0.9999737411,0.9998305856,2,2
BENTON - 000205,BENTON,000205,8,5,1,0.9962482721,1.0,2,1
BENTON - 000206,BENTON,000206,7,5,1,0.9996287885,1.0,2,1
BLEDSOE - 000301,BLEDSOE,000301,4,4,0,0.9999486505,0.9999630495,2,2
BLEDSOE - 000302,BLEDSOE,000302,4,4,0,0.9998690876,0.999441399,2,2
BLEDSOE - 000303,BLEDSOE,000303,4,4,0,1.0,1.0,1,1
BLEDSOE - 000304,BLEDSOE,000304,4,4,0,0.999999073,1.0,2,1
BLEDSOE - 000305,BLEDSOE,000305,4,4,0,0.9999558949,1.0,2,1
BLEDSOE - 000306,BLEDSOE,000306,4,4,0,1.0,1.0,1,1
BLEDSOE - 000307,BLEDSOE,000307,4,4,0,0.9999536529,0.9997998895,2,3
BLEDSOE - 000308,BLEDSOE,000308,4,4,0,1.0,1.0,1,1
BLEDSOE - 000309,BLEDSOE,000309,4,4,0,0.9993759864,0.999999864,2,2
BLEDSOE - 000310,BLEDSOE,000310,4,4,0,0.9999665157,0.9999828332,2,2
BLEDSOE - 000311,BLEDSOE,000311,4,4,0,1.0,1.0,1,1
BLEDSOE - 000312,BLEDSOE,000312,4,4,0,1.0,0.9998286186,1,2
BLOUNT - 000401,BLOUNT,000401,2,2,0,0.9997868264,0.9997529913,2,2
BLOUNT - 000402,BLOUNT,000402,2,2,0,0.9999133286,0.9999020078,2,2
BLOUNT - 000403,BLOUNT,000403,2,2,0,1.0,1.0,1,1
BLOUNT - 000404,BLOUNT,000404,2,2,0,1.0,1.0,1,1
BLOUNT - 000405,BLOUNT,000405,2,2,0,0.9997200936,0.9996932169,2,2
BLOUNT - 000406,BLOUNT,000406,2,2,0,1.0,1.0,1,1
BLOUNT - 000407,BLOUNT,000407,2,2,0,1.0,1.0,1,1
BLOUNT - 000408,BLOUNT,000408,2,2,0,1.0,1.0,1,1
BLOUNT - 000409,BLOUNT,000409,2,2,0,1.0,1.0,1,1
