precinct_key,county_norm,prec_id,district_num,dominant_weight,total_weight,split_count,is_split
BEDFORD - 000107,BEDFORD,000107,62,0.9998319886,1.0,2,1
BEDFORD - 000108,BEDFORD,000108,62,1.0,1.0,1,0
BEDFORD - 000109,BEDFORD,000109,62,1.0,1.0,1,0
BEDFORD - 000110,BEDFORD,000110,62,1.0,1.0,1,0
BEDFORD - 000111,BEDFORD,000111,62,1.0,1.0,1,0
BENTON - 000201,BENTON,000201,74,0.9999911721,1.0,2,1
BENTON - 000202,BENTON,000202,74,1.0,1.0,1,0
BENTON - 000203,BENTON,000203,74,0.9999998486,1.0,2,1
BENTON - 000204,BENTON,000204,74,0.9998601375,1.0,3,1
BENTON - 000205,BENTON,000205,74,1.0,1.0,1,0
BENTON - 000206,BENTON,000206,74,0.9999813807,1.0,2,1
BLEDSOE - 000301,BLEDSOE,000301,31,0.9999486505,1.0,2,1
BLEDSOE - 000302,BLEDSOE,000302,31,0.9998690876,1.0,3,1
BLEDSOE - 000303,BLEDSOE,000303,31,1.0,1.0,1,0
BLEDSOE - 000304,BLEDSOE,000304,31,1.0,1.0,1,0
BLEDSOE - 000305,BLEDSOE,000305,31,1.0,1.0,1,0
BLEDSOE - 000306,BLEDSOE,000306,31,1.0,1.0,1,0
BLEDSOE - 000307,BLEDSOE,000307,31,0.9999536529,1.0,2,1
BLEDSOE - 000308,BLEDSOE,000308,31,1.0,1.0,1,0
BLEDSOE - 000309,BLEDSOE,000309,31,0.9999981037,1.0,2,1
BLEDSOE - 000310,BLEDSOE,000310,31,0.9999665157,1.0,2,1
BLEDSOE - 000311,BLEDSOE,000311,31,1.0,1.0,1,0
BLEDSOE - 000312,BLEDSOE,000312,31,1.0,1.0,1,0
BLOUNT - 000401,BLOUNT,000401,8,0.9997868264,0.999834086,2,1
BLOUNT - 000402,BLOUNT,000402,8,0.9999133286,1.0,2,1
BLOUNT - 000403,BLOUNT,000403,8,0.999753446,1.0,2,1
