audit_label,scope,lines_year,contest_type,year,split_precincts,split_precincts_with_votes,split_precincts_with_cvap,contest_total_votes,split_total_votes,split_total_votes_pct,non_dominant_vote_exposure,non_dominant_vote_exposure_pct,split_cvap_total,non_dominant_cvap_exposure,non_dominant_cvap_exposure_pct,high_priority_split_precincts,medium_priority_split_precincts,top_precinct_key,top_precinct_total_votes,top_precinct_non_dominant_exposure,top_precinct_district_weights
congressional_2022,congressional,2022,governor,2022,445,445,444,1739882.0,471798.0,27.1167,16219.705,0.9322,1258954.0,42871.3425,3.4053,13,17,SHELBY - 008058,5261.0,2609.4856,9:0.503994;8:0.496006
congressional_2022,congressional,2022,president,2020,445,445,444,3053850.0,764290.0,25.0271,25301.5782,0.8285,1258954.0,42871.3425,3.4053,17,18,SHELBY - 008058,4125.0,2046.0232,9:0.503994;8:0.496006
congressional_2022,congressional,2022,president,2024,445,445,444,3063942.0,767960.0,25.0644,22007.8747,0.7183,1258954.0,42871.3425,3.4053,17,15,WILLIAMSON - 009730,4491.0,1826.9019,5:0.593208;7:0.406792
congressional_2022,congressional,2022,us_senate,2020,445,445,444,2950163.0,741654.0,25.1394,24585.5026,0.8334,1258954.0,42871.3425,3.4053,17,17,SHELBY - 008058,4051.0,2009.3188,9:0.503994;8:0.496006
congressional_2022,congressional,2022,us_senate,2024,445,445,444,3007608.0,755396.0,25.1162,21626.6091,0.7191,1258954.0,42871.3425,3.4053,16,16,WILLIAMSON - 009730,4497.0,1829.3426,5:0.593208;7:0.406792
congressional_2026,congressional,2026,governor,2022,524,524,523,1739882.0,490964.0,28.2182,16765.0481,0.9636,1480362.0,68760.4482,4.6448,9,26,RUTHERFORD - 007691,3645.0,1704.5693,4:0.532354;9:0.467646
congressional_2026,congressional,2026,president,2020,524,524,523,3053850.0,862894.0,28.2559,35666.8492,1.1679,1480362.0,68760.4482,4.6448,25,20,DAVIDSON - 001898,4543.0,2091.4038,6:0.539643;7:0.460357
congressional_2026,congressional,2026,president,2024,524,524,523,3063942.0,882822.0,28.8133,35042.3635,1.1437,1480362.0,68760.4482,4.6448,22,23,RUTHERFORD - 007691,7397.0,3459.1766,4:0.532354;9:0.467646
congressional_2026,congressional,2026,us_senate,2020,524,524,523,2950163.0,835795.0,28.3305,34517.1502,1.17,1480362.0,68760.4482,4.6448,25,20,DAVIDSON - 001898,4406.0,2028.3349,6:0.539643;7:0.460357
congressional_2026,congressional,2026,us_senate,2024,524,524,523,3007608.0,867103.0,28.8303,34354.9059,1.1423,1480362.0,68760.4482,4.6448,22,23,RUTHERFORD - 007691,7289.0,3408.6709,4:0.532354;9:0.467646
state_house_2022,state_house,2022,governor,2022,1391,1391,1389,1739882.0,1350713.0,77.6324,98358.7808,5.6532,4024225.0,311293.4861,7.7355,61,133,SHELBY - 008055,14920.0,4707.86,99:0.684460;88:0.315540
state_house_2022,state_house,2022,president,2020,1391,1391,1389,3053850.0,2319699.0,75.9598,171563.733,5.6179,4024225.0,311293.4861,7.7355,136,124,KNOX - 004835,5116.0,2313.5801,18:0.547776;14:0.451719;8:0.000505
state_house_2022,state_house,2022,president,2024,1391,1391,1389,3063942.0,2331318.0,76.0888,165358.1902,5.3969,4024225.0,311293.4861,7.7355,127,126,RUTHERFORD - 007665,7540.0,2920.4077,34:0.612678;13:0.387322
state_house_2022,state_house,2022,us_senate,2020,1391,1391,1389,2950163.0,2245382.0,76.1104,166552.6614,5.6455,4024225.0,311293.4861,7.7355,133,126,KNOX - 004835,5065.0,2290.5166,18:0.547776;14:0.451719;8:0.000505
state_house_2022,state_house,2022,us_senate,2024,1391,1391,1389,3007608.0,2290470.0,76.1559,162470.1361,5.402,4024225.0,311293.4861,7.7355,123,129,RUTHERFORD - 007665,7426.0,2876.253,34:0.612678;13:0.387322
state_senate_2022,state_senate,2022,governor,2022,947,947,945,1739882.0,901461.0,51.8116,21940.8088,1.2611,2697017.0,86361.9976,3.2021,9,45,SHELBY - 008051,9480.0,2655.3648,32:0.719898;31:0.280027;26:0.000075
state_senate_2022,state_senate,2022,president,2020,947,947,945,3053850.0,1565179.0,51.2526,49043.9206,1.606,2697017.0,86361.9976,3.2021,33,42,WILLIAMSON - 009706,4333.0,2139.3935,27:0.506256;28:0.493744
state_senate_2022,state_senate,2022,president,2024,947,947,945,3063942.0,1556044.0,50.7857,40406.9706,1.3188,2697017.0,86361.9976,3.2021,28,40,KNOX - 004888,6536.0,3031.3247,5:0.536211;7:0.463789
state_senate_2022,state_senate,2022,us_senate,2020,947,947,945,2950163.0,1515930.0,51.3846,47733.3095,1.618,2697017.0,86361.9976,3.2021,33,40,WILLIAMSON - 009706,4282.0,2114.2125,27:0.506256;28:0.493744
state_senate_2022,state_senate,2022,us_senate,2024,947,947,945,3007608.0,1529267.0,50.8466,39749.9128,1.3216,2697017.0,86361.9976,3.2021,27,41,KNOX - 004888,6530.0,3028.542,5:0.536211;7:0.463789
