county,code,vtd_name,old_cd5_share,old_cd8_share,old_cd9_share,new_cd5_share,new_cd8_share,new_cd9_share,delta_cd8_share,old_dominant_cd,new_dominant_cd,moved_into_cd8_from_5_or_9
SHELBY,008098,Lucy 1,0.0,0.0,1.0,0.4093627647240551,0.5906372352759449,0.0,0.5906372352759449,9,8,yes
SHELBY,008159,Memphis 58-4,0.0,0.0,1.0,0.0,0.5489393342808961,0.4510606657191039,0.5489393342808961,9,8,yes
SHELBY,008058,Bartlett 08,0.0,0.49600562948327886,0.5039943705167212,0.0,1.0,0.0,0.5039943705167211,9,8,yes
SHELBY,008263,Morning Sun 02,0.0,0.0006028345557491146,0.9993971654442508,0.0,0.4665217815189453,0.5334782184810547,0.4659189469631962,9,9,no
SHELBY,008239,Memphis 90-2,0.0,0.0,1.0,0.6642804748623977,0.3357195251376022,0.0,0.3357195251376022,9,5,no
SHELBY,008090,Germantown 06,0.0,0.7217830043808718,0.27821699561912816,0.0,0.9971593271051218,0.002840672894878255,0.27537632272424994,8,8,no
SHELBY,008217,Memphis 81-1,0.0,0.8121672173412883,0.1878327826587118,0.0,1.0,0.0,0.18783278265871173,8,8,no
SHELBY,008157,Memphis 57,0.0,0.8128240852128942,0.18717591478710585,0.0,1.0,0.0,0.18717591478710582,8,8,no
SHELBY,008260,Millington 1,0.0,0.0,1.0,0.8155611095725163,0.1844388904274837,0.0,0.1844388904274837,9,5,no
SHELBY,008172,Memphis 62-0,0.0,0.0,1.0,0.9104308389803251,0.08956916101967492,0.0,0.08956916101967492,9,5,no
SHELBY,008245,Memphis 93-1,0.0,0.0,1.0,0.0,0.06531510442272498,0.9346848955772752,0.06531510442272498,9,9,no
SHELBY,008219,Memphis 81-3,0.0,0.9760893069876504,0.023910693012349507,0.0,1.0,0.0,0.023910693012349604,8,8,no
SHELBY,008270,Stewartville,0.0,0.9821607915831354,0.017839208416864642,1.8227022149713917e-05,0.9999817729778503,0.0,0.017820981394714885,8,8,no
SHELBY,008097,Lakeland 2,0.0,0.9946247939511158,0.0053752060488842955,0.0,1.0,0.0,0.005375206048884196,8,8,no
SHELBY,008095,Germantown 12,0.0,0.9958767682322405,0.004123231767759556,0.0,1.0,0.0,0.004123231767759528,8,8,no
SHELBY,008194,Memphis 74-1,0.0,0.0,1.0,0.0,0.002059706841711075,0.9979402931582889,0.002059706841711075,9,9,no
SHELBY,008192,Memphis 73-3,0.0,0.0,1.0,0.0,0.0009460694660514451,0.9990539305339485,0.0009460694660514451,9,9,no
SHELBY,008060,Bartlett 11,0.0,0.9991473309234705,0.0008526690765293696,0.0,1.0,0.0,0.0008526690765294775,8,8,no
SHELBY,008089,Germantown 05,0.0,0.9993302343477877,0.0006697656522122931,0.0,1.0,0.0,0.0006697656522123285,8,8,no
SHELBY,008216,Memphis 80-2,0.0,0.999349970256384,0.0006500297436160689,0.0,1.0,0.0,0.000650029743616054,8,8,no
SHELBY,008054,Bartlett 03,0.0,0.9994094027065251,0.000590597293474911,0.0,1.0,0.0,0.0005905972934748815,8,8,no
SHELBY,008088,Germantown 04,0.0,0.9994683147911321,0.0005316852088680053,0.0,1.0,0.0,0.0005316852088679269,8,8,no
SHELBY,008087,Germantown 03,0.0,0.9994790554542069,0.0005209445457930826,0.0,1.0,0.0,0.0005209445457931006,8,8,no
SHELBY,008180,Memphis 68-3,0.0,0.9995489628386441,0.0004510371613558272,0.0,1.0,0.0,0.0004510371613558606,8,8,no
SHELBY,008229,Memphis 86,0.0,0.0,1.0,0.9995602384569157,0.00043976154308438735,0.0,0.00043976154308438735,9,5,no
SHELBY,008096,Lakeland 1,0.0,0.9995819759529426,0.00041802404705742395,0.0,1.0,0.0,0.00041802404705737484,8,8,no
SHELBY,008086,Germantown 02,0.0,0.9996678648895282,0.00033213511047180765,0.0,1.0,0.0,0.00033213511047180955,8,8,no
SHELBY,008234,Memphis 88-4,0.0,0.0,1.0,0.9996923724406709,0.00030762755932911795,0.0,0.00030762755932911795,9,5,no
SHELBY,008158,Memphis 58-1,0.0,0.0,1.0,0.0,0.00028662801803029696,0.9997133719819697,0.00028662801803029696,9,9,no
SHELBY,008139,Memphis 45-4,0.0,0.0,1.0,0.0005611163143991263,0.00025299036514264526,0.9991858933204583,0.00025299036514264526,9,9,no
SHELBY,008119,Memphis 33,0.0,0.0,1.0,0.9997531209126241,0.00024670990470924807,1.6918266653118725e-07,0.00024670990470924807,9,5,no
SHELBY,008056,Bartlett 05,0.0,0.9998090284506055,0.00019097154939450847,0.0,1.0,0.0,0.0001909715493945141,8,8,no
SHELBY,008146,Memphis 52-1,0.0,0.0,1.0,0.9998306555854587,0.00016934441454133887,0.0,0.00016934441454133887,9,5,no
SHELBY,008052,ARL-02,0.0,0.9999756569703232,2.43430296767725e-05,0.0,1.0,0.0,2.43430296767988e-05,8,8,no
SHELBY,008154,Memphis 55-2,0.0,0.9999861941511077,1.3805848892359981e-05,0.0,1.0,0.0,1.380584889232317e-05,8,8,no
SHELBY,008065,Brunswick 1,0.0,0.9999928596260682,7.140373931726493e-06,0.0,1.0,0.0,7.140373931791011e-06,8,8,no
SHELBY,008187,Memphis 71-4,0.0,0.0,1.0,0.9999929413847536,7.0586152465089695e-06,0.0,7.0586152465089695e-06,9,5,no
SHELBY,008051,ARL-01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,8,no
SHELBY,008084,Forest Hills 3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,9,no
SHELBY,008091,Germantown 08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,8,no
SHELBY,008093,Germantown 10,0.0,1.0,0.0,0.0,1.0,0.0,0.0,8,8,no
SHELBY,008100,McConnells,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008101,Memphis 01,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
SHELBY,008102,Memphis 02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,9,5,no
