county,precinct,prctseq,code,district8_share,dem_votes_to_8,rep_votes_to_8,other_votes_to_8,total_votes_to_8,margin_r_minus_d_to_8,margin_pct_to_8,lean_to_8
SHELBY,09-03,0094,008180,1.0,1863.0,94.0,42.0,1999.0,-1769.0,-88.49424712356178,DEM
SHELBY,10-04,0106,008177,0.9991547812508077,1727.5386167826466,92.92139465632512,34.97041734377827,1855.4304287827501,-1634.6172221263214,-88.099084544965,DEM
SHELBY,09-04,0095,008234,0.00030762755932911795,0.8053689503236308,0.04583650634003857,0.01968816379706355,0.8708936204607328,-0.7595324439835922,-87.21299894030379,DEM
SHELBY,09-08,0099,008152,0.9998979722370418,2114.7842112813432,124.98724652963023,42.995612806192796,2282.7670706171666,-1989.796964751713,-87.16600963644326,DEM
SHELBY,09-06,0097,008149,0.7931025546821258,1504.5155462319926,90.41369123376234,27.7585894138744,1622.6878268796293,-1414.1018549982302,-87.14565004887585,DEM
SHELBY,09-10,0101,008174,1.0,1726.0,96.0,49.0,1871.0,-1630.0,-87.11918760021379,DEM
SHELBY,08-12,0091,008141,0.870929282902758,950.1838476469089,59.22319123738754,25.25694920417998,1034.6639880884766,-890.9606564095213,-86.1111111111111,DEM
SHELBY,08-09,0088,008271,0.29139384275565594,403.87186605933914,29.43077811832125,11.072966024714924,444.3756102023753,-374.4410879410179,-84.26229508196722,DEM
SHELBY,09-11,0102,008176,0.9991549894768685,1808.470530953132,146.87578345309967,25.97802972639858,1981.3243441326304,-1661.5947475000323,-83.86283408976298,DEM
SHELBY,09-09,0100,008172,0.08956916101967492,199.6496599128554,16.03287982252181,3.851473923846022,219.53401365922323,-183.6167800903336,-83.63933088535292,DEM
SHELBY,10-09,0111,008192,0.0009460694660514451,1.556284271654627,0.13812614204351098,0.034058500777852024,1.72846891447599,-1.418158129611116,-82.04707170224412,DEM
SHELBY,12-10,0130,008260,0.1844388904274837,384.18620876044855,37.994411428061646,4.9798500415420595,427.1604702300523,-346.1917973323869,-81.04490500863557,DEM
SHELBY,07-06,0075,008222,0.9347403921078763,1950.8031983291378,186.01333802946738,43.93279842907019,2180.749334787675,-1764.7898602996704,-80.9258465495071,DEM
SHELBY,12-08,0128,008217,1.0,2924.0,300.0,48.0,3272.0,-2624.0,-80.1955990220049,DEM
SHELBY,07-01,0070,008098,0.5906372352759449,1118.6669236126397,117.53680981991303,18.900391528830237,1255.104124961383,-1001.1301137927267,-79.76470588235294,DEM
SHELBY,11-04,0116,008245,0.06531510442272498,100.58526081099647,11.103567751863247,2.220713550372649,113.90954211323236,-89.48169305913322,-78.55504587155964,DEM
SHELBY,12-07,0127,008219,1.0,2553.0,309.0,36.0,2898.0,-2244.0,-77.4327122153209,DEM
