geoid,nyt_key,prctseq,label,vtd20,vtd_name,weight,county_norm,county_fp
47037-1-1,1-1,1,01-1,001801,1-1,0.7516791202458558,DAVIDSON,037
47037-1-1,1-1,1,01-1,001812,3-2,0.17268736991827197,DAVIDSON,037
47037-1-1,1-1,1,01-1,001802,1-2,0.0756335098358722,DAVIDSON,037
47037-1-2,1-2,2,01-2,001804,1-4,0.561582075556685,DAVIDSON,037
47037-1-2,1-2,2,01-2,001802,1-2,0.438417924443315,DAVIDSON,037
47037-1-3,1-3,3,01-3,001803,1-3,0.7410640547678579,DAVIDSON,037
47037-1-3,1-3,3,01-3,001813,3-3,0.2589359452321421,DAVIDSON,037
47037-1-4,1-4,4,01-4,001814,3-4,0.44342723769495096,DAVIDSON,037
47037-1-4,1-4,4,01-4,001813,3-3,0.39594539564507725,DAVIDSON,037
47037-1-4,1-4,4,01-4,001815,3-5,0.14577961912165555,DAVIDSON,037
47037-1-4,1-4,4,01-4,001807,2-2,0.014847747538316258,DAVIDSON,037
47037-1-5,1-5,5,01-5,001805,1-5,0.8228607399740661,DAVIDSON,037
47037-1-5,1-5,5,01-5,001810,2-5,0.17713926002593403,DAVIDSON,037
47037-1-6,1-6,6,01-6,001803,1-3,0.49724408144207116,DAVIDSON,037
47037-1-6,1-6,6,01-6,001810,2-5,0.3171697815076598,DAVIDSON,037
47037-1-6,1-6,6,01-6,001805,1-5,0.18558613705026905,DAVIDSON,037
47037-1-7,1-7,7,01-7,001803,1-3,0.9426430778974378,DAVIDSON,037
47037-1-7,1-7,7,01-7,001805,1-5,0.057356922102562095,DAVIDSON,037
47037-10-1,10-1,53,10-1,001844,10-1,1.0,DAVIDSON,037
47037-10-2,10-2,54,10-2,001811,3-1,0.9922136261699611,DAVIDSON,037
47037-10-2,10-2,54,10-2,001844,10-1,0.007786373830038921,DAVIDSON,037
47037-10-3,10-3,55,10-3,001811,3-1,0.6337723091200809,DAVIDSON,037
47037-10-3,10-3,55,10-3,001845,10-2,0.3662276908799192,DAVIDSON,037
47037-10-4,10-4,56,10-4,001847,10-4,0.5110005702717452,DAVIDSON,037
47037-10-4,10-4,56,10-4,001846,10-3,0.4788014193346679,DAVIDSON,037
47037-10-4,10-4,56,10-4,001845,10-2,0.010198010393586955,DAVIDSON,037
47037-10-5,10-5,57,10-5,001848,10-5,0.76868813339804,DAVIDSON,037
47037-10-5,10-5,57,10-5,001840,8-4,0.23131186660196001,DAVIDSON,037
47037-10-6,10-6,58,10-6,001849,10-6,1.0,DAVIDSON,037
47037-10-7,10-7,59,10-7,001849,10-6,0.750689067518933,DAVIDSON,037
47037-10-7,10-7,59,10-7,001847,10-4,0.24931093248106687,DAVIDSON,037
47037-10-8,10-8,60,10-8,001847,10-4,1.0,DAVIDSON,037
47037-10-9,10-9,61,10-9,001801,1-1,1.0,DAVIDSON,037
47037-11-1,11-1,62,11-1,001850,11-1,1.0,DAVIDSON,037
47037-11-2,11-2,63,11-2,001850,11-1,1.0,DAVIDSON,037
47037-11-3,11-3,64,11-3,001851,11-2,0.5200306794765871,DAVIDSON,037
47037-11-3,11-3,64,11-3,001852,11-3,0.47317946901552554,DAVIDSON,037
47037-11-3,11-3,64,11-3,001864,14-2,0.006789851507887377,DAVIDSON,037
47037-11-4,11-4,65,11-4,001851,11-2,0.5416337408994379,DAVIDSON,037
47037-11-4,11-4,65,11-4,001853,11-4,0.3072468811237846,DAVIDSON,037
47037-11-4,11-4,65,11-4,001857,12-4,0.12956601870595694,DAVIDSON,037
47037-11-4,11-4,65,11-4,001854,12-1,0.02155335927082049,DAVIDSON,037
47037-12-1,12-1,66,12-1,001857,12-4,0.6166555134721637,DAVIDSON,037
47037-12-1,12-1,66,12-1,001856,12-3,0.37288495484769485,DAVIDSON,037
47037-12-1,12-1,66,12-1,001854,12-1,0.01045953168014134,DAVIDSON,037
47037-12-2,12-2,67,12-2,001865,14-3,0.489536008328909,DAVIDSON,037
47037-12-2,12-2,67,12-2,001863,14-1,0.24698347394510398,DAVIDSON,037
47037-12-2,12-2,67,12-2,001855,12-2,0.08597224804838151,DAVIDSON,037
47037-12-2,12-2,67,12-2,001857,12-4,0.06856555101628212,DAVIDSON,037
47037-12-2,12-2,67,12-2,001856,12-3,0.05243447989510792,DAVIDSON,037
47037-12-2,12-2,67,12-2,001867,14-5,0.04811266242007634,DAVIDSON,037
47037-12-2,12-2,67,12-2,001866,14-4,0.008395576346139164,DAVIDSON,037
47037-12-3,12-3,68,12-3,001855,12-2,0.7903615827107041,DAVIDSON,037
47037-12-3,12-3,68,12-3,001858,12-5,0.17119256294377194,DAVIDSON,037
47037-12-3,12-3,68,12-3,001857,12-4,0.03844585434552392,DAVIDSON,037
47037-12-4,12-4,69,12-4,001948,33-1,1.0,DAVIDSON,037
47037-13-1,13-1,70,13-1,001859,13-1,0.7900310759793612,DAVIDSON,037
47037-13-1,13-1,70,13-1,001872,15-5,0.2099689240206388,DAVIDSON,037
47037-13-2,13-2,71,13-2,001859,13-1,0.4081533095333895,DAVIDSON,037
47037-13-2,13-2,71,13-2,001860,13-2,0.36544123088695984,DAVIDSON,037
47037-13-2,13-2,71,13-2,001932,29-1,0.22640545957965066,DAVIDSON,037
47037-13-3,13-3,72,13-3,001861,13-3,0.7155952982788304,DAVIDSON,037
47037-13-3,13-3,72,13-3,001862,13-4,0.28440470172116966,DAVIDSON,037
47037-13-4,13-4,73,13-4,001932,29-1,0.8531764353572211,DAVIDSON,037
47037-13-4,13-4,73,13-4,001933,29-2,0.14682356464277896,DAVIDSON,037
47037-13-5,13-5,74,13-5,001861,13-3,0.3966073115609993,DAVIDSON,037
47037-13-5,13-5,74,13-5,001859,13-1,0.2966027488959667,DAVIDSON,037
47037-13-5,13-5,74,13-5,001932,29-1,0.2197782985932536,DAVIDSON,037
47037-13-5,13-5,74,13-5,001935,29-4,0.0870116409497804,DAVIDSON,037
47037-14-1,14-1,75,14-1,001864,14-2,0.9930801352333957,DAVIDSON,037
47037-14-1,14-1,75,14-1,001852,11-3,0.00691986476660437,DAVIDSON,037
47037-14-2,14-2,76,14-2,001864,14-2,1.0,DAVIDSON,037
47037-14-3,14-3,77,14-3,001854,12-1,0.5515590376203126,DAVIDSON,037
47037-14-3,14-3,77,14-3,001853,11-4,0.4484409623796874,DAVIDSON,037
47037-14-4,14-4,78,14-4,001863,14-1,1.0,DAVIDSON,037
47037-14-5,14-5,79,14-5,001867,14-5,0.9724843954043982,DAVIDSON,037
47037-14-5,14-5,79,14-5,001870,15-3,0.02751560459560167,DAVIDSON,037
47037-15-1,15-1,80,15-1,001868,15-1,0.9733999452157258,DAVIDSON,037
47037-15-1,15-1,80,15-1,001869,15-2,0.026600054784274168,DAVIDSON,037
47037-15-2,15-2,81,15-2,001895,19-6,0.6116456685927133,DAVIDSON,037
47037-15-2,15-2,81,15-2,001894,19-5,0.3883543314072867,DAVIDSON,037
47037-15-3,15-3,82,15-3,001869,15-2,1.0,DAVIDSON,037
47037-15-4,15-4,83,15-4,001871,15-4,0.7560234658940906,DAVIDSON,037
47037-15-4,15-4,83,15-4,001870,15-3,0.24397653410590936,DAVIDSON,037
47037-15-5,15-5,84,15-5,001867,14-5,0.6352614196193177,DAVIDSON,037
47037-15-5,15-5,84,15-5,001870,15-3,0.36473858038068235,DAVIDSON,037
47037-15-6,15-6,85,15-6,001870,15-3,1.0,DAVIDSON,037
47037-16-1,16-1,86,16-1,001875,16-3,0.4607983987026148,DAVIDSON,037
47037-16-1,16-1,86,16-1,001883,17-6,0.2844749619814141,DAVIDSON,037
47037-16-1,16-1,86,16-1,001884,17-7,0.14787635571340818,DAVIDSON,037
47037-16-1,16-1,86,16-1,001876,16-4,0.10685028360256292,DAVIDSON,037
47037-16-2,16-2,87,16-2,001875,16-3,0.9786192165739499,DAVIDSON,037
47037-16-2,16-2,87,16-2,001924,26-3,0.021380783426050005,DAVIDSON,037
47037-16-3,16-3,88,16-3,001883,17-6,0.49428315094248887,DAVIDSON,037
47037-16-3,16-3,88,16-3,001873,16-1,0.34738139767314,DAVIDSON,037
47037-16-3,16-3,88,16-3,001876,16-4,0.07713870947612296,DAVIDSON,037
47037-16-3,16-3,88,16-3,001894,19-5,0.05221638081816683,DAVIDSON,037
47037-16-3,16-3,88,16-3,001895,19-6,0.02898036109008125,DAVIDSON,037
47037-16-4,16-4,89,16-4,001874,16-2,0.9874792618195684,DAVIDSON,037
47037-16-4,16-4,89,16-4,001860,13-2,0.012520738180431597,DAVIDSON,037
47037-17-1,17-1,90,17-1,001893,19-4,0.691066872234837,DAVIDSON,037
47037-17-1,17-1,90,17-1,001879,17-2,0.3089331277651631,DAVIDSON,037
47037-17-2,17-2,91,17-2,001879,17-2,0.5449870789917621,DAVIDSON,037
47037-17-2,17-2,91,17-2,001878,17-1,0.4550129210082379,DAVIDSON,037
47037-17-3,17-3,92,17-3,001878,17-1,0.7842451684777094,DAVIDSON,037
47037-17-3,17-3,92,17-3,001879,17-2,0.19206941762259327,DAVIDSON,037
47037-17-3,17-3,92,17-3,001880,17-3,0.023685413899697288,DAVIDSON,037
47037-17-4,17-4,93,17-4,001880,17-3,0.9860568322232222,DAVIDSON,037
47037-17-4,17-4,93,17-4,001883,17-6,0.013943167776777792,DAVIDSON,037
47037-17-5,17-5,94,17-5,001883,17-6,1.0,DAVIDSON,037
47037-17-6,17-6,95,17-6,001894,19-5,1.0,DAVIDSON,037
47037-17-7,17-7,96,17-7,001881,17-4,0.6200576442527039,DAVIDSON,037
47037-17-7,17-7,96,17-7,001878,17-1,0.24271250635255018,DAVIDSON,037
47037-17-7,17-7,96,17-7,001884,17-7,0.137229849394746,DAVIDSON,037
47037-17-8,17-8,97,17-8,001884,17-7,0.658400221169587,DAVIDSON,037
47037-17-8,17-8,97,17-8,001880,17-3,0.34159977883041304,DAVIDSON,037
47037-18-1,18-1,98,18-1,001885,18-1,0.4788350777587721,DAVIDSON,037
47037-18-1,18-1,98,18-1,001887,18-3,0.31356534341463477,DAVIDSON,037
47037-18-1,18-1,98,18-1,001879,17-2,0.09885418001025237,DAVIDSON,037
47037-18-1,18-1,98,18-1,001893,19-4,0.05346364408543019,DAVIDSON,037
47037-18-1,18-1,98,18-1,001888,18-4,0.04386061692463823,DAVIDSON,037
47037-18-1,18-1,98,18-1,001902,21-4,0.011421137806272408,DAVIDSON,037
47037-18-2,18-2,99,18-2,001886,18-2,0.5019556851446717,DAVIDSON,037
47037-18-2,18-2,99,18-2,001881,17-4,0.2658402741423435,DAVIDSON,037
47037-18-2,18-2,99,18-2,001888,18-4,0.1422523796340485,DAVIDSON,037
47037-18-2,18-2,99,18-2,001878,17-1,0.08113139505078004,DAVIDSON,037
47037-18-2,18-2,99,18-2,001921,25-4,0.008820266028156208,DAVIDSON,037
47037-18-3,18-3,100,18-3,001888,18-4,0.5084547071879724,DAVIDSON,037
47037-18-3,18-3,100,18-3,001887,18-3,0.43675916574870816,DAVIDSON,037
47037-18-3,18-3,100,18-3,001889,18-5,0.03952406227630643,DAVIDSON,037
47037-18-3,18-3,100,18-3,001918,25-1,0.01526206478701293,DAVIDSON,037
47037-19-1,19-1,101,19-1,001828,6-3,0.42421168087776495,DAVIDSON,037
47037-19-1,19-1,101,19-1,001824,5-4,0.4031486146937961,DAVIDSON,037
47037-19-1,19-1,101,19-1,001890,19-1,0.14565490949258256,DAVIDSON,037
47037-19-1,19-1,101,19-1,001894,19-5,0.01047145276345882,DAVIDSON,037
47037-19-1,19-1,101,19-1,001895,19-6,0.0057153710854285205,DAVIDSON,037
47037-19-1,19-1,101,19-1,001880,17-3,0.005576878904896261,DAVIDSON,037
47037-19-1,19-1,101,19-1,001878,17-1,0.005221092182072708,DAVIDSON,037
47037-19-2,19-2,102,19-2,001891,19-2,1.0,DAVIDSON,037
