code4,display_code,vtd20,vtd_name,weight
0101,01-01,008260,Millington 1,0.8847727221543967
0101,01-01,008098,Lucy 1,0.11522727784560333
0102,01-02,008261,Millington 2,0.7874915840260003
0102,01-02,008260,Millington 1,0.21250841597399975
0103,01-03,008270,Stewartville,0.8895884169119329
0103,01-03,008051,ARL-01,0.11041158308806716
0104,01-04,008100,McConnells,1.0
0105,01-05,008099,Lucy 3,0.33491902496009984
0105,01-05,008098,Lucy 1,0.3231962376696938
0105,01-05,008260,Millington 1,0.17252165885116844
0105,01-05,008261,Millington 2,0.1693630785190379
0106,01-06,008052,ARL-02,0.7156297937436844
0106,01-06,008051,ARL-01,0.2117916899974606
0106,01-06,008259,Memphis 96-1,0.072578516258855
0107,01-07,008051,ARL-01,1.0
0108,01-08,008252,Memphis 95-1,1.0
0109,01-09,008252,Memphis 95-1,0.7819905884589938
0109,01-09,008079,Memphis 96-2,0.21800941154100617
0110,01-10,008255,Memphis 95-5,0.5141259811876433
0110,01-10,008079,Memphis 96-2,0.4858740188123568
0111,01-11,008259,Memphis 96-1,1.0
0201,02-01,008081,Eads,0.5582183168453398
0201,02-01,008263,Morning Sun 02,0.40099858114771175
0201,02-01,008271,Collierville 9,0.04078310200694845
0202,02-02,008080,Memphis 91-4,1.0
0203,02-03,008094,Germantown 11,0.6528370869476238
0203,02-03,008095,Germantown 12,0.34716291305237634
0204,02-04,008073,Collierville 6,0.6840270682573758
0204,02-04,008271,Collierville 9,0.15850386669464228
0204,02-04,008094,Germantown 11,0.15746906504798192
0205,02-05,008271,Collierville 9,0.7923425463474668
0205,02-05,008075,Collierville 8,0.1786005128293336
0205,02-05,008073,Collierville 6,0.02905694082319954
0206,02-06,008091,Germantown 08,0.501043080018996
0206,02-06,008094,Germantown 11,0.49895691998100405
0207,02-07,008071,Collierville 4,1.0
0208,02-08,008070,Collierville 3,0.7261833685418769
0208,02-08,008072,Collierville 5,0.2738166314581231
0209,02-09,008068,Collierville 1,0.675114934507838
0209,02-09,008072,Collierville 5,0.324885065492162
0210,02-10,008068,Collierville 1,0.7517198378910002
0210,02-10,008072,Collierville 5,0.24828016210899986
0211,02-11,008069,Collierville 2,1.0
0212,02-12,008074,Collierville 7,0.512513371290293
0212,02-12,008069,Collierville 2,0.48748662870970716
0213,02-13,008074,Collierville 7,0.8828409320948667
0213,02-13,008069,Collierville 2,0.11715906790513328
0214,02-14,008074,Collierville 7,1.0
0215,02-15,008263,Morning Sun 02,1.0
0301,03-01,008063,Bartlett 13,1.0
0302,03-02,008066,Brunswick 2,1.0
0303,03-03,008096,Lakeland 1,0.9743282298421305
0303,03-03,008066,Brunswick 2,0.025671770157869513
0304,03-04,008055,Bartlett 04,0.981291444793865
0304,03-04,008058,Bartlett 08,0.018708555206135014
0305,03-05,008058,Bartlett 08,1.0
0306,03-06,008060,Bartlett 11,0.5779037112473555
0306,03-06,008054,Bartlett 03,0.3980503302317974
0306,03-06,008053,Bartlett 09,0.024045958520847087
0307,03-07,008065,Brunswick 1,1.0
0308,03-08,008096,Lakeland 1,0.796635393862206
0308,03-08,008097,Lakeland 2,0.20336460613779384
0309,03-09,008057,Bartlett 06,1.0
0310,03-10,008053,Bartlett 09,0.8686526687365277
0310,03-10,008054,Bartlett 03,0.1313473312634723
0311,03-11,008056,Bartlett 05,0.8941802522818382
0311,03-11,008060,Bartlett 11,0.10581974771816179
0401,04-01,008157,Memphis 57,0.8832482506498933
0401,04-01,008177,Memphis 67-1,0.11675174935010671
0402,04-02,008180,Memphis 68-3,1.0
0403,04-03,008217,Memphis 81-1,0.5486700274705035
0403,04-03,008216,Memphis 80-2,0.4513299725294964
0404,04-04,008216,Memphis 80-2,0.8230372811984878
0404,04-04,008217,Memphis 81-1,0.17696271880151218
0405,04-05,008089,Germantown 05,1.0
0406,04-06,008087,Germantown 03,0.5764747388203
0406,04-06,008088,Germantown 04,0.4235252611797001
0407,04-07,008177,Memphis 67-1,0.48346548928719363
0407,04-07,008178,Memphis 67-3,0.4213167882321548
0407,04-07,008180,Memphis 68-3,0.09521772248065159
0408,04-08,008222,Memphis 81-7,0.5271899939159227
0408,04-08,008217,Memphis 81-1,0.3226415906440213
0408,04-08,008219,Memphis 81-3,0.13514736823837972
0408,04-08,008216,Memphis 80-2,0.015021047201676175
0409,04-09,008219,Memphis 81-3,0.5414720235660788
0409,04-09,008222,Memphis 81-7,0.4585279764339211
0410,04-10,008086,Germantown 02,0.7513653013197396
0410,04-10,008090,Germantown 06,0.24863469868026045
0411,04-11,008088,Germantown 04,0.7105602516954181
0411,04-11,008087,Germantown 03,0.28943974830458186
0412,04-12,008093,Germantown 10,0.45279454486116827
0412,04-12,008090,Germantown 06,0.44449545967309706
0412,04-12,008086,Germantown 02,0.10270999546573466
0501,05-01,008236,Memphis 89-1,1.0
0502,05-02,008236,Memphis 89-1,0.6433286816214262
0502,05-02,008237,Memphis 89-2,0.35667131837857374
0503,05-03,008078,Cordova 5,0.4791095614696845
0503,05-03,008077,Cordova 4,0.4706695315412607
0503,05-03,008256,Memphis 95-6,0.032340361516675596
0503,05-03,008241,Memphis 91-1,0.01788054547237926
0504,05-04,008237,Memphis 89-2,0.7075579049016306
0504,05-04,008241,Memphis 91-1,0.15361138803836574
0504,05-04,008256,Memphis 95-6,0.1388307070600036
0505,05-05,008262,Morning Sun 01,0.7381812378099223
0505,05-05,008258,Memphis 95-8,0.2618187621900777
