file,contest_type,year,rows,mapped_rows,unmapped_rows,non_geographic_rows,zero_rows,mapped_zero_rows,unmapped_zero_rows,non_geographic_zero_rows,inferred_prior_rows,inferred_neighbor_rows,inferred_total_rows,weighted_vtd20_replaced_counties,total_votes,total_integrity_delta,top_mapped_zero_counties
governor_1998.json,governor,1998,95,0,95,95,0,0,0,0,0,0,0,0,976236,0,
governor_2002.json,governor,2002,2034,1965,69,69,0,0,0,0,78,0,78,46,1643997,0,
governor_2006.json,governor,2006,1994,1965,29,29,0,0,0,0,84,0,84,25,1815929,0,
governor_2010.json,governor,2010,1988,1965,23,23,0,0,0,0,61,0,61,21,1601549,0,
governor_2014.json,governor,2014,1976,1965,11,11,0,0,0,0,50,1,51,9,1353728,0,
governor_2018.json,governor,2018,1971,1965,6,6,0,0,0,0,39,0,39,5,2242029,0,
governor_2022.json,governor,2022,1968,1965,3,3,0,0,0,0,258,57,315,2,1739882,0,
president_2000.json,president,2000,2048,1965,83,83,0,0,0,0,0,0,0,31,2075185,0,
president_2004.json,president,2004,2061,1965,96,96,0,0,0,0,184,0,184,28,2437319,0,
president_2008.json,president,2008,1995,1965,30,30,0,0,0,0,92,0,92,22,2599749,0,
president_2012.json,president,2012,1992,1965,27,27,0,0,0,0,59,0,59,12,2458577,0,
president_2016.json,president,2016,2001,1965,36,36,0,0,0,0,40,0,40,5,2508027,0,
president_2020.json,president,2020,1971,1965,6,6,60,60,0,0,0,0,0,1,3053850,0,BLOUNT:5;SEVIER:5;GIBSON:4;HARDIN:4;SUMNER:4;WASHINGTON:4;HENDERSON:3;POLK:3;BENTON:2;CAMPBELL:2
president_2024.json,president,2024,1965,1965,0,0,0,0,0,0,0,0,0,1,3063942,0,
us_senate_2000.json,us_senate,2000,2038,1965,73,73,0,0,0,0,0,0,0,39,1927789,0,
us_senate_2002.json,us_senate,2002,2034,1965,69,69,0,0,0,0,76,0,76,46,1641712,0,
us_senate_2006.json,us_senate,2006,1994,1965,29,29,0,0,0,0,131,0,131,25,1727481,0,
us_senate_2008.json,us_senate,2008,1995,1965,30,30,0,0,0,0,92,0,92,22,2424585,0,
us_senate_2012.json,us_senate,2012,1993,1965,28,28,0,0,0,0,59,0,59,12,2321477,0,
us_senate_2014.json,us_senate,2014,1974,1965,9,9,0,0,0,0,51,0,51,7,1374065,0,
us_senate_2018.json,us_senate,2018,1971,1965,6,6,0,0,0,0,40,0,40,5,2243740,0,
us_senate_2020.json,us_senate,2020,1968,1965,3,3,60,60,0,0,0,0,0,1,2950163,0,BLOUNT:5;SEVIER:5;GIBSON:4;HARDIN:4;SUMNER:4;WASHINGTON:4;HENDERSON:3;POLK:3;BENTON:2;CAMPBELL:2
us_senate_2024.json,us_senate,2024,1965,1965,0,0,0,0,0,0,0,0,0,1,3007608,0,
