prctseq,display_code,polling_location,geocode_query,lon,lat,geocode_display,vtd20,vtd_name,status
18,02-07,The Farms at Bailey Station,The Farms at Bailey Station,-89.730927,35.058421,"The Farms at Bailey Station, 3300, South Houston Levee Road, Houston Levee Shopping Center, Bailey, Collierville, Shelby County, West Tennessee, Tennessee, 38017, United States",008071,Collierville 4,point_in_polygon
21,02-10,Christ Community Baptist,Christ Community Baptist,,,,,,geocode_miss
29,03-03,IH Clubhouse,IH Clubhouse,,,,,,geocode_miss
35,03-09,Waypoint Baptist,Waypoint Baptist,-89.876505,35.206016,"Waypoint Baptist Church, 5586, Stage Road, Bartlett, Shelby County, West Tennessee, Tennessee, 38134, United States",008057,Bartlett 06,point_in_polygon
46,04-09,Emmanuel United Methodist Church 0206 - Germantown Presbyterian Church (Gym),Emmanuel United Methodist Church 0206,-89.844389,35.083462,"Emmanuel United Methodist Church, 2404, Kirby Road, Memphis, Shelby County, West Tennessee, Tennessee, 38119, United States",008219,Memphis 81-3,point_in_polygon
48,04-11,The Great Hall,The Great Hall,,,,,,geocode_miss
49,04-12,Faith Presbyterian Church,Faith Presbyterian Church,-89.768195,35.066200,"Faith Presbyterian Church, Poplar Pike, Forest Hill, Germantown, Shelby County, West Tennessee, Tennessee, 38138, United States",008093,Germantown 10,point_in_polygon
51,05-02,Whitten Memorial Baptist Church,Whitten Memorial Baptist Church,-89.837308,35.165923,"Whitten Memorial Baptist Church, Macon Road, Memphis, Shelby County, West Tennessee, Tennessee, 38134, United States",008237,Memphis 89-2,point_in_polygon
52,05-03,Whitten Memorial Baptist Church,Whitten Memorial Baptist Church,-89.837308,35.165923,"Whitten Memorial Baptist Church, Macon Road, Memphis, Shelby County, West Tennessee, Tennessee, 38134, United States",008237,Memphis 89-2,point_in_polygon
55,05-06,Houston Levee Community Ctr,Houston Levee Community Ctr,,,,,,geocode_miss
56,05-07,Briarwood Community Church,Briarwood Community Church,,,,,,geocode_miss
57,05-08,Cordova Community Ctr,Cordova Community Ctr,,,,,,geocode_miss
58,05-09,Bert Ferguson Community Ctr,Bert Ferguson Community Ctr,-89.779141,35.141766,"Bert Ferguson Community Center, 8505, Trinity Road, Cordova, Memphis, Shelby County, West Tennessee, Tennessee, 38018, United States",008242,Memphis 91-2,point_in_polygon
59,05-10,Faith Anglican Church,Faith Anglican Church,-89.835405,35.204105,"Faith Anglican Church, Summer Avenue, Bartlett, Shelby County, West Tennessee, Tennessee, 38134, United States",008053,Bartlett 09,point_in_polygon
62,06-02,Hope Apostolic Church,Hope Apostolic Church,,,,,,geocode_miss
63,06-03,Frayser Raleigh Senior Ctr,Frayser Raleigh Senior Ctr,,,,,,geocode_miss
